t i j k u[t]=u_ijk
1 1 2 3 0.11095
2 1 2 4 0.06320100000000002
3 1 2 5 -0.029981499999999984
4 1 2 6 0.17006999999999997
5 1 2 7 0.138955
6 1 2 8 0.24931749999999994
7 1 2 9 0.07848650000000003
8 1 2 10 -0.11147
9 1 2 11 -0.15896199999999996
10 1 2 12 0.0659215
11 1 2 13 -0.002844999999999986
12 1 2 14 0.04053999999999999
13 1 2 15 0.0029334999999999995
14 1 2 16 -0.17632499999999998
15 1 2 17 -0.09927999999999998
16 1 2 18 0.01663000000000001
17 1 2 19 -0.06931299999999997
18 1 2 20 0.063604
19 1 3 4 0.09903999999999998
20 1 3 5 -0.12169999999999999
21 1 3 6 -0.028840000000000005
22 1 3 7 -0.110625
23 1 3 8 0.08883999999999997
24 1 3 9 -0.08361199999999999
25 1 3 10 -0.11585000000000001
26 1 3 11 -0.046570999999999994
27 1 3 12 0.038019999999999984
28 1 3 13 -0.05473499999999999
29 1 3 14 0.10379499999999993
30 1 3 15 -0.14094
31 1 3 16 -0.2874299999999999
32 1 3 17 0.12160449999999996
33 1 3 18 -0.09997999999999999
34 1 3 19 0.0030615000000000056
35 1 3 20 0.10583499999999998
36 1 4 5 -0.10305699999999998
37 1 4 6 0.053684999999999976
38 1 4 7 0.05445
39 1 4 8 -0.11072
40 1 4 9 -0.3188585
41 1 4 10 -0.075578
42 1 4 11 -0.0706055
43 1 4 12 0.07018176999999998
44 1 4 13 -0.09569
45 1 4 14 0.14274499999999993
46 1 4 15 -0.08134
47 1 4 16 -0.07417499999999999
48 1 4 17 0.013500999999999997
49 1 4 18 -0.09965099999999999
50 1 4 19 0.006554999999999999
51 1 4 20 -0.03950000000000001
52 1 5 6 -0.05739000000000001
53 1 5 7 0.08458999999999998
54 1 5 8 0.22151999999999997
55 1 5 9 -0.18359804999999998
56 1 5 10 -0.12827
57 1 5 11 0.07210449999999999
58 1 5 12 0.125102
59 1 5 13 0.09876999999999998
60 1 5 14 0.06711999999999997
61 1 5 15 0.10306849999999998
62 1 5 16 -0.0062799999999999965
63 1 5 17 0.019799999999999995
64 1 5 18 -0.020023
65 1 5 19 0.03458000000000001
66 1 5 20 0.07523999999999999
67 1 6 7 0.0782
68 1 6 8 0.126095
69 1 6 9 -0.19020549999999997
70 1 6 10 -0.02862109999999999
71 1 6 11 0.006469500000000017
72 1 6 12 -0.024139999999999984
73 1 6 13 -0.03813299999999998
74 1 6 14 0.2855255
75 1 6 15 -0.03803000000000001
76 1 6 16 -0.11006999999999997
77 1 6 17 -0.08648999999999997
78 1 6 18 -0.15977999999999998
79 1 6 19 -0.022507799999999977
80 1 6 20 0.14177099999999998
81 1 7 8 0.17425999999999994
82 1 7 9 -0.3995335
83 1 7 10 0.022579999999999985
84 1 7 11 -0.11408699999999998
85 1 7 12 0.11955699999999998
86 1 7 13 -0.0912315
87 1 7 14 0.15646999999999994
