l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.56471 -0.9782616999999998 0.4135517 -2.220446049250313e-16
2 1 3 -0.13 -0.5707958499999999 0.4407958500000001 -2.220446049250313e-16
3 2 3 0.71096 0.40746584999999996 0.3034941500000001 0.0
4 1 4 -0.50314 -0.6500402499999999 0.14690024999999993 -1.1102230246251565e-16
5 2 4 0.41251 0.32822144999999997 0.08428855000000002 0.0
6 3 4 0.1684 -0.07924439999999999 0.2476444000000001 -1.1102230246251565e-16
7 1 5 -0.60514 -0.8463675049999999 0.241227505 -1.1102230246251565e-16
8 2 5 -0.050546 0.13189419499999994 -0.18244019500000003 8.326672684688674e-17
9 3 5 -0.34558 -0.275571655 -0.07000834500000003 5.551115123125783e-17
10 4 5 -0.18974 -0.19632725500000003 0.006587254999999989 5.551115123125783e-17
11 1 6 0.55231 -0.3879941499999999 0.94030415 -1.1102230246251565e-16
12 2 6 0.35194 0.5902675499999999 -0.23832755000000008 2.220446049250313e-16
13 3 6 -0.054223 0.18280169999999996 -0.23702470000000003 8.326672684688674e-17
14 4 6 0.39881 0.26204609999999995 0.13676390000000005 0.0
15 5 6 0.91612 0.458373355 0.4577466450000002 -1.1102230246251565e-16
16 1 7 -0.96658 -1.6171541349999998 0.6505741349999999 0.0
17 2 7 -0.64086 -0.638892435 -0.0019675650000000114 1.1102230246251565e-16
18 3 7 -0.16549 -1.046358285 0.8808682850000001 -2.220446049250313e-16
19 4 7 -0.97471 -0.967113885 -0.0075961149999999675 0.0
20 5 7 -0.95132 -0.7707866299999999 -0.18053337000000014 0.0
21 6 7 -1.0066 -1.229159985 0.22255998500000007 0.0
22 1 8 -0.9074 -1.2453631499999998 0.3379631500000001 -4.440892098500626e-16
23 2 8 -0.22712 -0.26710145 0.03998145000000004 0.0
24 3 8 -0.27882 -0.6745673 0.3957473000000001 -1.1102230246251565e-16
25 4 8 -1.5189 -0.5953229 -0.9235771000000003 3.3306690738754696e-16
26 5 8 -0.62006 -0.39899564499999995 -0.22106435500000002 0.0
27 6 8 0.4589 -0.8573689999999999 1.3162690000000001 -2.220446049250313e-16
28 7 8 0.35789 0.37179098499999996 -0.013900985000000013 5.551115123125783e-17
29 1 9 -1.0337 -1.1033181499999998 0.06961814999999996 -2.220446049250313e-16
30 2 9 -0.083499 -0.12505645 0.041557450000000024 -2.7755575615628914e-17
31 3 9 -0.44574 -0.5325223 0.0867823 0.0
32 4 9 -0.65906 -0.45327789999999996 -0.2057821 -5.551115123125783e-17
33 5 9 0.033925 -0.2569506449999999 0.290875645 -1.1102230246251565e-16
34 6 9 0.22764 -0.715324 0.942964 -1.1102230246251565e-16
35 7 9 0.62772 0.5138359849999999 0.11388401500000002 0.0
36 8 9 -0.57865 0.142045 -0.7206950000000001 8.326672684688674e-17
37 1 10 -2.5496 -1.5559334999999996 -0.9936665000000002 0.0
38 2 10 -0.85697 -0.5776718 -0.27929820000000005 0.0
39 3 10 -1.1186 -0.9851376499999999 -0.1334623500000001 -1.1102230246251565e-16
40 4 10 -1.09 -0.9058932499999999 -0.18410675000000015 0.0
41 5 10 -0.49025 -0.7095659949999998 0.21931599499999993 -1.1102230246251565e-16
42 6 10 -2.2529 -1.1679393499999997 -1.08496065 -2.220446049250313e-16
43 7 10 -0.081639 0.06122063500000008 -0.142859635 -6.938893903907228e-17
44 8 10 0.38861 -0.3105703499999999 0.6991803500000001 -2.220446049250313e-16
45 9 10 -1.1249 -0.4526153499999999 -0.67228465 -5.551115123125783e-17
46 1 11 -0.89132 -1.2253411499999998 0.33402115000000004 -2.220446049250313e-16
47 2 11 -0.11953 -0.24707945000000003 0.12754945 2.7755575615628914e-17
48 3 11 -1.5482 -0.6545453 -0.8936547000000002 2.220446049250313e-16
49 4 11 -0.73825 -0.5753009 -0.1629491 0.0
50 5 11 -0.074056 -0.37897364499999997 0.3049176450000001 -1.6653345369377348e-16
51 6 11 -0.6458 -0.837347 0.19154699999999997 -1.1102230246251565e-16
52 7 11 0.50402 0.39181298499999995 0.11220701500000005 0.0
53 8 11 0.70245 0.020022000000000012 0.6824280000000001 -1.3877787807814457e-16
54 9 11 -0.019467 -0.12202299999999999 0.10255600000000002 -2.7755575615628914e-17
55 10 11 -0.19159 0.33059234999999987 -0.52218235 1.1102230246251565e-16
56 1 12 -1.5229 -1.329065665 -0.19383433500000005 0.0
57 2 12 0.61057 -0.35080396500000005 0.961373965 -5.551115123125783e-17
58 3 12 -1.0984 -0.758269815 -0.34013018500000014 1.1102230246251565e-16
59 4 12 -0.029875 -0.679025415 0.6491504150000001 -1.1102230246251565e-16
60 5 12 -0.73614 -0.48269816 -0.25344184000000003 0.0
61 6 12 -0.82793 -0.941071515 0.11314151499999994 0.0
62 7 12 -0.0038683 0.28808846999999993 -0.29195677000000003 1.1102230246251565e-16
63 8 12 -0.41281 -0.083702515 -0.32910748500000003 2.7755575615628914e-17
64 9 12 0.54808 -0.225747515 0.7738275150000002 -2.220446049250313e-16
65 10 12 0.11068 0.22686783499999988 -0.11618783499999999 1.1102230246251565e-16
66 11 12 -0.96946 -0.10372451500000002 -0.8657354850000002 2.220446049250313e-16
67 1 13 -1.7502 -1.2986127939999998 -0.4515872060000001 0.0
68 2 13 -0.43733 -0.320351094 -0.11697890600000001 0.0
69 3 13 -0.58578 -0.727816944 0.14203694400000005 0.0
70 4 13 -0.11105 -0.648572544 0.537522544 0.0
71 5 13 -1.2402 -0.45224528899999994 -0.7879547110000001 1.1102230246251565e-16
72 6 13 -1.5747 -0.9106186439999999 -0.6640813560000002 1.1102230246251565e-16
73 7 13 0.11681 0.318541341 -0.20173134100000004 5.551115123125783e-17
74 8 13 0.34921 -0.053249643999999985 0.40245964400000017 -1.6653345369377348e-16
75 9 13 -0.359 -0.195294644 -0.16370535600000002 2.7755575615628914e-17
76 10 13 1.3174 0.2573207059999999 1.0600792940000001 -1.1102230246251565e-16
77 11 13 0.18696 -0.073271644 0.2602316440000001 -1.1102230246251565e-16
78 12 13 0.16834 0.03045287100000002 0.13788712900000005 -8.326672684688674e-17
79 1 14 -2.4349 -1.0394081999999998 -1.3954917999999998 -2.220446049250313e-16
80 2 14 0.18168 -0.0611465 0.24282650000000008 -7.632783294297951e-17
81 3 14 -0.16788 -0.46861234999999996 0.3007323500000001 -1.6653345369377348e-16
82 4 14 0.87051 -0.38936794999999996 1.2598779500000001 -1.6653345369377348e-16
83 5 14 0.59738 -0.19304069499999993 0.7904206950000001 -1.6653345369377348e-16
84 6 14 -0.12314 -0.6514140499999999 0.5282740499999999 -1.1102230246251565e-16
85 7 14 1.4183 0.577745935 0.840554065 -1.1102230246251565e-16
86 8 14 -0.025765 0.20595495000000003 -0.23171995 -2.7755575615628914e-17
87 9 14 0.53636 0.06390995000000002 0.47245005000000007 -1.3877787807814457e-16
88 10 14 -0.25205 0.5165253 -0.7685753000000002 2.220446049250313e-16
89 11 14 -1.055 0.18593295 -1.2409329500000004 4.163336342344337e-16
90 12 14 0.81344 0.28965746500000006 0.523782535 -5.551115123125783e-17
91 13 14 0.17883 0.259204594 -0.08037459400000002 0.0
92 1 15 -1.9711 -1.5311454999999998 -0.43995450000000025 0.0
93 2 15 -0.76092 -0.5528838 -0.2080362000000001 1.1102230246251565e-16
94 3 15 -0.77001 -0.9603496499999999 0.19033965000000008 -1.1102230246251565e-16
95 4 15 -1.2251 -0.8811052500000001 -0.3439947500000001 1.1102230246251565e-16
96 5 15 -0.90002 -0.6847779949999999 -0.2152420050000001 0.0
97 6 15 -0.5263 -1.14315135 0.6168513500000001 -2.220446049250313e-16
98 7 15 0.81446 0.08600863499999994 0.7284513650000002 -1.6653345369377348e-16
99 8 15 -0.2056 -0.28578235 0.08018235000000001 0.0
