i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.6171541349999998 1 100.0
2 0.638892435 7 81.0
3 1.046358285 3 77.0
4 0.967113885 4 75.0
5 0.7707866299999999 6 70.0
6 1.229159985 2 63.0
7 0.0 20 54.0
8 0.37179098499999996 11 49.0
9 0.5138359849999999 9 47.0
10 0.06122063500000008 18 44.0
11 0.39181298499999995 10 44.0
12 0.28808846999999993 15 44.0
13 0.318541341 14 42.0
14 0.577745935 8 41.0
15 0.08600863499999994 17 40.0
16 0.3596391350000001 12 37.0
17 0.821762635 5 36.0
18 0.21047289000000013 16 33.0
19 0.346511279 13 33.0
20 0.03449643500000005 19 31.0
