t i j k u[t]=u_ijk
1 1 2 3 0.013812500000000004
2 1 2 4 0.017547000000000004
3 1 2 5 -0.0005058000000000019
4 1 2 6 -0.03825400000000002
5 1 2 7 -0.011949500000000004
6 1 2 8 0.005778499999999999
7 1 2 9 0.019274550000000005
8 1 2 10 0.05639600000000001
9 1 2 11 0.010354
10 1 2 12 0.07843800000000001
11 1 2 13 0.037408000000000004
12 1 2 14 0.1025935
13 1 2 15 0.032273500000000004
14 1 2 16 0.00409949999999999
15 1 2 17 0.0503425
16 1 2 18 -0.006714500000000002
17 1 2 19 0.022216950000000003
18 1 2 20 0.020440999999999997
19 1 3 4 0.027077000000000007
20 1 3 5 0.006478000000000001
21 1 3 6 -0.03682665
22 1 3 7 0.03355450000000001
23 1 3 8 0.024929000000000003
24 1 3 9 0.02289800000000001
25 1 3 10 0.06505000000000001
26 1 3 11 -0.03934400000000001
27 1 3 12 0.014725000000000002
28 1 3 13 0.05172100000000001
29 1 3 14 0.10685100000000003
30 1 3 15 0.053554500000000005
31 1 3 16 0.07613350000000002
32 1 3 17 0.05664000000000001
33 1 3 18 0.013062500000000001
34 1 3 19 -0.024355
35 1 3 20 0.0024600000000000073
36 1 4 5 -0.004387000000000002
37 1 4 6 -0.03283200000000001
38 1 4 7 -0.025563500000000006
39 1 4 8 -0.05573200000000002
40 1 4 9 -0.006424999999999998
41 1 4 10 0.04782299999999999
42 1 4 11 -0.0175035
43 1 4 12 0.04949425
44 1 4 13 0.0568005
45 1 4 14 0.1401135
46 1 4 15 0.012143000000000006
47 1 4 16 -0.009852000000000019
48 1 4 17 0.046747000000000004
49 1 4 18 -0.046326500000000014
50 1 4 19 0.0028289999999999986
51 1 4 20 0.0341955
52 1 5 6 -0.012066499999999994
53 1 5 7 -0.02949400000000001
54 1 5 8 -0.015890000000000005
55 1 5 9 0.023124250000000006
56 1 5 10 0.0727105
57 1 5 11 0.010606200000000001
58 1 5 12 0.009080999999999995
59 1 5 13 -0.004757000000000001
60 1 5 14 0.121357
61 1 5 15 0.02329700000000001
62 1 5 16 -0.027837000000000008
63 1 5 17 -0.006551500000000006
64 1 5 18 0.004209255
65 1 5 19 0.036002000000000006
66 1 5 20 0.0390215
67 1 6 7 0.0256145
68 1 6 8 0.0959305
69 1 6 9 0.09068250000000001
70 1 6 10 0.0424505
71 1 6 11 0.0398915
72 1 6 12 0.062364
73 1 6 13 0.0363905
74 1 6 14 0.14320350000000004
75 1 6 15 0.09985550000000003
76 1 6 16 0.0822645
77 1 6 17 0.029250499999999995
78 1 6 18 0.0030660000000000028
79 1 6 19 0.012000500000000006
80 1 6 20 0.0573605
81 1 7 8 0.014935500000000003
82 1 7 9 0.03474200000000001
83 1 7 10 0.07506905000000001
84 1 7 11 0.021438000000000006
85 1 7 12 0.027622584999999998
86 1 7 13 0.045021500000000006
87 1 7 14 0.14433100000000001
88 1 7 15 0.09094900000000002
89 1 7 16 0.0353505
90 1 7 17 0.037886
91 1 7 18 0.026075
92 1 7 19 0.024847000000000004
93 1 7 20 0.06446900000000001
94 1 8 9 -0.0226175
95 1 8 10 0.10154050000000002
96 1 8 11 0.03431850000000001
97 1 8 12 0.0101345
98 1 8 13 0.059600500000000015
99 1 8 14 0.07508675000000001
100 1 8 15 0.04290500000000001
101 1 8 16 0.030011000000000006
102 1 8 17 0.024902500000000004
103 1 8 18 -0.04444050000000001
104 1 8 19 0.056571
105 1 8 20 0.03990240000000001
106 1 9 10 0.019549999999999994
107 1 9 11 -0.008092350000000005
108 1 9 12 0.05186400000000001
109 1 9 13 0.017875000000000002
110 1 9 14 0.096878
111 1 9 15 0.04850945000000001
112 1 9 16 -0.0035610000000000095
113 1 9 17 0.020397999999999996
114 1 9 18 -0.038197500000000016
115 1 9 19 -0.0009961500000000027
116 1 9 20 0.027069499999999996
117 1 10 11 -0.0924935
118 1 10 12 -0.04580100000000001
119 1 10 13 0.025900000000000006
120 1 10 14 -0.018337500000000003
121 1 10 15 -0.03318694999999999
122 1 10 16 -0.051122500000000015
123 1 10 17 -0.006560000000000001
124 1 10 18 -0.1362615
125 1 10 19 -0.09433700000000002
126 1 10 20 -0.060877000000000014
127 1 11 12 -0.016894000000000006
128 1 11 13 0.05229200000000001
129 1 11 14 0.024429000000000006
130 1 11 15 0.041585500000000004
131 1 11 16 0.11971900000000003
132 1 11 17 0.05968300000000001
133 1 11 18 -0.05709800000000002
134 1 11 19 0.044847000000000005
135 1 11 20 0.0246325
136 1 12 13 0.019782000000000004
137 1 12 14 0.08627200000000002
138 1 12 15 -0.006145499999999994
139 1 12 16 0.057754
140 1 12 17 -0.05295200000000001
141 1 12 18 -0.0173525
142 1 12 19 -0.007533499999999998
143 1 12 20 -0.03263050000000001
144 1 13 14 0.04317650000000001
145 1 13 15 0.024177000000000008
146 1 13 16 -0.007695500000000005
147 1 13 17 -0.0010175000000000047
148 1 13 18 -0.07173399999999999
149 1 13 19 -0.03291760600000001
150 1 13 20 -0.007542100000000005
151 1 14 15 -0.03836049999999999
152 1 14 16 -0.011498
153 1 14 17 -0.04995300000000001
154 1 14 18 -0.075003
155 1 14 19 -0.07170655000000001
156 1 14 20 -0.08301650000000002
157 1 15 16 0.0004754999999999927
158 1 15 17 0.009399999999999988
159 1 15 18 -0.03729650000000002
160 1 15 19 -0.02051600000000001
161 1 15 20 -0.00046100000000000866
162 1 16 17 -0.022897000000000004
163 1 16 18 -0.07420600000000001
164 1 16 19 -0.10094
165 1 16 20 -0.05340050000000002
166 1 17 18 -0.07993450000000002
167 1 17 19 -0.053860000000000005
168 1 17 20 -0.009495500000000002
169 1 18 19 0.04603200000000001
170 1 18 20 0.03138699999999999
171 1 19 20 0.0161265
172 2 3 4 0.02334250000000001
173 2 3 5 0.020796300000000004
174 2 3 6 0.015239850000000004
175 2 3 7 0.05931650000000002
176 2 3 8 0.032963
177 2 3 9 0.017435950000000006
178 2 3 10 0.022466500000000004
179 2 3 11 -0.03588550000000001
180 2 3 12 -0.04990050000000001
181 2 3 13 0.028125500000000008
182 2 3 14 0.01807
183 2 3 15 0.035093500000000014
184 2 3 16 0.08584650000000002
185 2 3 17 0.020110000000000006
186 2 3 18 0.03358950000000001
187 2 3 19 -0.03275945
188 2 3 20 -0.004168499999999987
189 2 4 5 0.013665800000000004
190 2 4 6 0.022969000000000007
191 2 4 7 0.003932999999999998
192 2 4 8 -0.04396350000000001
193 2 4 9 -0.008152550000000001
194 2 4 10 0.008973999999999994
195 2 4 11 -0.010310500000000002
196 2 4 12 -0.011396749999999999
197 2 4 13 0.03693950000000001
