l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.82968 -1.18479315 0.35511315000000004 0.0
2 1 3 0.22111 -0.4790159999999999 0.7001259999999998 1.1102230246251565e-16
3 2 3 0.50721 0.7057771500000001 -0.19856714999999994 -1.1102230246251565e-16
4 1 4 -1.1352 -0.5869840000000001 -0.548216 1.1102230246251565e-16
5 2 4 1.1697 0.5978091499999999 0.57189085 1.1102230246251565e-16
6 3 4 0.2175 -0.10796800000000017 0.32546800000000004 1.3877787807814457e-16
7 1 5 -1.6286 -1.2939688 -0.3346312000000002 2.220446049250313e-16
8 2 5 0.095939 -0.10917564999999999 0.20511464999999998 0.0
9 3 5 -0.54312 -0.8149528 0.27183279999999993 1.1102230246251565e-16
10 4 5 -0.80938 -0.7069847999999999 -0.10239519999999999 -1.1102230246251565e-16
11 1 6 -0.28092 -0.6863215 0.4054015000000001 0.0
12 2 6 0.62133 0.49847164999999993 0.12285835000000007 5.551115123125783e-17
13 3 6 -0.31777 -0.20730550000000014 -0.11046449999999997 1.1102230246251565e-16
14 4 6 0.38529 -0.09933749999999997 0.4846275000000001 -1.1102230246251565e-16
15 5 6 0.71184 0.6076472999999999 0.10419270000000007 1.1102230246251565e-16
16 1 7 -1.1308 -1.5072172 0.37641719999999995 0.0
17 2 7 -0.72953 -0.32242404999999996 -0.4071059500000001 5.551115123125783e-17
18 3 7 -1.1279 -1.0282012 -0.09969879999999992 0.0
19 4 7 -0.52151 -0.9202331999999999 0.3987232 -1.1102230246251565e-16
20 5 7 -0.051361 -0.2132484 0.1618874 2.7755575615628914e-17
21 6 7 -0.32926 -0.8208956999999999 0.4916357 -1.1102230246251565e-16
22 1 8 -1.4323 -1.6427181 0.21041810000000008 0.0
23 2 8 -0.24196 -0.45792495 0.21596495 0.0
24 3 8 -0.20401 -1.1637021 0.9596921 0.0
25 4 8 -1.9622 -1.0557340999999998 -0.9064658999999998 -2.220446049250313e-16
26 5 8 -0.22766 -0.3487493 0.12108930000000001 -5.551115123125783e-17
27 6 8 -1.1097 -0.9563965999999999 -0.15330339999999992 0.0
28 7 8 0.34987 -0.13550089999999998 0.4853709 0.0
29 1 9 -1.3774 -1.4427785 0.06537850000000002 0.0
30 2 9 -0.51716 -0.25798534999999995 -0.25917465 0.0
31 3 9 -0.80083 -0.9637625 0.16293249999999998 -1.1102230246251565e-16
32 4 9 -0.18979 -0.8557944999999998 0.6660045 -2.220446049250313e-16
33 5 9 -0.23267 -0.14880969999999996 -0.0838603 -2.7755575615628914e-17
34 6 9 -1.0995 -0.7564569999999998 -0.343043 -1.1102230246251565e-16
35 7 9 0.53054 0.06443870000000004 0.4661013 -2.7755575615628914e-17
36 8 9 -0.03303 0.19993960000000002 -0.2329696 -2.7755575615628914e-17
37 1 10 -2.3626 -1.9812668499999997 -0.3813331500000001 -2.220446049250313e-16
38 2 10 -0.63619 -0.7964736999999997 0.1602837 -3.3306690738754696e-16
39 3 10 -1.5607 -1.5022508499999998 -0.05844914999999995 -2.220446049250313e-16
40 4 10 -1.921 -1.3942828499999997 -0.5267171500000001 -2.220446049250313e-16
41 5 10 -0.8346 -0.6872980499999998 -0.14730195000000001 -2.220446049250313e-16
42 6 10 -1.7451 -1.2949453499999997 -0.4501546500000001 -2.220446049250313e-16
43 7 10 -0.072277 -0.47404964999999977 0.40177265 -2.220446049250313e-16
44 8 10 -0.17674 -0.3385487499999998 0.16180875 -2.220446049250313e-16
45 9 10 -1.1365 -0.5384883499999998 -0.59801165 -2.220446049250313e-16
46 1 11 -1.3114 -1.6503734999999997 0.33897350000000004 -2.220446049250313e-16
47 2 11 -0.65439 -0.46558034999999987 -0.18880965000000005 -1.1102230246251565e-16
48 3 11 -1.3095 -1.1713575 -0.13814250000000008 0.0
49 4 11 -1.308 -1.0633894999999998 -0.24461050000000012 -2.220446049250313e-16
50 5 11 -0.16763 -0.3564046999999999 0.18877470000000002 -1.1102230246251565e-16
51 6 11 -0.17417 -0.9640519999999998 0.7898820000000001 -3.3306690738754696e-16
52 7 11 -0.22982 -0.1431562999999999 -0.0866637 -1.1102230246251565e-16
53 8 11 0.82277 -0.007655399999999923 0.8304254000000001 -1.6653345369377348e-16
54 9 11 -0.41946 -0.20759499999999995 -0.211865 -5.551115123125783e-17
55 10 11 -0.30135 0.33089334999999986 -0.6322433500000002 3.3306690738754696e-16
56 1 12 -2.1016 -1.49069625 -0.6109037500000001 2.220446049250313e-16
57 2 12 -0.37427 -0.3059031 -0.06836690000000001 0.0
58 3 12 -1.4291 -1.01168025 -0.41741975 0.0
59 4 12 -0.71937 -0.9037122499999999 0.18434225000000004 -1.1102230246251565e-16
60 5 12 -0.53992 -0.19672745000000003 -0.34319255 5.551115123125783e-17
61 6 12 -0.51706 -0.8043747499999999 0.28731475000000006 -1.1102230246251565e-16
62 7 12 0.46373 0.01652094999999998 0.44720905000000005 -5.551115123125783e-17
63 8 12 -0.29617 0.15202184999999996 -0.44819184999999995 0.0
64 9 12 0.67801 -0.047917750000000064 0.7259277500000001 -2.7755575615628914e-17
65 10 12 0.43107 0.49057059999999975 -0.05950059999999999 2.220446049250313e-16
66 11 12 0.67636 0.15967724999999988 0.51668275 1.1102230246251565e-16
67 1 13 -1.4945 -1.6133785 0.11887850000000004 0.0
68 2 13 0.049024 -0.4285853500000001 0.47760935 1.1102230246251565e-16
69 3 13 -1.1997 -1.1343625000000002 -0.06533749999999999 2.220446049250313e-16
70 4 13 -1.0573 -1.0263944999999999 -0.03090549999999992 0.0
71 5 13 -0.7547 -0.3194097000000001 -0.4352903 5.551115123125783e-17
72 6 13 -0.79382 -0.927057 0.133237 0.0
73 7 13 -0.51498 -0.10616130000000007 -0.40881870000000003 1.1102230246251565e-16
74 8 13 0.063616 0.02933959999999991 0.034276400000000005 9.020562075079397e-17
75 9 13 -0.85072 -0.1706000000000001 -0.6801200000000001 1.3877787807814457e-16
76 10 13 1.6068 0.3678883499999997 1.23891165 3.885780586188048e-16
77 11 13 -0.60314 0.036994999999999834 -0.640135 1.6653345369377348e-16
78 12 13 0.34049 -0.12268225000000005 0.4631722500000002 -1.1102230246251565e-16
79 1 14 -1.2361 -1.3267115999999999 0.09061160000000004 -2.220446049250313e-16
80 2 14 0.48644 -0.14191845 0.6283584500000001 -1.3877787807814457e-16
81 3 14 -0.32228 -0.8476956000000001 0.5254156 1.1102230246251565e-16
82 4 14 -0.70354 -0.7397275999999999 0.036187599999999945 -1.1102230246251565e-16
83 5 14 0.22161 -0.032742800000000016 0.25435280000000005 -2.7755575615628914e-17
84 6 14 -0.36446 -0.6403901 0.27593010000000007 -1.1102230246251565e-16
85 7 14 -0.46537 0.1805056 -0.6458756 0.0
