t i j k u[t]=u_ijk
1 1 2 3 -0.027178999999999995
2 1 2 4 0.07376100000000001
3 1 2 5 0.044742950000000004
4 1 2 6 0.003628500000000007
5 1 2 7 -0.0214205
6 1 2 8 0.018032999999999997
7 1 2 9 0.0015280000000000016
8 1 2 10 0.0448365
9 1 2 11 -0.008633500000000006
10 1 2 12 0.0448825
11 1 2 13 0.0356922
12 1 2 14 0.044643
13 1 2 15 0.0012605000000000006
14 1 2 16 0.016046000000000005
15 1 2 17 0.013360499999999997
16 1 2 18 0.028017
17 1 2 19 0.02294299999999999
18 1 2 20 0.018971500000000006
19 1 3 4 0.0786905
20 1 3 5 0.0653295
21 1 3 6 0.009213
22 1 3 7 0.011200500000000002
23 1 3 8 0.07246999999999999
24 1 3 9 0.039883999999999996
25 1 3 10 0.051150499999999995
26 1 3 11 0.011150499999999985
27 1 3 12 0.04468049999999999
28 1 3 13 0.025795499999999996
29 1 3 14 0.05674649999999999
30 1 3 15 -0.022214500000000015
31 1 3 16 0.0681005
32 1 3 17 0.0685835
33 1 3 18 0.042690499999999985
34 1 3 19 0.03896049999999999
35 1 3 20 0.0105155
36 1 4 5 -0.015798999999999997
37 1 4 6 -0.023449499999999998
38 1 4 7 -0.026295500000000003
39 1 4 8 -0.08325500000000001
40 1 4 9 0.0026204999999999996
41 1 4 10 -0.03468
42 1 4 11 -0.05659000000000001
43 1 4 12 0.0123515
44 1 4 13 -0.0349
45 1 4 14 -0.030132000000000003
46 1 4 15 -0.044175
47 1 4 16 -0.01067
48 1 4 17 0.0228295
49 1 4 18 -0.022045000000000006
50 1 4 19 -0.007585000000000008
51 1 4 20 -0.043989999999999994
52 1 5 6 -0.031792
53 1 5 7 -0.027458050000000005
54 1 5 8 -0.021198000000000005
55 1 5 9 -0.024193500000000003
56 1 5 10 -0.0050300000000000015
57 1 5 11 -0.02424150000000001
58 1 5 12 -0.003346000000000005
59 1 5 13 -0.044440000000000014
60 1 5 14 -0.008544500000000005
61 1 5 15 -0.0313005
62 1 5 16 -0.013120000000000012
63 1 5 17 -0.008167000000000008
64 1 5 18 -0.006825000000000006
65 1 5 19 0.021836799999999986
66 1 5 20 -0.0125385
67 1 6 7 0.026031
68 1 6 8 0.0020839999999999973
69 1 6 9 -0.00015100000000000115
70 1 6 10 0.016828999999999993
71 1 6 11 0.0428155
72 1 6 12 0.065181
73 1 6 13 0.020987999999999996
74 1 6 14 0.029536
75 1 6 15 -0.0025810000000000004
76 1 6 16 0.0713305
77 1 6 17 0.018460999999999995
78 1 6 18 0.0027839999999999974
79 1 6 19 0.03361899999999999
80 1 6 20 0.036074499999999995
81 1 7 8 0.03256849999999999
82 1 7 9 0.038856999999999996
83 1 7 10 0.057976150000000004
84 1 7 11 -0.0024610000000000066
85 1 7 12 0.0717265
86 1 7 13 -0.007564000000000005
87 1 7 14 -0.018003500000000006
88 1 7 15 0.01334525
89 1 7 16 0.06477245
90 1 7 17 0.013109799999999994
91 1 7 18 0.0053534999999999945
92 1 7 19 0.05996449999999999
93 1 7 20 0.008829500000000002
94 1 8 9 -0.004396499999999998
95 1 8 10 0.037678
96 1 8 11 0.03509350000000001
97 1 8 12 0.018656500000000003
98 1 8 13 0.006290800000000003
99 1 8 14 0.023031500000000007
100 1 8 15 -0.016357999999999998
101 1 8 16 0.04650895000000001
102 1 8 17 0.019278000000000003
103 1 8 18 0.0127835
104 1 8 19 0.0358084
105 1 8 20 0.016745950000000006
106 1 9 10 -0.0075650000000000005
107 1 9 11 -0.024273000000000006
108 1 9 12 0.0701105
109 1 9 13 -0.036681000000000005
110 1 9 14 0.014506000000000003
111 1 9 15 -0.007145999999999998
112 1 9 16 0.06780850000000001
113 1 9 17 0.006433999999999999
114 1 9 18 0.006180499999999998
115 1 9 19 0.026672999999999995
116 1 9 20 0.003479500000000005
117 1 10 11 -0.06762750000000002
118 1 10 12 0.008503499999999995
119 1 10 13 0.036934999999999996
120 1 10 14 -0.085646
121 1 10 15 -0.03719900000000001
122 1 10 16 -0.022983500000000004
123 1 10 17 0.00341999999999999
124 1 10 18 0.007368999999999993
125 1 10 19 0.011185499999999987
126 1 10 20 -0.07409500000000001
127 1 11 12 0.073328
128 1 11 13 -0.021002
129 1 11 14 -0.021762999999999998
130 1 11 15 0.016687000000000004
131 1 11 16 0.07683000000000001
132 1 11 17 0.052840000000000005
133 1 11 18 0.0028545000000000016
134 1 11 19 0.05455249999999999
135 1 11 20 0.009879500000000008
136 1 12 13 -0.013330499999999999
137 1 12 14 -0.04922100000000001
138 1 12 15 -0.07210699999999999
139 1 12 16 0.08897500000000001
140 1 12 17 -0.062662
141 1 12 18 -0.01639975
142 1 12 19 0.008345999999999994
143 1 12 20 -0.08843000000000001
144 1 13 14 -0.0057789999999999985
145 1 13 15 -0.021733499999999996
146 1 13 16 0.082206
147 1 13 17 0.0321305
148 1 13 18 4.049999999999887e-5
149 1 13 19 0.019598999999999995
150 1 13 20 -0.019801
151 1 14 15 0.010741500000000003
152 1 14 16 0.035373
153 1 14 17 0.013015999999999998
154 1 14 18 -0.020659500000000004
155 1 14 19 0.0433096
156 1 14 20 -0.04179499999999999
157 1 15 16 0.0773875
158 1 15 17 0.028661999999999997
159 1 15 18 0.0175975
160 1 15 19 0.0718915
161 1 15 20 0.0413685
162 1 16 17 -0.0023115000000000054
163 1 16 18 -0.05426150000000001
164 1 16 19 -0.04516600000000001
165 1 16 20 0.0014395000000000048
166 1 17 18 -0.06539
167 1 17 19 0.033640949999999996
168 1 17 20 -0.03154499999999999
169 1 18 19 0.03740899999999999
170 1 18 20 0.0001161500000000074
171 1 19 20 -0.02171109999999999
172 2 3 4 -0.0222495
173 2 3 5 -0.006592450000000001
174 2 3 6 -0.021594500000000003
175 2 3 7 0.0054420000000000145
176 2 3 8 0.027258000000000004
177 2 3 9 0.011177
178 2 3 10 -0.020864999999999988
179 2 3 11 -0.007395000000000008
180 2 3 12 -0.027381
181 2 3 13 -0.0370757
182 2 3 14 -0.015075499999999997
183 2 3 15 -0.05065400000000002
184 2 3 16 0.024875499999999995
185 2 3 17 0.028044000000000003
186 2 3 18 -0.012505500000000003
187 2 3 19 -0.011161499999999993
188 2 3 20 -0.035635
189 2 4 5 0.01321905
190 2 4 6 0.046682999999999995
191 2 4 7 0.068886
192 2 4 8 -0.027527000000000003
193 2 4 9 0.07485349999999999
194 2 4 10 -0.005755500000000002
195 2 4 11 0.025804499999999998
196 2 4 12 0.041229999999999996
197 2 4 13 0.0031688000000000055
198 2 4 14 -0.0010140000000000038
199 2 4 15 0.028325500000000007
200 2 4 16 0.04704499999999999
201 2 4 17 0.08323
202 2 4 18 0.023698999999999994
203 2 4 19 0.043233
204 2 4 20 0.010799499999999995
205 2 5 6 0.00932245
206 2 5 7 0.0387054
207 2 5 8 0.005511950000000001
208 2 5 9 0.01902145
209 2 5 10 -0.005123549999999999
210 2 5 11 0.029134950000000003
211 2 5 12 -0.0034855499999999983
212 2 5 13 -0.035389250000000004
213 2 5 14 -0.00844455
214 2 5 15 0.012181950000000004
215 2 5 16 0.01557694999999999
216 2 5 17 0.023215450000000002
217 2 5 18 0.00990095
218 2 5 19 0.043636749999999995
219 2 5 20 0.013232950000000004
220 2 6 7 0.05108
221 2 6 8 -0.012320499999999991
222 2 6 9 0.0019495000000000042
223 2 6 10 -0.02437900000000001
224 2 6 11 0.055077500000000015
225 2 6 12 0.023927000000000004
226 2 6 13 -0.011075699999999996
227 2 6 14 -0.011478499999999997
228 2 6 15 -0.00021299999999999653
229 2 6 16 0.058913000000000014
230 2 6 17 0.008729000000000004
231 2 6 18 -0.021604499999999992
232 2 6 19 0.014304499999999998
233 2 6 20 0.020731500000000003
234 2 7 8 -0.006885
235 2 7 9 0.0159085
236 2 7 10 -0.00828085
237 2 7 11 -0.015248000000000001
238 2 7 12 0.005423499999999998
239 2 7 13 -0.0646767
240 2 7 14 -0.084067
241 2 7 15 -0.00933575
242 2 7 16 0.027305949999999996
243 2 7 17 -0.0216712
244 2 7 18 -0.044084000000000005
245 2 7 19 0.015600999999999999
246 2 7 20 -0.0315625
247 2 8 9 0.012108499999999996
248 2 8 10 0.0108745
249 2 8 11 0.06176000000000001
250 2 8 12 -0.008193
251 2 8 13 -0.0113684
252 2 8 14 -0.0035784999999999957
253 2 8 15 0.000414500000000001
254 2 8 16 0.048495949999999996
255 2 8 17 0.0239505
256 2 8 18 0.0027994999999999995
257 2 8 19 0.030898400000000006
258 2 8 20 0.01580745
259 2 9 10 -0.050873499999999995
260 2 9 11 -0.014111499999999997
261 2 9 12 0.026756000000000002
262 2 9 13 -0.0708452
263 2 9 14 -0.028609
264 2 9 15 -0.006878499999999997
265 2 9 16 0.0532905
266 2 9 17 -0.005398499999999998
267 2 9 18 -0.0203085
268 2 9 19 0.005258000000000002
269 2 9 20 -0.013963999999999996
270 2 10 11 -0.0141575
271 2 10 12 0.0084575
272 2 10 13 0.046079300000000004
273 2 10 14 -0.0854525
274 2 10 15 0.006377
275 2 10 16 0.005806999999999994
276 2 10 17 0.034895999999999996
277 2 10 18 0.024188499999999995
278 2 10 19 0.033079
279 2 10 20 -0.04823
280 2 11 12 0.019811999999999996
281 2 11 13 -0.0653277
282 2 11 14 -0.07503950000000001
283 2 11 15 0.0067929999999999996
284 2 11 16 0.052150499999999995
285 2 11 17 0.030845999999999995
286 2 11 18 -0.03379600000000001
287 2 11 19 0.022976
288 2 11 20 -0.0177255
289 2 12 13 -0.004140199999999999
290 2 12 14 -0.048981500000000004
291 2 12 15 -0.028484999999999993
292 2 12 16 0.1178115
293 2 12 17 -0.031140000000000004
294 2 12 18 0.00046575000000000023
295 2 12 19 0.0302855
296 2 12 20 -0.062519
297 2 13 14 -0.014729799999999998
298 2 13 15 0.012698200000000003
299 2 13 16 0.10185219999999999
300 2 13 17 0.0544622
301 2 13 18 0.007715700000000001
302 2 13 19 0.032348199999999994
303 2 13 20 -0.003080300000000003
304 2 14 15 0.054124000000000005
305 2 14 16 0.06397
306 2 14 17 0.044298500000000005
307 2 14 18 -0.0040335000000000015
308 2 14 19 0.0650096
309 2 14 20 -0.016123499999999992
310 2 15 16 0.06260199999999999
311 2 15 17 0.016561999999999997
312 2 15 18 -0.009159000000000002
313 2 15 19 0.050209
314 2 15 20 0.0236575
315 2 16 17 0.0003740000000000021
316 2 16 18 -0.0662325
317 2 16 19 -0.05206299999999999
318 2 16 20 -0.001485999999999993
319 2 17 18 -0.0800465
320 2 17 19 0.02405845
321 2 17 20 -0.037155999999999995
322 2 18 19 0.042483
323 2 18 20 0.009161650000000004
324 2 19 20 -0.017739599999999998
325 3 4 5 -0.0024379999999999957
326 3 4 6 0.046028000000000006
327 3 4 7 0.0411945
328 3 4 8 -0.07703449999999999
329 3 4 9 0.041427
330 3 4 10 -0.007140000000000003
331 3 4 11 0.010950000000000003
332 3 4 12 0.046361500000000014
333 3 4 13 0.017995000000000008
334 3 4 14 -0.008188
335 3 4 15 0.05673
336 3 4 16 -8.00000000000023e-5
