i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4939624 1 100.0
2 0.5160601 9 81.0
3 1.06868725 4 77.0
4 1.17861685 2 75.0
5 0.8065229 5 70.0
6 1.1669322000000002 3 63.0
7 0.06326899999999985 18 54.0
8 0.37896004999999994 13 49.0
9 0.380466 12 47.0
10 0.43519905 10 44.0
11 0.19598989999999983 16 44.0
12 0.56171465 7 44.0
13 0.03935099999999986 19 42.0
14 0.5234478499999999 8 41.0
15 0.4344528999999999 11 40.0
16 0.35847885 14 37.0
17 0.6999915999999999 6 36.0
18 0.19772979999999996 15 33.0
19 0.1574346499999999 17 33.0
20 0.0 20 31.0
