t i j k u[t]=u_ijk
1 1 2 3 -0.03824895
2 1 2 4 -0.015747500000000005
3 1 2 5 0.00016849999999999922
4 1 2 6 -0.021108999999999996
5 1 2 7 -0.0626775
6 1 2 8 -0.0357165
7 1 2 9 -0.023327
8 1 2 10 0.025043000000000006
9 1 2 11 -0.031622000000000004
10 1 2 12 0.001032499999999999
11 1 2 13 -0.033266500000000004
12 1 2 14 0.004417000000000002
13 1 2 15 -0.02361275
14 1 2 16 -0.03387099999999999
15 1 2 17 -0.0406155
16 1 2 18 -0.060266499999999994
17 1 2 19 -0.009918999999999999
18 1 2 20 -0.08725900000000002
19 1 3 4 -0.023701050000000005
20 1 3 5 0.040703
21 1 3 6 0.04891345000000001
22 1 3 7 0.008434949999999997
23 1 3 8 0.01190945
24 1 3 9 0.05116495000000001
25 1 3 10 0.03633895
26 1 3 11 0.05868995
27 1 3 12 0.020597949999999997
28 1 3 13 -0.01754505000000001
29 1 3 14 0.031524449999999996
30 1 3 15 0.023323450000000003
31 1 3 16 0.007844950000000007
32 1 3 17 0.05085295000000001
33 1 3 18 -0.03232605
34 1 3 19 0.030765949999999997
35 1 3 20 -0.03616705
36 1 4 5 0.057206
37 1 4 6 0.036797500000000004
38 1 4 7 0.015396
39 1 4 8 -0.031002500000000002
40 1 4 9 0.07616300000000001
41 1 4 10 0.06519200000000001
42 1 4 11 0.024452500000000002
43 1 4 12 0.052202
44 1 4 13 0.014377500000000005
45 1 4 14 0.008302500000000003
46 1 4 15 0.05343050000000001
47 1 4 16 0.0025225000000000056
48 1 4 17 0.06164400000000002
49 1 4 18 -0.006289
50 1 4 19 0.05481200000000001
51 1 4 20 -0.0377595
52 1 5 6 0.010226500000000005
53 1 5 7 -0.031071500000000005
54 1 5 8 0.025755
55 1 5 9 0.015301499999999999
56 1 5 10 0.004172000000000004
57 1 5 11 0.007766499999999999
58 1 5 12 0.014254999999999999
59 1 5 13 -0.050419000000000005
60 1 5 14 0.037575
61 1 5 15 -0.0056154999999999955
62 1 5 16 -0.040619
63 1 5 17 0.003751000000000002
64 1 5 18 -0.030250499999999993
65 1 5 19 0.013434000000000001
66 1 5 20 -0.05092400000000001
67 1 6 7 -0.025390500000000014
68 1 6 8 0.0044689999999999955
69 1 6 9 0.020429999999999993
70 1 6 10 -0.0378905
71 1 6 11 0.021100999999999998
72 1 6 12 -0.010546000000000005
73 1 6 13 -0.027685500000000005
74 1 6 14 0.0022879999999999958
75 1 6 15 0.030111650000000004
76 1 6 16 0.013886500000000003
77 1 6 17 0.015868499999999997
78 1 6 18 -0.06420650000000001
79 1 6 19 -0.020805500000000008
80 1 6 20 -0.03098150000000001
81 1 7 8 0.015019500000000003
82 1 7 9 0.05612600000000001
83 1 7 10 0.02220050000000001
