l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.69315 -1.1715417499999996 0.47839175 -4.440892098500626e-16
2 1 3 0.31845 -0.5853270499999998 0.9037770500000001 -2.220446049250313e-16
3 2 3 0.19416 0.5862146999999999 -0.3920547 1.1102230246251565e-16
4 1 4 -1.5581 -0.6256879999999997 -0.9324120000000001 -2.220446049250313e-16
5 2 4 1.0498 0.54585375 0.50394625 0.0
6 3 4 2.220446049250313e-16 -0.04036094999999984 0.040360950000000194 -1.3183898417423734e-16
7 1 5 -0.47 -0.9051673999999996 0.43516740000000004 -4.440892098500626e-16
8 2 5 -0.074108 0.26637435 -0.34048235000000004 5.551115123125783e-17
9 3 5 -0.43078 -0.31984034999999983 -0.11093964999999995 -2.220446049250313e-16
10 4 5 -0.6131 -0.2794794 -0.33362060000000004 5.551115123125783e-17
11 1 6 -0.10536 -1.0181514499999997 0.91279145 -2.220446049250313e-16
12 2 6 -0.12516 0.15339029999999998 -0.27855030000000003 5.551115123125783e-17
13 3 6 -0.1466 -0.43282439999999983 0.28622439999999993 -1.1102230246251565e-16
14 4 6 -0.58779 -0.39246345 -0.19532655000000007 5.551115123125783e-17
15 5 6 0.53063 -0.11298405 0.64361405 0.0
16 1 7 -1.0116 -1.5614971999999996 0.5498972 -4.440892098500626e-16
17 2 7 -0.82668 -0.38995545 -0.43672455 0.0
18 3 7 -0.43532 -0.9761701499999997 0.5408501500000001 -4.440892098500626e-16
19 4 7 -1.1394 -0.9358092 -0.2035907999999999 0.0
20 5 7 -0.24116 -0.6563298 0.4151698000000001 -1.1102230246251565e-16
21 6 7 0.064539 -0.54334575 0.6078847500000001 -1.1102230246251565e-16
22 1 8 -1.4271 -1.5329283999999996 0.10582839999999996 -4.440892098500626e-16
23 2 8 -0.060625 -0.36138665 0.30076165 0.0
24 3 8 -0.49899 -0.9476013499999998 0.4486113499999999 -1.1102230246251565e-16
25 4 8 -1.3437 -0.9072404 -0.4364595999999999 -1.1102230246251565e-16
26 5 8 -0.865 -0.627761 -0.23723899999999998 0.0
27 6 8 -0.09531 -0.5147769499999999 0.41946694999999995 0.0
28 7 8 0.49644 0.028568800000000005 0.46787119999999993 5.551115123125783e-17
29 1 9 -1.8718 -1.3300205499999997 -0.5417794499999998 -2.220446049250313e-16
30 2 9 -0.65059 -0.15847880000000003 -0.4921112000000001 1.1102230246251565e-16
31 3 9 -0.83291 -0.7446934999999999 -0.08821650000000003 -1.1102230246251565e-16
32 4 9 -0.43532 -0.7043325500000001 0.2690125500000001 0.0
33 5 9 -0.45953 -0.42485315 -0.03467684999999999 0.0
34 6 9 -0.51083 -0.3118691 -0.19896090000000005 5.551115123125783e-17
35 7 9 0.91629 0.23147664999999995 0.68481335 1.1102230246251565e-16
36 8 9 0.40547 0.20290784999999995 0.20256215 5.551115123125783e-17
37 1 10 -1.9924 -1.5198866999999996 -0.4725133000000001 -2.220446049250313e-16
38 2 10 -0.53063 -0.34834495 -0.18228505000000012 5.551115123125783e-17
39 3 10 -0.45953 -0.9345596499999997 0.47502964999999997 -2.220446049250313e-16
