l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.76541 -0.9596264349999996 0.194216435 -4.440892098500626e-16
2 1 3 -0.028702 -0.5177186999999998 0.48901670000000014 -3.3306690738754696e-16
3 2 3 0.16593 0.4419077349999998 -0.27597773500000006 2.220446049250313e-16
4 1 4 -0.2502 -0.7049392999999996 0.4547393000000002 -5.551115123125783e-16
5 2 4 0.58218 0.25468713499999995 0.32749286500000013 -5.551115123125783e-17
6 3 4 -0.24544 -0.18722059999999985 -0.058219399999999984 -1.6653345369377348e-16
7 1 5 -0.83541 -0.9294715449999995 0.09406154500000002 -4.440892098500626e-16
8 2 5 0.029922 0.03015488999999999 -0.00023288999999999949 1.0408340855860843e-17
9 3 5 -0.33077 -0.4117528449999998 0.08098284500000003 -2.220446049250313e-16
10 4 5 -0.56746 -0.22453224499999996 -0.34292775500000006 5.551115123125783e-17
11 1 6 0.14242 -0.5687776499999999 0.7111976500000003 -4.440892098500626e-16
12 2 6 0.37714 0.39084878499999964 -0.013708785000000048 3.885780586188048e-16
13 3 6 -0.18732 -0.05105895000000016 -0.13626105 1.6653345369377348e-16
14 4 6 -0.059091 0.1361616499999997 -0.19525265000000008 3.885780586188048e-16
15 5 6 0.71633 0.36069389499999965 0.3556361050000001 2.7755575615628914e-16
16 1 7 -0.9466 -1.5362729999999991 0.5896730000000001 -8.881784197001252e-16
17 2 7 -0.79662 -0.5766465649999997 -0.21997343500000002 -3.3306690738754696e-16
18 3 7 -0.6093 -1.0185542999999995 0.4092543000000001 -6.661338147750939e-16
19 4 7 -0.73117 -0.8313336999999996 0.10016370000000009 -4.440892098500626e-16
20 5 7 -0.65938 -0.6068014549999996 -0.052578545 -3.3306690738754696e-16
21 6 7 -0.56739 -0.9674953499999993 0.40010535000000014 -7.771561172376096e-16
22 1 8 -0.96412 -1.4696788849999993 0.5055588850000003 -1.1102230246251565e-15
23 2 8 -0.4024 -0.5100524499999999 0.10765245000000007 -2.220446049250313e-16
24 3 8 -0.60943 -0.9519601849999997 0.3425301850000001 -4.440892098500626e-16
25 4 8 -0.92509 -0.7647395849999998 -0.16035041500000002 -1.1102230246251565e-16
26 5 8 -1.1545 -0.5402073399999998 -0.6142926600000004 1.1102230246251565e-16
27 6 8 -0.38224 -0.9009012349999994 0.5186612350000002 -7.771561172376096e-16
28 7 8 0.49919 0.06659411499999984 0.4325958850000001 5.551115123125783e-17
29 1 9 -1.7502 -1.4439855999999993 -0.3062144000000001 -6.661338147750939e-16
30 2 9 -0.57322 -0.4843591649999998 -0.088860835 -1.6653345369377348e-16
31 3 9 -0.85726 -0.9262668999999997 0.06900690000000002 -3.3306690738754696e-16
32 4 9 -0.68666 -0.7390462999999998 0.05238629999999998 -2.220446049250313e-16
33 5 9 -0.17513 -0.5145140549999998 0.33938405500000013 -3.3306690738754696e-16
34 6 9 -0.66872 -0.8752079499999994 0.20648795000000006 -6.661338147750939e-16
35 7 9 0.51807 0.09228739999999985 0.4257826000000003 -1.1102230246251565e-16
36 8 9 -0.3426 0.02569328500000001 -0.36829328500000014 1.1102230246251565e-16
37 1 10 -1.7342 -1.5766220499999992 -0.15757795000000005 -6.661338147750939e-16
38 2 10 -0.55892 -0.6169956149999997 0.05807561500000004 -3.3306690738754696e-16
39 3 10 -1.2702 -1.0589033499999996 -0.21129665000000006 -4.440892098500626e-16
40 4 10 -0.99129 -0.8716827499999996 -0.11960725000000003 -3.3306690738754696e-16
41 5 10 -0.69133 -0.6471505049999997 -0.044179495 -3.3306690738754696e-16
