i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.7304911749999992 1 100.0
2 0.7708647399999997 6 81.0
3 1.2127724749999995 2 77.0
4 1.0255518749999997 4 75.0
5 0.8010196299999996 5 70.0
6 1.1617135249999992 3 63.0
7 0.19421817500000005 15 54.0
8 0.2608122899999999 14 49.0
9 0.2865055749999999 12 47.0
10 0.15386912500000005 16 44.0
11 0.4452289049999998 9 44.0
12 0.2795664949999999 13 44.0
13 0.3262639999999999 11 42.0
14 0.5544151199999998 8 41.0
15 0.14684412500000016 17 40.0
16 0.33910076499999997 10 37.0
17 0.5868373849999998 7 36.0
18 0.10741842499999993 18 33.0
19 0.10240769499999997 19 33.0
20 0.0 20 31.0
