t i j k u[t]=u_ijk
1 1 2 3 -0.02853890000000001
2 1 2 4 0.0033485
3 1 2 5 0.004996099999999999
4 1 2 6 -0.026534500000000016
5 1 2 7 -0.03077150000000001
6 1 2 8 -0.010184500000000004
7 1 2 9 0.020578500000000007
8 1 2 10 0.020493500000000005
9 1 2 11 0.006922500000000003
10 1 2 12 0.068075835
11 1 2 13 0.02998100000000001
12 1 2 14 0.035380000000000016
13 1 2 15 0.006938999999999997
14 1 2 16 -0.023050500000000015
15 1 2 17 0.026027400000000003
16 1 2 18 0.008401500000000003
17 1 2 19 0.036762500000000004
18 1 2 20 0.045390000000000014
19 1 3 4 -0.0011971000000000013
20 1 3 5 0.023796900000000006
21 1 3 6 -0.017922100000000007
22 1 3 7 0.015429900000000007
23 1 3 8 0.016299400000000002
24 1 3 9 0.04321190000000001
25 1 3 10 0.021764900000000004
26 1 3 11 -0.013560100000000002
27 1 3 12 0.04171490000000001
28 1 3 13 0.04123890000000001
29 1 3 14 0.047497400000000016
30 1 3 15 0.028864900000000002
31 1 3 16 0.07111040000000002
32 1 3 17 0.0360199
33 1 3 18 0.04429790000000001
34 1 3 19 0.0352999
35 1 3 20 0.026609900000000016
36 1 4 5 0.0008875000000000024
37 1 4 6 -0.022585550000000006
38 1 4 7 -0.001738499999999999
39 1 4 8 -0.010558500000000002
40 1 4 9 0.04066700000000001
41 1 4 10 0.024635500000000008
42 1 4 11 -0.00202
43 1 4 12 0.07301400000000004
44 1 4 13 0.060299250000000026
45 1 4 14 0.06551850000000002
46 1 4 15 0.03468050000000001
47 1 4 16 0.024810000000000006
48 1 4 17 0.032277000000000014
49 1 4 18 0.008495000000000011
50 1 4 19 0.04743500000000002
51 1 4 20 0.08107400000000003
52 1 5 6 -0.013075000000000002
53 1 5 7 -0.027409500000000007
54 1 5 8 -0.05128950000000002
55 1 5 9 0.03698300000000001
56 1 5 10 0.010373000000000002
57 1 5 11 0.001290500000000003
58 1 5 12 0.037683
59 1 5 13 -0.024550500000000006
60 1 5 14 0.025882445000000007
61 1 5 15 0.009772
62 1 5 16 -0.023330500000000004
63 1 5 17 -0.004615500000000004
64 1 5 18 0.034405100000000015
65 1 5 19 0.05507950000000002
66 1 5 20 0.05654400000000002
67 1 6 7 0.026081500000000014
68 1 6 8 0.036215000000000004
69 1 6 9 0.06119500000000001
70 1 6 10 0.009556000000000002
71 1 6 11 0.04575900000000002
72 1 6 12 0.06481350000000001
73 1 6 13 0.024861000000000005
74 1 6 14 0.06534350000000001
75 1 6 15 0.060821000000000014
76 1 6 16 0.07077550000000002
77 1 6 17 0.019043000000000004
78 1 6 18 0.017116000000000013
79 1 6 19 0.049201000000000016
80 1 6 20 0.08029950000000004
81 1 7 8 0.025835500000000008
82 1 7 9 0.06608350000000002
83 1 7 10 0.03920505000000001
84 1 7 11 0.04050550000000002
85 1 7 12 0.05610260000000001
86 1 7 13 0.033664250000000014
87 1 7 14 0.04025250000000002
88 1 7 15 0.06882300000000001
89 1 7 16 0.03824050000000001
90 1 7 17 0.036653000000000005
91 1 7 18 0.002424500000000005
92 1 7 19 0.08539650000000003
93 1 7 20 0.03807850000000002
94 1 8 9 0.022174000000000006
95 1 8 10 0.047077000000000015
96 1 8 11 0.04564350000000002
97 1 8 12 0.05808048500000002
98 1 8 13 0.05571350000000002
99 1 8 14 0.034879000000000014
100 1 8 15 0.018378500000000002
101 1 8 16 0.06178550000000003
102 1 8 17 0.025129500000000006
103 1 8 18 0.0016845000000000059
104 1 8 19 0.07507000000000003
105 1 8 20 0.06626080000000004
106 1 9 10 -0.030844500000000014
107 1 9 11 -0.008099499999999999
108 1 9 12 0.03968000000000001
109 1 9 13 -0.0006764999999999982
110 1 9 14 -0.02707350000000001
111 1 9 15 0.0029544999999999997
112 1 9 16 0.020008
113 1 9 17 -0.02138050000000001
114 1 9 18 -0.032045000000000004
115 1 9 19 0.023748000000000012
116 1 9 20 0.018407500000000018
117 1 10 11 -0.003714999999999997
118 1 10 12 0.029852500000000004
119 1 10 13 0.01766950000000001
120 1 10 14 -0.05459300000000002
121 1 10 15 -0.015717000000000005
122 1 10 16 -0.007692500000000004
123 1 10 17 -0.007774000000000003
124 1 10 18 0.001795500000000006
125 1 10 19 0.022778500000000007
126 1 10 20 0.0020780000000000082
127 1 11 12 0.034576
