i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4342498450000005 1 100.0
2 0.7373387850000004 6 81.0
3 1.1352033850000005 2 77.0
4 1.0359242650000005 3 75.0
5 0.8358733650000003 5 70.0
6 0.9462994650000003 4 63.0
7 0.17621536500000018 16 54.0
8 0.30413181500000025 11 49.0
9 0.36383175500000026 9 47.0
10 0.030993115000000127 18 44.0
11 0.2529493650000002 15 44.0
12 0.3313103100000002 10 44.0
13 0.25726261500000014 13 42.0
14 0.3818878650000002 8 41.0
15 0.17522396500000015 17 40.0
16 0.2559081150000003 14 37.0
17 0.6383650750000003 7 36.0
18 0.0 20 33.0
19 0.3023249650000002 12 33.0
20 0.024563865000000185 19 31.0
