t i j k u[t]=u_ijk
1 1 2 3 0.1445175
2 1 2 4 0.05493
3 1 2 5 0.02876799999999999
4 1 2 6 -0.0196525
5 1 2 7 -0.0225995
6 1 2 8 -0.0058870000000000025
7 1 2 9 0.009116
8 1 2 10 0.054928
9 1 2 11 0.027079500000000003
10 1 2 12 0.0829135
11 1 2 13 0.05207399999999998
12 1 2 14 0.009707499999999985
13 1 2 15 0.05548099999999999
14 1 2 16 -0.05248749999999999
15 1 2 17 0.0018184999999999979
16 1 2 18 -0.0014084999999999987
17 1 2 19 -0.014382500000000003
18 1 2 20 0.052072499999999994
19 1 3 4 1.000000000001e-6
20 1 3 5 -0.011777500000000002
21 1 3 6 -0.025540499999999997
22 1 3 7 -0.028487499999999995
23 1 3 8 -0.06286
24 1 3 9 -0.003448499999999996
25 1 3 10 -0.012567500000000004
26 1 3 11 -0.07366500000000001
27 1 3 12 0.011160000000000002
28 1 3 13 0.03180149999999999
29 1 3 14 0.022683999999999992
30 1 3 15 -0.0018885000000000039
31 1 3 16 -0.05493
32 1 3 17 -0.023722
33 1 3 18 -0.016822999999999998
34 1 3 19 -0.06496
35 1 3 20 0.019234499999999995
36 1 4 5 -0.008215500000000002
37 1 4 6 -0.060199
38 1 4 7 -0.06404750000000001
39 1 4 8 -0.0458125
40 1 4 9 -0.0346575
41 1 4 10 0.007704999999999995
42 1 4 11 -0.033118999999999996
43 1 4 12 0.007157000000000007
44 1 4 13 0.05552399999999998
45 1 4 14 0.04091549999999999
46 1 4 15 -0.003707500000000008
47 1 4 16 -0.0818775
48 1 4 17 -0.0346575
49 1 4 18 -0.074078
50 1 4 19 0.005889999999999995
51 1 4 20 0.017414999999999986
52 1 5 6 -0.019651999999999996
53 1 5 7 -0.041333999999999996
54 1 5 8 -0.06419649999999999
55 1 5 9 -0.014383999999999996
56 1 5 10 0.015413000000000001
57 1 5 11 -0.0408265
58 1 5 12 -0.007226999999999995
59 1 5 13 -0.04278150000000001
60 1 5 14 0.1026535
61 1 5 15 -0.0509315
62 1 5 16 -0.04133150000000001
63 1 5 17 -0.027981000000000002
64 1 5 18 -0.100522
65 1 5 19 0.02616350000000001
66 1 5 20 0.023304499999999995
67 1 6 7 -0.056340999999999995
68 1 6 8 0.025543999999999997
69 1 6 9 0.005269000000000001
70 1 6 10 -0.029390999999999997
71 1 6 11 0.023630500000000002
72 1 6 12 0.0034540000000000013
73 1 6 13 0.06849949999999999
74 1 6 14 0.077614
75 1 6 15 0.013618999999999992
76 1 6 16 0.0077094999999999915
77 1 6 17 0.025541499999999995
78 1 6 18 0.0020409999999999985
79 1 6 19 0.011158999999999995
80 1 6 20 0.057340499999999996
81 1 7 8 0.042745
82 1 7 9 0.0674965
83 1 7 10 0.05147849999999999
84 1 7 11 0.0428725
85 1 7 12 0.0640485
86 1 7 13 0.09402949999999999
87 1 7 14 0.107005
88 1 7 15 0.07676449999999999
89 1 7 16 -0.04904000000000001
90 1 7 17 -0.06263850000000001
91 1 7 18 -0.007707500000000001
92 1 7 19 0.018455999999999997
93 1 7 20 0.099295
94 1 8 9 0.003447500000000003
95 1 8 10 0.01886000000000001
96 1 8 11 0.027077500000000004
97 1 8 12 0.005888500000000001
98 1 8 13 0.05796099999999999
99 1 8 14 0.008296499999999995
100 1 8 15 0.003997999999999996
101 1 8 16 0.03913749999999999
102 1 8 17 0.05352149999999999
103 1 8 18 -0.041735
104 1 8 19 0.0247525
105 1 8 20 0.04884349999999999
106 1 9 10 -0.041336500000000005
107 1 9 11 0.04390499999999999
108 1 9 12 0.043774999999999994
109 1 9 13 0.003032499999999988
110 1 9 14 -0.008126500000000009
111 1 9 15 0.015156999999999992
112 1 9 16 0.02130599999999999
113 1 9 17 -0.037097
114 1 9 18 -0.043774
115 1 9 19 0.013597499999999995
116 1 9 20 -0.006085000000000007
117 1 10 11 -0.015282999999999996
118 1 10 12 0.0472275
119 1 10 13 0.012151499999999996
120 1 10 14 0.029983499999999996
121 1 10 15 -0.014862000000000002
122 1 10 16 -0.07702
123 1 10 17 -0.044801999999999995
124 1 10 18 -0.10452049999999999
125 1 10 19 -0.029795999999999996
126 1 10 20 -0.018271000000000003
127 1 11 12 0.053394
128 1 11 13 0.111355
129 1 11 14 0.015876499999999995
130 1 11 15 0.002461499999999994
131 1 11 16 0.037601499999999996
132 1 11 17 -0.0015384999999999926
133 1 11 18 -0.039423
134 1 11 19 0.015508999999999993
135 1 11 20 0.03615
136 1 12 13 0.04680449999999999
137 1 12 14 0.066455
138 1 12 15 -0.007159000000000006
139 1 12 16 -0.001408500000000007
140 1 12 17 -0.053114
141 1 12 18 -0.0293915
142 1 12 19 0.0202725
143 1 12 20 -0.017244000000000006
144 1 13 14 -0.005890999999999999
145 1 13 15 0.005733000000000005
146 1 13 16 -0.029981
147 1 13 17 -0.040129999999999985
148 1 13 18 -0.040916999999999995
149 1 13 19 -0.04295699999999999
150 1 13 20 -0.020274999999999987
151 1 14 15 -0.022531000000000002
152 1 14 16 -0.0409135
153 1 14 17 -0.045396
154 1 14 18 -0.05207249999999999
155 1 14 19 -0.003817499999999996
156 1 14 20 1.1102230246251564e-17
157 1 15 16 0.0239825
158 1 15 17 0.030656500000000003
159 1 15 18 -0.036616499999999996
160 1 15 19 -0.014933499999999997
161 1 15 20 0.01341500000000001
162 1 16 17 -0.019487499999999994
163 1 16 18 -0.05148299999999999
164 1 16 19 -0.10256499999999999
165 1 16 20 -0.018275000000000003
166 1 17 18 0.03143050000000001
167 1 17 19 -0.05085649999999999
168 1 17 20 0.014188499999999998
169 1 18 19 -0.012974500000000005
170 1 18 20 0.05207249999999999
171 1 19 20 -0.023132500000000004
172 2 3 4 0.0895885
173 2 3 5 0.103972
174 2 3 6 0.13862950000000002
175 2 3 7 0.13862950000000002
176 2 3 8 0.0875445
177 2 3 9 0.13195300000000001
178 2 3 10 0.077022
179 2 3 11 0.043773000000000006
180 2 3 12 0.07276400000000001
181 2 3 13 0.124245
182 2 3 14 0.15749400000000002
183 2 3 15 0.08714800000000002
184 2 3 16 0.14207500000000003
185 2 3 17 0.11897700000000003
186 2 3 18 0.12910300000000002
187 2 3 19 0.09393999999999998
188 2 3 20 0.11167949999999997
189 2 4 5 0.017946500000000004
190 2 4 6 0.014383499999999999
191 2 4 7 0.013482000000000004
192 2 4 8 0.015004499999999999
