i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8731496499999998 1 93.0
2 0.6288757999999998 4 80.0
3 0.37986339999999985 14 78.0
4 0.5459789499999999 7 77.0
5 0.8008310369999998 2 58.0
6 0.43297588499999984 11 55.0
7 0.29682624999999985 16 55.0
8 0.16310259999999988 19 54.0
9 0.39062889999999983 12 52.0
10 0.5934674499999998 6 51.0
11 0.23221552799999984 18 48.0
12 0.4935955499999998 10 47.0
13 0.0 20 45.0
14 0.4942285499999998 9 41.0
15 0.6256518499999998 5 38.0
16 0.33922134999999987 15 38.0
17 0.5311511499999998 8 38.0
18 0.24764999999999993 17 37.0
19 0.3807264499999998 13 33.0
20 0.7644926499999998 3 26.0
