t i j k u[t]=u_ijk
1 1 2 3 0.08637600000000001
2 1 2 4 0.03807055000000001
3 1 2 5 0.07989900000000003
4 1 2 6 -0.02788500000000001
5 1 2 7 0.024230000000000005
6 1 2 8 -0.00021600000000000514
7 1 2 9 0.017357800000000003
8 1 2 10 0.10753850000000004
9 1 2 11 0.07090850000000001
10 1 2 12 0.06909900000000002
11 1 2 13 0.018196500000000004
12 1 2 14 -0.03561700000000001
13 1 2 15 0.08694000000000002
14 1 2 16 0.06522400000000002
15 1 2 17 0.0224945
16 1 2 18 0.0279105
17 1 2 19 0.06664200000000002
18 1 2 20 0.018215000000000002
19 1 3 4 0.0021319999999999985
20 1 3 5 0.011752050000000003
21 1 3 6 -0.02927050000000001
22 1 3 7 0.06780800000000002
23 1 3 8 0.00805645
24 1 3 9 -0.020208000000000007
25 1 3 10 0.0006953000000000024
26 1 3 11 0.012640500000000002
27 1 3 12 -0.013603000000000004
28 1 3 13 -0.02287100000000001
29 1 3 14 -0.04320940000000001
30 1 3 15 0.013034000000000006
31 1 3 16 -0.06175050000000002
32 1 3 17 0.025527000000000005
33 1 3 18 0.03278835
34 1 3 19 0.020329000000000003
35 1 3 20 0.04344200000000001
36 1 4 5 0.03946900000000001
37 1 4 6 -0.045829000000000016
38 1 4 7 0.009701000000000003
39 1 4 8 -0.031048000000000006
40 1 4 9 -0.039090500000000014
41 1 4 10 0.02217100000000001
42 1 4 11 0.03238800000000001
43 1 4 12 -0.0339645
44 1 4 13 0.03590500000000001
45 1 4 14 -0.03189025
46 1 4 15 0.03922050000000001
47 1 4 16 0.03741300000000001
48 1 4 17 -0.005757000000000003
49 1 4 18 -0.01616450000000001
50 1 4 19 0.04933480000000001
51 1 4 20 0.0162247
52 1 5 6 -0.06356150000000002
53 1 5 7 -0.07732450000000002
54 1 5 8 -0.06603750000000003
55 1 5 9 -0.05153350000000001
56 1 5 10 -0.04325350000000001
57 1 5 11 -0.011200837000000003
58 1 5 12 -0.04379300000000002
59 1 5 13 -0.035175500000000005
60 1 5 14 -0.10071100000000002
61 1 5 15 -0.027805000000000014
62 1 5 16 -0.02357250000000001
63 1 5 17 -0.004766000000000004
64 1 5 18 -0.020134000000000013
65 1 5 19 0.0013229999999999995
66 1 5 20 -0.022436000000000005
67 1 6 7 0.044042100000000015
68 1 6 8 0.05863400000000001
69 1 6 9 -0.015686000000000005
70 1 6 10 0.05405300000000002
71 1 6 11 0.043688665000000015
72 1 6 12 0.022603900000000003
73 1 6 13 0.055628600000000014
74 1 6 14 -0.010397000000000002
75 1 6 15 -0.01869800000000001
76 1 6 16 0.03564500000000002
77 1 6 17 0.05085550000000001
78 1 6 18 0.05322500000000001
79 1 6 19 0.12593950000000004
80 1 6 20 0.08473350000000002
81 1 7 8 0.0112015
82 1 7 9 -0.010479000000000002
83 1 7 10 0.03038750000000001
84 1 7 11 -0.045243500000000006
85 1 7 12 0.018897000000000004
86 1 7 13 0.008008000000000003
87 1 7 14 -0.0718705
88 1 7 15 0.014558000000000005
89 1 7 16 -0.011812000000000003
90 1 7 17 0.022703500000000005
91 1 7 18 0.048406000000000005
92 1 7 19 -0.012051000000000004
93 1 7 20 -0.027055500000000007
94 1 8 9 -0.023272000000000004
95 1 8 10 -0.009240499999999999
96 1 8 11 0.016263000000000007
97 1 8 12 0.029227500000000007
98 1 8 13 -0.04867700000000002
99 1 8 14 -0.07153150000000001
100 1 8 15 0.06362650000000002
101 1 8 16 -0.013544000000000002
102 1 8 17 -0.021417500000000006
103 1 8 18 0.017871000000000005
104 1 8 19 0.02589450000000001
105 1 8 20 0.1020675
106 1 9 10 0.050770000000000017
107 1 9 11 0.03710405000000001
108 1 9 12 -0.00031150000000000074
109 1 9 13 0.017126000000000006
110 1 9 14 0.01642850000000001
111 1 9 15 -0.003305
112 1 9 16 0.08898050000000002
113 1 9 17 0.015551500000000003
114 1 9 18 0.11860200000000003
115 1 9 19 0.07870050000000002
116 1 9 20 0.05340300000000002
117 1 10 11 -0.03158950000000001
118 1 10 12 -0.06250100000000001
119 1 10 13 -0.016718000000000007
120 1 10 14 -0.05566100000000001
121 1 10 15 -0.040346500000000014
122 1 10 16 -0.011114000000000006
123 1 10 17 0.008574499999999999
124 1 10 18 0.013136999999999998
125 1 10 19 0.06127850000000001
126 1 10 20 0.009683499999999998
127 1 11 12 -0.012186500000000005
128 1 11 13 -0.021725500000000002
129 1 11 14 0.006401500000000006
130 1 11 15 0.009787500000000003
131 1 11 16 0.035887000000000016
132 1 11 17 0.031866500000000006
133 1 11 18 0.07002800000000002
134 1 11 19 0.052162500000000014
135 1 11 20 0.025172000000000007
136 1 12 13 -0.006598500000000004
137 1 12 14 0.024743500000000012
138 1 12 15 -0.030530500000000002
139 1 12 16 0.021696000000000007
140 1 12 17 0.001580499999999999
141 1 12 18 0.061571
142 1 12 19 0.10264700000000003
143 1 12 20 0.05859300000000002
144 1 13 14 -0.03785250000000001
145 1 13 15 0.03503850000000001
146 1 13 16 0.032042500000000015
147 1 13 17 0.032003500000000004
148 1 13 18 0.0167075
149 1 13 19 0.02548425000000001
150 1 13 20 0.045394500000000004
151 1 14 15 0.06899300000000001
152 1 14 16 0.026618000000000006
153 1 14 17 0.004999999999999994
154 1 14 18 0.054492000000000006
155 1 14 19 0.07520145
156 1 14 20 0.05292000000000001
157 1 15 16 0.04378450000000001
158 1 15 17 0.0004244999999999986
159 1 15 18 0.037006000000000004
160 1 15 19 0.019899500000000007
161 1 15 20 0.013696300000000003
162 1 16 17 -0.02510450000000001
163 1 16 18 0.05538000000000001
164 1 16 19 0.023502300000000007
165 1 16 20 0.04648800000000001
166 1 17 18 -0.05603250000000003
167 1 17 19 0.02813750000000001
168 1 17 20 0.016080000000000004
169 1 18 19 0.010465500000000008
170 1 18 20 -0.08277250000000003
171 1 19 20 -0.010686000000000005
172 2 3 4 0.05043745000000001
173 2 3 5 0.018229050000000004
174 2 3 6 0.08499050000000002
175 2 3 7 0.12995400000000001
176 2 3 8 0.09464845000000001
177 2 3 9 0.04881020000000001
178 2 3 10 -0.020467200000000012
179 2 3 11 0.028108000000000008
180 2 3 12 0.0036740000000000032
181 2 3 13 0.045308500000000015
182 2 3 14 0.07878360000000002
183 2 3 15 0.012470000000000004
184 2 3 16 -0.04059850000000001
185 2 3 17 0.08940850000000003
186 2 3 18 0.09125385000000003
187 2 3 19 0.04006300000000001
188 2 3 20 0.11160300000000004
189 2 4 5 -0.00235945
190 2 4 6 0.020126550000000003
191 2 4 7 0.023541550000000005
192 2 4 8 0.007238550000000008
193 2 4 9 -0.018377750000000005
194 2 4 10 -0.04729695000000001
195 2 4 11 -0.0004499499999999991
196 2 4 12 -0.06499295000000002
197 2 4 13 0.05577905000000001
198 2 4 14 0.04179730000000001
199 2 4 15 -0.009648950000000003
200 2 4 16 0.010259550000000003
201 2 4 17 0.009819050000000001
202 2 4 18 -0.006004449999999996
203 2 4 19 0.020763350000000007
204 2 4 20 0.03608025000000001
205 2 5 6 0.044222500000000005
206 2 5 7 -0.0216555
207 2 5 8 0.014077500000000001
208 2 5 9 0.011007700000000004
209 2 5 10 -0.07089300000000003
210 2 5 11 -0.0022103369999999993
211 2 5 12 -0.032993
212 2 5 13 0.026527000000000012
213 2 5 14 0.014805000000000006
214 2 5 15 -0.03484600000000001
215 2 5 16 -0.008897500000000004
216 2 5 17 0.05263850000000001
217 2 5 18 0.0318545
218 2 5 19 0.014580000000000001
219 2 5 20 0.03924800000000001
220 2 6 7 -0.008072900000000003
221 2 6 8 0.030965000000000006
222 2 6 9 -0.06092880000000002
223 2 6 10 -0.08137050000000003
224 2 6 11 -0.05510483500000002
225 2 6 12 -0.07438010000000002
226 2 6 13 0.009547100000000001
227 2 6 14 -0.002665000000000001
228 2 6 15 -0.13352300000000006
229 2 6 16 -0.05746400000000002
230 2 6 17 0.0004760000000000016
231 2 6 18 -0.002570500000000001
232 2 6 19 0.0314125
233 2 6 20 0.03863350000000001
234 2 7 8 0.035647500000000006
235 2 7 9 -0.0036068
236 2 7 10 -0.05292100000000002
237 2 7 11 -0.09192200000000002
238 2 7 12 -0.025972000000000005
239 2 7 13 0.0140415
240 2 7 14 -0.012023500000000005
241 2 7 15 -0.048152000000000014
242 2 7 16 -0.05280600000000001
243 2 7 17 0.024439000000000006
244 2 7 18 0.04472550000000001
