l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.39557 -0.6388080000000002 0.243238 1.1102230246251565e-16
2 1 3 -0.81571 -0.6527840350000002 -0.162925965 1.1102230246251565e-16
3 2 3 0.91474 -0.013976035000000026 0.9287160349999997 3.608224830031759e-16
4 1 4 -0.77429 -0.5873621000000002 -0.18692789999999998 2.220446049250313e-16
5 2 4 0.11106 0.05144589999999999 0.05961409999999999 2.7755575615628914e-17
6 3 4 0.56089 0.06542193500000001 0.4954680649999999 8.326672684688674e-17
7 1 5 -1.0821 -0.7933642500000002 -0.28873575 2.220446049250313e-16
8 2 5 0.14268 -0.15455625000000006 0.2972362499999999 1.3877787807814457e-16
9 3 5 -0.39331 -0.14058021500000006 -0.25272978499999993 0.0
10 4 5 -0.38099 -0.20600215000000005 -0.17498784999999992 -2.7755575615628914e-17
11 1 6 -0.55597 -0.9355610000000002 0.37959099999999985 3.3306690738754696e-16
12 2 6 -0.38753 -0.29675300000000004 -0.09077700000000001 5.551115123125783e-17
13 3 6 -0.20881 -0.28277696500000005 0.073966965 5.551115123125783e-17
14 4 6 -0.81844 -0.34819890000000003 -0.4702410999999998 -1.1102230246251565e-16
15 5 6 0.47195 -0.14219674999999998 0.6141467499999997 2.220446049250313e-16
16 1 7 -0.72644 -0.7666081500000002 0.04016814999999997 2.220446049250313e-16
17 2 7 -0.38336 -0.12780015000000006 -0.2555598499999999 0.0
18 3 7 -0.056901 -0.11382411500000002 0.05692311500000003 -1.3877787807814457e-17
19 4 7 -0.20035 -0.17924605000000005 -0.021103950000000024 5.551115123125783e-17
20 5 7 -0.21895 0.026756100000000033 -0.24570609999999996 -8.326672684688674e-17
21 6 7 0.26036 0.16895285000000002 0.09140714999999994 2.7755575615628914e-17
22 1 8 -0.85138 -0.5480160000000003 -0.30336399999999997 2.220446049250313e-16
23 2 8 -0.47929 0.09079199999999993 -0.570082 5.551115123125783e-17
24 3 8 0.35865 0.10476803499999995 0.2538819649999999 1.942890293094024e-16
25 4 8 0.2198 0.03934609999999994 0.18045389999999994 1.1102230246251565e-16
26 5 8 -0.22071 0.24534825 -0.46605824999999973 -2.498001805406602e-16
27 6 8 0.85572 0.387545 0.4681749999999999 1.6653345369377348e-16
28 7 8 0.59324 0.21859214999999999 0.3746478499999999 1.1102230246251565e-16
29 1 9 -1.0441 -1.4680087000000004 0.42390869999999986 4.440892098500626e-16
30 2 9 -0.81053 -0.8292007000000001 0.018670700000000016 1.1102230246251565e-16
