t i j k u[t]=u_ijk
1 1 2 3 0.06674399999999998
2 1 2 4 0.024488999999999993
3 1 2 5 0.0414605
4 1 2 6 -0.011356499999999997
5 1 2 7 -0.0026244999999999984
6 1 2 8 -0.0011739999999999969
7 1 2 9 -0.008099999999999994
8 1 2 10 0.025500499999999992
9 1 2 11 0.018989999999999993
10 1 2 12 0.061282499999999976
11 1 2 13 -0.005304499999999993
12 1 2 14 -0.008643999999999999
13 1 2 15 0.052103
14 1 2 16 0.018574499999999994
15 1 2 17 0.02121949999999999
16 1 2 18 -0.013553499999999993
17 1 2 19 -0.016826999999999998
18 1 2 20 -0.019541499999999996
19 1 3 4 0.025973499999999993
20 1 3 5 -0.0063459999999999975
21 1 3 6 -0.023427499999999997
22 1 3 7 -0.007308550000000001
23 1 3 8 0.019715999999999994
24 1 3 9 -0.008894999999999997
25 1 3 10 -0.035220499999999995
26 1 3 11 -0.030109
27 1 3 12 0.0024429999999999916
28 1 3 13 0.007651500000000001
29 1 3 14 -0.029546999999999997
30 1 3 15 -0.009796499999999996
31 1 3 16 0.002517899999999996
32 1 3 17 -0.012006500000000005
33 1 3 18 0.01676149999999999
34 1 3 19 -0.009837000000000002
35 1 3 20 0.0012481849999999982
36 1 4 5 -0.0036589999999999973
37 1 4 6 -0.05183799999999999
38 1 4 7 -0.01241
39 1 4 8 0.014844499999999995
40 1 4 9 -0.048699499999999986
41 1 4 10 -0.0344045
42 1 4 11 0.011567499999999994
43 1 4 12 -0.005323500000000007
44 1 4 13 -0.004076499999999993
45 1 4 14 -0.029078999999999994
46 1 4 15 0.05062949999999998
47 1 4 16 0.0034760999999999963
48 1 4 17 -0.011339500000000006
49 1 4 18 0.025638499999999988
50 1 4 19 -0.019396999999999998
51 1 4 20 -0.02239499999999999
52 1 5 6 -0.002709000000000005
53 1 5 7 -0.028730499999999996
54 1 5 8 -0.022571499999999994
55 1 5 9 -0.037398499999999994
56 1 5 10 -0.021083499999999998
57 1 5 11 -0.002162000000000005
58 1 5 12 0.0025909999999999913
59 1 5 13 0.003007500000000001
60 1 5 14 -0.0657145
61 1 5 15 0.013203499999999995
62 1 5 16 -0.0007110000000000045
63 1 5 17 0.00453974999999999
64 1 5 18 -0.006914000000000002
65 1 5 19 -0.036402
66 1 5 20 -0.05622549999999998
67 1 6 7 0.021541499999999995
68 1 6 8 0.0575565
69 1 6 9 0.018177999999999996
