t i j k u[t]=u_ijk
1 1 2 3 0.03548549999999999
2 1 2 4 -0.03632599999999999
3 1 2 5 -0.007181499999999997
4 1 2 6 -0.055931999999999996
5 1 2 7 -0.03328149999999999
6 1 2 8 -0.05153559999999999
7 1 2 9 -0.03718949999999999
8 1 2 10 -0.044533849999999986
9 1 2 11 -0.015414899999999995
10 1 2 12 0.0031154399999999997
11 1 2 13 -0.06455999999999998
12 1 2 14 -0.03155249999999999
13 1 2 15 -0.03904849999999999
14 1 2 16 -0.010497499999999996
15 1 2 17 -0.038886
16 1 2 18 -0.009475999999999993
17 1 2 19 -0.051006499999999996
18 1 2 20 -0.02244849999999999
19 1 3 4 0.01667
20 1 3 5 -0.0139005
21 1 3 6 -0.012366499999999997
22 1 3 7 0.04221599999999999
23 1 3 8 -0.030452999999999997
24 1 3 9 0.019727499999999995
25 1 3 10 -0.023263449999999995
26 1 3 11 0.021791999999999995
27 1 3 12 0.029571699999999992
28 1 3 13 -0.01636249999999999
29 1 3 14 -0.013883449999999999
30 1 3 15 -0.026618999999999997
31 1 3 16 0.03572149999999999
32 1 3 17 0.011117549999999999
33 1 3 18 0.04135705
34 1 3 19 0.015647499999999995
35 1 3 20 0.0171388
36 1 4 5 -0.014250999999999998
37 1 4 6 -0.013827499999999998
38 1 4 7 0.03616549999999999
39 1 4 8 -0.03637249999999999
40 1 4 9 -0.00798455
41 1 4 10 -0.020301944999999995
42 1 4 11 -0.013000999999999995
43 1 4 12 0.008798499999999999
44 1 4 13 -0.031301499999999996
45 1 4 14 -0.03598745
46 1 4 15 -0.018294499999999995
47 1 4 16 -0.005105
48 1 4 17 -0.02558
49 1 4 18 0.011641000000000006
50 1 4 19 -0.009958499999999999
51 1 4 20 0.0038095000000000013
52 1 5 6 0.024321499999999996
53 1 5 7 0.015685349999999997
54 1 5 8 -0.0149185
55 1 5 9 -0.024913999999999995
56 1 5 10 -0.042215449999999995
57 1 5 11 0.0071425
58 1 5 12 0.022559924999999995
59 1 5 13 0.003541500000000001
60 1 5 14 -0.04024545
61 1 5 15 -0.025066899999999993
62 1 5 16 0.03886499999999999
63 1 5 17 -0.009675499999999997
64 1 5 18 0.039013149999999996
65 1 5 19 -0.024233999999999995
66 1 5 20 -0.034471499999999995
67 1 6 7 0.054415499999999985
68 1 6 8 -0.032178
69 1 6 9 -0.0155565
70 1 6 10 -0.00308945
71 1 6 11 0.011771599999999998
72 1 6 12 0.028681849999999995
73 1 6 13 0.0123215
74 1 6 14 -0.015494949999999997
75 1 6 15 -0.013390599999999996
76 1 6 16 0.024158499999999996
77 1 6 17 -0.0119765
78 1 6 18 0.0653685
79 1 6 19 0.04634599999999999
80 1 6 20 -0.0005694999999999949
81 1 7 8 -0.04845404999999999
82 1 7 9 -0.0401575
83 1 7 10 -0.04407509999999999
84 1 7 11 -0.032118999999999995
85 1 7 12 0.017219999999999996
86 1 7 13 -0.05750449999999999
87 1 7 14 -0.031301319999999994
88 1 7 15 -0.04140629999999999
89 1 7 16 -0.007818
90 1 7 17 -0.035407999999999995
91 1 7 18 0.03458349999999999
92 1 7 19 -0.06028499999999999
93 1 7 20 -0.03473099999999999
94 1 8 9 -0.007906999999999996
95 1 8 10 -0.00563145
96 1 8 11 0.02821005
97 1 8 12 0.017443999999999994
98 1 8 13 0.0149905
99 1 8 14 -0.0011344500000000006
100 1 8 15 0.036921999999999996
101 1 8 16 0.013463499999999998
102 1 8 17 0.03591799999999999
103 1 8 18 0.05485699999999999
104 1 8 19 0.023583549999999995
105 1 8 20 0.039481800000000004
106 1 9 10 -0.008483949999999999
107 1 9 11 -0.030768999999999998
108 1 9 12 0.04628899999999999
109 1 9 13 -0.0030414999999999995
110 1 9 14 0.010833049999999997
111 1 9 15 -0.029047499999999993
112 1 9 16 0.03922199999999999
113 1 9 17 0.00429803
114 1 9 18 0.036983499999999996
115 1 9 19 0.011265999999999998
116 1 9 20 0.02081125
117 1 10 11 -0.009556049999999996
118 1 10 12 -0.0006850500000000036
119 1 10 13 0.01120595
120 1 10 14 -0.0272785
121 1 10 15 -0.01880455
122 1 10 16 -0.000912050000000003
123 1 10 17 0.0221651
124 1 10 18 0.014669950000000006
125 1 10 19 -0.00291555
126 1 10 20 0.03900244999999999
127 1 11 12 0.028351999999999995
128 1 11 13 0.0034659999999999995
129 1 11 14 -0.02103845
130 1 11 15 -0.04662499999999999
131 1 11 16 0.009315999999999996
132 1 11 17 0.019753
133 1 11 18 0.0537445
134 1 11 19 0.013537999999999994
135 1 11 20 0.05754999999999999
136 1 12 13 -0.018001999999999994
137 1 12 14 -0.037194034999999986
138 1 12 15 -0.0351325
139 1 12 16 -0.004869499999999997
140 1 12 17 -0.018863999999999995
141 1 12 18 0.033527
142 1 12 19 -0.015871499999999997
143 1 12 20 -0.031202999999999984
144 1 13 14 -0.03762594999999999
145 1 13 15 -0.020446
146 1 13 16 0.026076999999999993
147 1 13 17 0.008044999999999998
148 1 13 18 0.028191869999999997
149 1 13 19 -0.018326999999999996
150 1 13 20 0.033526999999999994
151 1 14 15 0.0003689500000000012
152 1 14 16 0.03235754999999999
153 1 14 17 0.011057349999999999
154 1 14 18 0.027406950000000003
155 1 14 19 -0.004188549999999998
156 1 14 20 -0.011230049999999997
157 1 15 16 0.0241505
158 1 15 17 0.018810999999999998
159 1 15 18 0.06839714999999999
160 1 15 19 0.017437999999999995
161 1 15 20 -0.0037484999999999984
162 1 16 17 0.0006885000000000002
163 1 16 18 0.011796900000000003
164 1 16 19 0.03446949999999999
165 1 16 20 0.011250000000000001
166 1 17 18 0.023484
167 1 17 19 -0.0123925
168 1 17 20 0.022264
169 1 18 19 -0.08894299999999998
170 1 18 20 -0.055258499999999995
171 1 19 20 0.0175057
172 2 3 4 0.08848149999999998
173 2 3 5 0.02876649999999999
174 2 3 6 0.07905099999999998
175 2 3 7 0.11098299999999997
176 2 3 8 0.05656809999999999
177 2 3 9 0.09240249999999998
178 2 3 10 0.056755899999999984
179 2 3 11 0.07269239999999998
180 2 3 12 0.06194175999999999
181 2 3 13 0.08368299999999997
182 2 3 14 0.05315454999999998
183 2 3 15 0.047915
184 2 3 16 0.08170449999999997
185 2 3 17 0.08548904999999997
186 2 3 18 0.08631855
187 2 3 19 0.1021395
188 2 3 20 0.07507279999999998
189 2 4 5 -0.04339549999999999
190 2 4 6 0.005778499999999999
191 2 4 7 0.033121
192 2 4 8 -0.0211629
193 2 4 9 -0.007121049999999999
194 2 4 10 -0.012094095
195 2 4 11 -0.033912099999999994
196 2 4 12 -0.03064293999999999
197 2 4 13 -0.0030675000000000003
198 2 4 14 -0.04076094999999999
199 2 4 15 -0.015571999999999997
200 2 4 16 -0.0309335
201 2 4 17 -0.02302
202 2 4 18 -0.015208999999999995
203 2 4 19 0.004721999999999998
204 2 4 20 -0.010068
205 2 5 6 0.073072
206 2 5 7 0.04178535
207 2 5 8 0.029435599999999996
208 2 5 9 0.0050940000000000004
