i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8107995500000003 2 93.0
2 0.4264454000000001 9 80.0
3 0.08947004999999997 19 78.0
4 0.7893792000000002 4 77.0
5 0.4576685500000001 8 58.0
6 0.6828985500000002 5 55.0
7 0.24280565000000012 16 55.0
8 0.16252525000000007 18 54.0
9 0.37753475000000003 10 52.0
10 0.8081800500000001 3 51.0
11 0.23852655000000006 17 48.0
12 0.5746814000000002 6 47.0
13 0.0 20 45.0
14 0.35763750000000005 13 41.0
15 0.5282932000000001 7 38.0
16 0.36856770000000005 11 38.0
17 0.8252144000000001 1 38.0
18 0.28955810000000015 14 37.0
19 0.28824320000000003 15 33.0
20 0.3628919500000001 12 26.0
