t i j k u[t]=u_ijk
1 1 2 3 0.04104500000000001
2 1 2 4 -0.010252150000000005
3 1 2 5 0.0046459999999999965
4 1 2 6 -0.033311950000000014
5 1 2 7 -0.01645015000000001
6 1 2 8 -0.024935500000000013
7 1 2 9 -0.0014926500000000038
8 1 2 10 0.0033533500000000006
9 1 2 11 -0.01596145000000001
10 1 2 12 0.015737500000000005
11 1 2 13 -0.03819100000000002
12 1 2 14 -0.02948050000000001
13 1 2 15 0.015290500000000002
14 1 2 16 0.005272599999999999
15 1 2 17 -0.00026600000000000245
16 1 2 18 -0.0027245000000000056
17 1 2 19 -0.01583500000000001
18 1 2 20 -0.01985600000000001
19 1 3 4 0.005993500000000003
20 1 3 5 -0.009969500000000004
21 1 3 6 -0.023967950000000005
22 1 3 7 0.002378000000000002
23 1 3 8 -0.02204300000000001
24 1 3 9 -0.011836500000000005
25 1 3 10 -0.007278000000000001
26 1 3 11 -0.012778000000000003
27 1 3 12 -0.006352500000000002
28 1 3 13 -0.015617500000000005
29 1 3 14 -0.021188000000000005
30 1 3 15 -0.007626500000000001
31 1 3 16 -0.003455000000000001
32 1 3 17 -0.010697500000000004
33 1 3 18 0.0006349999999999997
34 1 3 19 0.0032715000000000036
35 1 3 20 0.021141500000000008
36 1 4 5 -0.01866550000000001
37 1 4 6 -0.030201450000000005
38 1 4 7 -0.0075593500000000055
39 1 4 8 0.004225999999999999
40 1 4 9 -0.02407550000000001
41 1 4 10 0.006032000000000002
42 1 4 11 -0.011970500000000005
43 1 4 12 0.0058155
44 1 4 13 0.009725000000000001
45 1 4 14 0.004646400000000002
46 1 4 15 0.012503500000000006
47 1 4 16 0.0061129999999999995
48 1 4 17 -0.01646000000000001
49 1 4 18 -0.01614850000000001
50 1 4 19 0.0008685
51 1 4 20 -0.006268000000000004
52 1 5 6 0.0008040500000000036
53 1 5 7 -0.02486150000000001
54 1 5 8 -0.008195500000000001
55 1 5 9 -0.011881000000000003
56 1 5 10 -0.0009554999999999969
57 1 5 11 0.021816000000000012
58 1 5 12 0.009998000000000005
59 1 5 13 0.006912000000000006
60 1 5 14 -0.026104000000000006
61 1 5 15 0.0016380500000000037
62 1 5 16 0.028248000000000013
63 1 5 17 0.007979100000000006
64 1 5 18 -0.0006399999999999991
65 1 5 19 -0.017233500000000002
66 1 5 20 -0.031033000000000012
67 1 6 7 0.033498450000000006
68 1 6 8 0.02222645000000001
69 1 6 9 0.003160449999999999
70 1 6 10 0.02334895000000001
71 1 6 11 0.021993450000000008
72 1 6 12 0.030442750000000008
73 1 6 13 0.02707945000000001
74 1 6 14 -0.0022160500000000007
75 1 6 15 0.007637450000000002
76 1 6 16 0.012373950000000002
77 1 6 17 0.022850950000000005
78 1 6 18 0.020972450000000004
79 1 6 19 0.054637950000000025
80 1 6 20 0.015320450000000003
81 1 7 8 0.006935500000000003
82 1 7 9 0.01722250000000001
83 1 7 10 0.025409750000000012
84 1 7 11 -0.019968500000000007
85 1 7 12 0.04402100000000001
86 1 7 13 0.0028400000000000044
87 1 7 14 -0.005812500000000001
