i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.1756653999999997 1 93.0
2 0.7285547029999997 3 80.0
3 0.7003353499999997 7 78.0
4 0.8517518494999996 2 77.0
5 0.7127355349999998 4 58.0
6 0.7121981469999996 5 55.0
7 0.5616926999999997 11 55.0
8 0.6387082654999997 9 54.0
9 0.5344902999999998 13 52.0
10 0.6344725499999997 10 51.0
11 0.3510229999999998 18 48.0
12 0.6658565999999997 8 47.0
13 0.0 20 45.0
14 0.3814255999999998 16 41.0
15 0.7117125999999997 6 38.0
16 0.4822923499999997 14 38.0
17 0.34663644999999976 19 38.0
18 0.41358514999999973 15 37.0
19 0.3735694999999998 17 33.0
20 0.5557029499999998 12 26.0
