l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.060021 -0.5771678099999998 0.6371888100000002 -3.3306690738754696e-16
2 1 3 -0.46897 -0.43537959999999987 -0.03359039999999999 -1.1102230246251565e-16
3 2 3 0.86497 0.14178820999999997 0.7231817900000002 -1.1102230246251565e-16
4 1 4 -0.38208 -0.3173775499999999 -0.06470245 -1.1102230246251565e-16
5 2 4 0.25675 0.25979025999999994 -0.003040260000000015 5.551115123125783e-17
6 3 4 0.42037 0.11800204999999997 0.30236795000000016 -1.1102230246251565e-16
7 1 5 -0.94091 -0.6298266999999999 -0.31108330000000006 -1.1102230246251565e-16
8 2 5 0.18817 -0.052658889999999986 0.2408288900000001 -1.1102230246251565e-16
9 3 5 -0.45865 -0.19444709999999996 -0.2642029000000001 2.7755575615628914e-17
10 4 5 -0.31008 -0.31244914999999995 0.002369149999999998 -5.551115123125783e-17
11 1 6 -0.37839 -0.6576108999999998 0.2792209000000001 -3.3306690738754696e-16
12 2 6 -0.23711 -0.08044309 -0.15666691000000005 5.551115123125783e-17
13 3 6 -0.053605 -0.22223129999999996 0.16862630000000003 -5.551115123125783e-17
14 4 6 -0.81669 -0.34023334999999993 -0.4764566500000002 1.1102230246251565e-16
15 5 6 0.15187 -0.027784200000000005 0.17965420000000001 -3.469446951953614e-18
16 1 7 -0.49552 -0.4971365249999999 0.0016165250000000075 -1.6653345369377348e-16
17 2 7 0.11435 0.08003128499999995 0.034318714999999986 5.551115123125783e-17
18 3 7 0.015161 -0.06175692500000002 0.076917925 2.0816681711721685e-17
19 4 7 0.078993 -0.179758975 0.258751975 -5.551115123125783e-17
20 5 7 -0.33355 0.13269017499999994 -0.46624017500000015 1.942890293094024e-16
21 6 7 0.64351 0.16047437499999995 0.483035625 5.551115123125783e-17
22 1 8 -0.61255 -0.5024259999999998 -0.1101240000000001 -1.1102230246251565e-16
23 2 8 -0.27227 0.07474180999999996 -0.3470118100000001 1.1102230246251565e-16
24 3 8 0.079563 -0.0670464 0.14660940000000006 -5.551115123125783e-17
25 4 8 -0.030788 -0.18504844999999998 0.15426045000000005 -8.326672684688674e-17
26 5 8 0.020258 0.12740069999999995 -0.10714270000000005 1.1102230246251565e-16
27 6 8 0.25295 0.15518489999999996 0.09776510000000002 2.7755575615628914e-17
28 7 8 0.1878 -0.005289474999999988 0.19308947500000007 -8.326672684688674e-17
29 1 9 -0.90189 -1.000850275 0.09896027500000006 -2.220446049250313e-16
30 2 9 -0.16901 -0.42368246499999995 0.25467246500000007 -1.1102230246251565e-16
31 3 9 -0.31939 -0.5654706749999999 0.2460806750000001 -2.220446049250313e-16
32 4 9 -1.1063 -0.6834727249999999 -0.42282727500000017 0.0
33 5 9 -0.1572 -0.37102357499999994 0.21382357500000004 -1.1102230246251565e-16
34 6 9 -0.44149 -0.34323937499999996 -0.09825062500000002 0.0
35 7 9 0.0018805 -0.50371375 0.5055942500000001 -2.220446049250313e-16
36 8 9 -0.64871 -0.4984242749999999 -0.1502857250000001 0.0
37 1 10 -0.75029 -0.7390658499999998 -0.011224150000000025 -2.220446049250313e-16
38 2 10 -0.064539 -0.16189803999999997 0.09735904000000001 -5.551115123125783e-17
39 3 10 -0.62027 -0.30368624999999994 -0.31658375 -5.551115123125783e-17
40 4 10 -0.43386 -0.4216882999999999 -0.012171700000000011 -1.1102230246251565e-16
41 5 10 -0.49376 -0.10923914999999998 -0.38452085 2.7755575615628914e-17
42 6 10 0.097131 -0.08145494999999997 0.17858595000000005 -8.326672684688674e-17
43 7 10 -0.09856 -0.24192932499999992 0.14336932500000005 -1.1102230246251565e-16
44 8 10 -0.36801 -0.23663984999999993 -0.13137015000000002 -5.551115123125783e-17
45 9 10 0.38529 0.261784425 0.12350557500000002 0.0
46 1 11 -0.5234 -0.7847930899999997 0.2613930900000001 -3.3306690738754696e-16
47 2 11 -0.0043788 -0.20762527999999994 0.20324648000000003 -8.326672684688674e-17
48 3 11 -0.51729 -0.3494134899999999 -0.16787651000000015 0.0
49 4 11 -0.19988 -0.46741553999999985 0.2675355400000001 -2.7755575615628914e-16
50 5 11 0.33384 -0.15496638999999995 0.48880639000000015 -1.6653345369377348e-16
51 6 11 0.012823 -0.12718218999999995 0.14000519000000003 -8.326672684688674e-17
52 7 11 -0.84807 -0.2876565649999999 -0.5604134350000001 0.0
53 8 11 0.16287 -0.28236708999999993 0.4452370900000001 -2.220446049250313e-16
54 9 11 0.24374 0.216057185 0.02768281500000002 -2.7755575615628914e-17
55 10 11 -0.27891 -0.045727239999999975 -0.23318276000000007 5.551115123125783e-17
56 1 12 -0.79416 -0.6880951249999998 -0.10606487499999998 -2.220446049250313e-16
57 2 12 0.45188 -0.11092731499999997 0.5628073150000003 -2.7755575615628914e-16
58 3 12 -0.23851 -0.25271552499999994 0.014205525000000007 -5.551115123125783e-17
59 4 12 -0.30005 -0.3707175749999999 0.07066757500000004 -1.1102230246251565e-16
60 5 12 0.13326 -0.05826842499999999 0.19152842500000003 -4.85722573273506e-17
61 6 12 -0.20313 -0.030484224999999983 -0.17264577500000006 3.469446951953614e-17
62 7 12 0.58144 -0.19095859999999992 0.7723986000000002 -2.7755575615628914e-16
63 8 12 -0.019853 -0.18566912499999993 0.1658161250000001 -1.6653345369377348e-16
64 9 12 0.17522 0.31275515 -0.13753515000000005 5.551115123125783e-17
65 10 12 -0.45984 0.05097072499999999 -0.5108107250000002 2.2898349882893854e-16
66 11 12 0.27012 0.09669796499999997 0.1734220350000001 -5.551115123125783e-17
67 1 13 -1.1453 -1.0943875999999997 -0.050912400000000003 -2.220446049250313e-16
68 2 13 -1.243 -0.51721979 -0.7257802100000003 1.1102230246251565e-16
69 3 13 -0.63988 -0.6590079999999998 0.019128000000000023 -2.220446049250313e-16
70 4 13 0.012507 -0.7770100499999999 0.7895170500000004 -4.440892098500626e-16
71 5 13 -0.25247 -0.46456089999999994 0.21209090000000003 -1.1102230246251565e-16
72 6 13 -0.17305 -0.4367766999999999 0.26372670000000004 -1.1102230246251565e-16
73 7 13 -0.13264 -0.5972510749999999 0.46461107500000015 -3.3306690738754696e-16
74 8 13 -0.64614 -0.5919615999999999 -0.05417840000000006 -1.1102230246251565e-16
