i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.3202405555555559 1 84.0
2 0.09407688888888882 17 63.0
3 0.3761268888888889 8 55.0
4 0.648990138888889 4 54.0
5 0.807278827777778 2 54.0
6 0.7804970000000001 3 53.0
7 0.0 18 51.0
8 0.30474783333333333 10 49.0
9 0.45580055555555554 6 47.0
10 0.14216111111111096 15 43.0
11 0.41000495000000003 7 42.0
12 0.22155444444444433 13 41.0
13 0.19824611111111112 14 39.0
14 0.1374292222222222 16 36.0
15 0.2676913888888889 12 36.0
16 0.3548855 9 33.0
17 0.6263028333333335 5 31.0
18 0.29859575 11 22.0
