l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.46283 -0.8211744666666666 0.3583444666666666 0.0
2 1 3 -0.36614 -0.6927135555555555 0.3265735555555555 0.0
3 2 3 0.085578 0.12846091111111113 -0.04288291111111109 -5.551115123125783e-17
4 1 4 -0.08483 -0.060659999999999936 -0.024169999999999952 -1.1102230246251565e-16
5 2 4 0.34125 0.7605144666666667 -0.41926446666666667 0.0
6 3 4 0.43632 0.6320535555555555 -0.19573355555555552 0.0
7 1 5 0.3133 -0.5504199777777777 0.8637199777777776 1.1102230246251565e-16
8 2 5 -0.0064086 0.27075448888888887 -0.2771630888888888 -5.551115123125783e-17
9 3 5 0.18108 0.14229357777777776 0.03878642222222225 -2.7755575615628914e-17
10 4 5 -0.59993 -0.4897599777777778 -0.11017002222222219 0.0
11 1 6 -0.63468 -0.31176772222222215 -0.32291227777777776 -1.1102230246251565e-16
12 2 6 0.089552 0.5094067444444444 -0.4198547444444444 0.0
13 3 6 0.94533 0.3809458333333333 0.5643841666666668 -1.1102230246251565e-16
14 4 6 -0.86925 -0.2511077222222222 -0.6181422777777777 0.0
15 5 6 0.12323 0.23865225555555558 -0.11542225555555553 -5.551115123125783e-17
16 1 7 -1.2606 -0.9951275555555554 -0.26547244444444423 -2.220446049250313e-16
17 2 7 0.76221 -0.17395308888888888 0.9361630888888889 5.551115123125783e-17
18 3 7 -0.67922 -0.302414 -0.37680600000000003 0.0
19 4 7 0.20795 -0.9344675555555555 1.1424175555555556 -1.1102230246251565e-16
20 5 7 0.064194 -0.44470757777777775 0.5089015777777778 -5.551115123125783e-17
21 6 7 -0.90856 -0.6833598333333333 -0.22520016666666676 0.0
22 1 8 0.3847 -0.6825022222222221 1.0672022222222224 -2.220446049250313e-16
23 2 8 -0.22098 0.13867224444444448 -0.3596522444444444 -1.1102230246251565e-16
24 3 8 0.046864 0.010211333333333343 0.03665266666666668 -2.0816681711721685e-17
25 4 8 -0.44661 -0.6218422222222222 0.1752322222222222 0.0
26 5 8 0.25325 -0.1320822444444444 0.38533224444444436 2.7755575615628914e-17
27 6 8 0.010891 -0.37073449999999997 0.38162549999999995 0.0
