l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.47836 -0.447529222222222 -0.03083077777777777 -2.220446049250313e-16
2 1 3 -0.68045 -0.19730969999999984 -0.4831403 -1.3877787807814457e-16
3 2 3 0.38745 0.25021952222222216 0.13723047777777778 5.551115123125783e-17
4 1 4 -0.26199 -0.20846261111111097 -0.0535273888888889 -1.1102230246251565e-16
5 2 4 -0.62344 0.23906661111111105 -0.862506611111111 0.0
6 3 4 0.38109 -0.011152911111111136 0.39224291111111115 -2.7755575615628914e-17
7 1 5 0.048692 -0.2683710555555554 0.31706305555555564 -2.220446049250313e-16
8 2 5 0.27642 0.17915816666666662 0.09726183333333333 5.551115123125783e-17
9 3 5 -0.40477 -0.07106135555555557 -0.3337086444444445 2.7755575615628914e-17
10 4 5 -0.84343 -0.05990844444444443 -0.7835215555555555 -1.1102230246251565e-16
11 1 6 0.21091 -0.07233752222222212 0.2832475222222222 -1.1102230246251565e-16
12 2 6 0.048434 0.3751916999999999 -0.32675770000000004 1.1102230246251565e-16
13 3 6 0.0025756 0.12497217777777772 -0.12239657777777775 2.7755575615628914e-17
14 4 6 -0.40385 0.13612508888888886 -0.5399750888888889 5.551115123125783e-17
15 5 6 0.07602 0.1960335333333333 -0.12001353333333332 5.551115123125783e-17
16 1 7 -0.20707 -0.7842691888888886 0.5771991888888888 -1.1102230246251565e-16
17 2 7 0.36162 -0.3367399666666666 0.6983599666666667 -5.551115123125783e-17
18 3 7 -0.81067 -0.5869594888888888 -0.22371051111111112 -1.1102230246251565e-16
19 4 7 -0.30759 -0.5758065777777777 0.2682165777777778 -1.1102230246251565e-16
20 5 7 -0.43516 -0.5158981333333332 0.08073813333333332 -1.1102230246251565e-16
21 6 7 -0.68135 -0.7119316666666665 0.03058166666666666 -1.1102230246251565e-16
22 1 8 0.098041 -0.5530664777777775 0.6511074777777778 -2.220446049250313e-16
23 2 8 -0.13675 -0.10553725555555551 -0.03121274444444448 -1.3877787807814457e-17
24 3 8 -0.27082 -0.3557567777777777 0.08493677777777775 -5.551115123125783e-17
25 4 8 -0.35822 -0.34460386666666654 -0.013616133333333329 -1.1102230246251565e-16
26 5 8 0.15213 -0.2846954222222221 0.43682542222222215 -5.551115123125783e-17
27 6 8 0.046679 -0.4807289555555554 0.5274079555555554 0.0
28 7 8 0.0012584 0.2312027111111111 -0.22994431111111113 2.7755575615628914e-17
29 1 9 -0.24666 -0.3132432777777776 0.06658327777777781 -2.220446049250313e-16
30 2 9 0.20309 0.1342859444444444 0.06880405555555555 5.551115123125783e-17
31 3 9 -0.16527 -0.11593357777777778 -0.04933642222222224 1.3877787807814457e-17
32 4 9 0.69376 -0.10478066666666665 0.7985406666666666 1.249000902703301e-16
33 5 9 -0.25456 -0.044872222222222216 -0.2096877777777778 1.3877787807814457e-17
34 6 9 -0.40933 -0.2409057555555555 -0.16842424444444437 -1.6653345369377348e-16
35 7 9 0.94048 0.47102591111111103 0.46945408888888884 1.1102230246251565e-16
36 8 9 1.0339 0.2398231999999999 0.7940768000000001 0.0
37 1 10 -0.41783 -0.487993722222222 0.07016372222222225 -2.7755575615628914e-16
38 2 10 -0.19608 -0.040464499999999966 -0.15561550000000002 -2.0816681711721685e-17
39 3 10 -0.90909 -0.2906840222222221 -0.6184059777777777 -1.1102230246251565e-16
40 4 10 -0.34184 -0.279531111111111 -0.06230888888888887 -1.1102230246251565e-16
41 5 10 -0.27977 -0.21962266666666658 -0.06014733333333335 -8.326672684688674e-17
42 6 10 -1.0845 -0.41565619999999986 -0.6688438 -1.6653345369377348e-16
43 7 10 0.35356 0.29627546666666665 0.05728453333333331 0.0
44 8 10 1.8181 0.06507275555555556 1.7530272444444444 1.3877787807814457e-16
45 9 10 -0.16502 -0.17475044444444437 0.00973044444444449 -1.1102230246251565e-16
46 1 11 -0.58483 -0.27263716666666654 -0.31219283333333325 -1.6653345369377348e-16
47 2 11 0.021296 0.17489205555555548 -0.15359605555555556 8.326672684688674e-17
48 3 11 0.030968 -0.07532746666666669 0.10629546666666667 1.3877787807814457e-17
49 4 11 -0.47168 -0.06417455555555555 -0.4075054444444445 4.163336342344337e-17
50 5 11 0.040416 -0.004266111111111123 0.04468211111111112 6.938893903907228e-18
51 6 11 -0.071181 -0.20029964444444442 0.12911864444444443 0.0
52 7 11 0.62978 0.5116320222222221 0.1181479777777778 0.0
53 8 11 0.23106 0.280429311111111 -0.049369311111111105 5.551115123125783e-17
54 9 11 0.54001 0.04060611111111109 0.4994038888888888 8.326672684688674e-17
55 10 11 0.3762 0.21535655555555544 0.1608434444444444 1.3877787807814457e-16
56 1 12 -0.5719 -0.49011305555555534 -0.08178694444444441 -2.220446049250313e-16
57 2 12 0.27256 -0.04258383333333333 0.3151438333333334 -4.85722573273506e-17
58 3 12 0.031402 -0.2928033555555555 0.3242053555555555 -5.551115123125783e-17
59 4 12 -0.22541 -0.28165044444444437 0.05624044444444442 -5.551115123125783e-17
60 5 12 -0.19995 -0.22174199999999994 0.021792000000000027 -8.326672684688674e-17
61 6 12 -0.7251 -0.4177755333333332 -0.30732446666666663 -1.1102230246251565e-16
62 7 12 0.25915 0.2941561333333333 -0.03500613333333334 5.551115123125783e-17
63 8 12 -0.20953 0.0629534222222222 -0.2724834222222222 2.7755575615628914e-17
64 9 12 0.35864 -0.17686977777777774 0.5355097777777778 0.0
65 10 12 0.26835 -0.002119333333333362 0.27046933333333334 0.0
66 11 12 -0.22844 -0.2174758888888888 -0.010964111111111119 -8.326672684688674e-17
67 1 13 0.12632 -0.3380981666666665 0.46441816666666663 -1.6653345369377348e-16
