i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7842691888888886 1 84.0
2 0.3367399666666666 9 63.0
3 0.5869594888888888 3 55.0
4 0.5758065777777777 4 54.0
5 0.5158981333333332 5 54.0
6 0.7119316666666665 2 53.0
7 0.0 18 51.0
8 0.2312027111111111 15 49.0
9 0.47102591111111103 7 47.0
10 0.29627546666666665 11 43.0
11 0.5116320222222221 6 42.0
12 0.2941561333333333 13 41.0
13 0.44617102222222216 8 39.0
14 0.20040235555555555 16 36.0
15 0.2961644666666666 12 36.0
16 0.23912902222222218 14 33.0
17 0.3345543555555555 10 31.0
18 0.14175991111111116 17 22.0
