i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4428694444444439 1 84.0
2 0.19011305555555535 16 63.0
3 0.6964062777777775 4 55.0
4 0.5512419999999998 9 54.0
5 1.0100040555555552 2 54.0
6 0.6498648333333331 5 53.0
7 0.20833711111111108 15 51.0
8 0.28472805555555536 10 49.0
9 0.0 18 47.0
10 0.21790277777777767 12 43.0
11 0.5645059999999997 8 42.0
12 0.8613072777777775 3 41.0
13 0.6167654444444443 6 39.0
14 0.12767083333333323 17 36.0
15 0.21661466666666657 13 36.0
16 0.22892416666666654 11 33.0
17 0.6017694444444442 7 31.0
18 0.21123955555555546 14 22.0
