t i j k u[t]=u_ijk
1 1 2 3 0.007841111111111113
2 1 2 4 -0.03030277777777778
3 1 2 5 -0.02294105555555555
4 1 2 6 0.018422222222222222
5 1 2 7 0.02964166666666667
6 1 2 8 -0.07110555555555556
7 1 2 9 0.020046111111111112
8 1 2 10 0.00751616666666667
9 1 2 11 0.03750111111111112
10 1 2 12 0.01689222222222223
11 1 2 13 0.0065170277777777804
12 1 2 14 -0.03252222222222223
13 1 2 15 0.02599
14 1 2 16 0.02749388888888889
15 1 2 17 0.012860388888888893
16 1 2 18 0.020935555555555554
17 1 3 4 -0.016440000000000003
18 1 3 5 -0.019145500000000003
19 1 3 6 0.027480555555555553
20 1 3 7 -0.024056111111111115
21 1 3 8 -0.048102777777777786
22 1 3 9 0.013100888888888886
23 1 3 10 0.0074016666666666675
24 1 3 11 0.012439444444444439
25 1 3 12 -0.016194444444444445
26 1 3 13 0.005345
27 1 3 14 -0.02605444444444445
28 1 3 15 -0.00930777777777778
29 1 3 16 0.048897777777777776
30 1 3 17 0.01587111111111111
31 1 3 18 0.02363777777777777
32 1 4 5 -0.033479999999999996
33 1 4 6 -0.01796666666666667
34 1 4 7 0.006494444444444448
35 1 4 8 -0.033882333333333334
36 1 4 9 -0.0027966666666666695
37 1 4 10 -0.00666333333333333
38 1 4 11 0.010051111111111108
39 1 4 12 -0.007397222222222222
40 1 4 13 -0.016795555555555553
41 1 4 14 -0.05390666666666667
42 1 4 15 0.023142222222222224
43 1 4 16 0.005482222222222222
44 1 4 17 0.04072388888888889
45 1 4 18 0.012843888888888884
46 1 5 6 0.018416111111111105
47 1 5 7 0.014488888888888891
48 1 5 8 -0.010530555555555559
49 1 5 9 0.017728888888888888
50 1 5 10 0.02123555555555556
51 1 5 11 0.05631777777777778
52 1 5 12 -0.01615611111111111
53 1 5 13 0.03471150000000001
54 1 5 14 -0.012331666666666671
55 1 5 15 0.007524999999999993
56 1 5 16 0.028600555555555553
57 1 5 17 0.02994888888888889
58 1 5 18 0.011555555555555553
59 1 6 7 -0.04300055555555555
60 1 6 8 -0.05709722222222222
61 1 6 9 -0.0029370555555555556
62 1 6 10 -0.02786555555555555
63 1 6 11 -0.014171111111111117
64 1 6 12 -0.04834555555555556
65 1 6 13 -0.019908888888888886
66 1 6 14 -0.02699277777777778
67 1 6 15 -0.056655
68 1 6 16 -0.007977777777777776
69 1 6 17 -0.03733111111111111
70 1 6 18 0.010370555555555555
71 1 7 8 -0.015952777777777778
72 1 7 9 0.032792777777777775
73 1 7 10 0.0036379999999999997
74 1 7 11 0.01998316666666666
75 1 7 12 -0.019547777777777785
76 1 7 13 0.025276111111111114
77 1 7 14 -0.0063957055555555605
78 1 7 15 -0.019405555555555558
79 1 7 16 0.02073777777777778
80 1 7 17 0.052520555555555556
81 1 7 18 0.04495888888888889
82 1 8 9 0.07134722222222221
83 1 8 10 0.08364333333333333
84 1 8 11 0.06420433333333332
85 1 8 12 0.01497388888888889
86 1 8 13 0.05669694444444445
87 1 8 14 0.04196058888888889
88 1 8 15 0.03316000000000001
89 1 8 16 0.069275
90 1 8 17 0.08468111111111112
91 1 8 18 0.0673438888888889
92 1 9 10 0.02801944444444445
93 1 9 11 0.01954722222222222
94 1 9 12 -0.004235555555555554
95 1 9 13 0.003688944444444449
96 1 9 14 -0.009991555555555554
97 1 9 15 -0.00826388888888889
98 1 9 16 -0.008433888888888887
99 1 9 17 0.009514611111111116
100 1 9 18 0.042424444444444445
101 1 10 11 0.01937388888888888
102 1 10 12 -0.04749944444444445
103 1 10 13 0.020507777777777778
104 1 10 14 -0.006723888888888892
105 1 10 15 -0.03568500000000001
106 1 10 16 0.01763444444444444
107 1 10 17 0.02208388888888889
108 1 10 18 0.017667388888888885
109 1 11 12 -0.03975161111111111
110 1 11 13 -0.05330388888888888
111 1 11 14 -0.04067833333333333
112 1 11 15 0.00011722222222222537
113 1 11 16 0.027035555555555563
114 1 11 17 -0.017526111111111107
