l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.64846 -1.1067137222222216 0.45825372222222227 -6.661338147750939e-16
2 1 3 -1.0307 -0.8257152222222218 -0.2049847777777778 -3.3306690738754696e-16
3 2 3 0.52076 0.2809984999999999 0.2397615 1.6653345369377348e-16
4 1 4 -0.13408 -0.509750722222222 0.3756707222222223 -3.3306690738754696e-16
5 2 4 0.079753 0.5969629999999997 -0.51721 2.220446049250313e-16
6 3 4 0.10492 0.3159644999999998 -0.2110445 1.6653345369377348e-16
7 1 5 0.055646 -0.4552537777777776 0.5108997777777778 -2.7755575615628914e-16
8 2 5 0.5289 0.6514599444444441 -0.12255994444444443 3.3306690738754696e-16
9 3 5 0.37963 0.37046144444444423 0.009168555555555579 2.220446049250313e-16
10 4 5 -0.40181 0.05449694444444442 -0.4563069444444445 5.551115123125783e-17
11 1 6 -0.77436 -0.39948966666666647 -0.37487033333333336 -2.220446049250313e-16
12 2 6 0.99776 0.7072240555555552 0.29053594444444447 3.3306690738754696e-16
13 3 6 0.53674 0.42622555555555536 0.11051444444444446 1.6653345369377348e-16
14 4 6 0.10018 0.11026105555555554 -0.010081055555555517 -2.7755575615628914e-17
15 5 6 -0.25006 0.055764111111111125 -0.30582411111111113 0.0
16 1 7 -0.66532 -1.114033555555555 0.44871355555555553 -6.661338147750939e-16
17 2 7 0.59953 -0.007319833333333359 0.6068498333333334 -5.551115123125783e-17
18 3 7 -0.77244 -0.28831833333333323 -0.4841216666666667 -1.1102230246251565e-16
19 4 7 -0.17348 -0.604282833333333 0.4308028333333333 -3.3306690738754696e-16
20 5 7 -0.35085 -0.6587797777777775 0.30792977777777775 -2.220446049250313e-16
21 6 7 -0.79842 -0.7145438888888886 -0.08387611111111112 -2.220446049250313e-16
22 1 8 -0.23814 -0.9438024999999995 0.7056624999999999 -3.3306690738754696e-16
23 2 8 -0.3058 0.16291122222222212 -0.4687112222222223 1.3877787807814457e-16
24 3 8 -0.36744 -0.11808727777777772 -0.24935272222222224 -2.7755575615628914e-17
25 4 8 -0.11326 -0.4340517777777776 0.32079177777777773 -1.1102230246251565e-16
26 5 8 -0.4276 -0.488548722222222 0.06094872222222227 -2.220446049250313e-16
27 6 8 -0.97485 -0.5443128333333331 -0.43053716666666664 -2.220446049250313e-16
28 7 8 0.66597 0.17023105555555548 0.49573894444444444 2.7755575615628914e-17
29 1 9 -1.4464 -0.9146691777777773 -0.5317308222222221 -4.440892098500626e-16
30 2 9 0.78425 0.19204454444444435 0.5922054555555555 1.6653345369377348e-16
31 3 9 0.16835 -0.08895395555555549 0.2573039555555555 -2.7755575615628914e-17
32 4 9 -0.17947 -0.40491845555555533 0.2254484555555555 -1.6653345369377348e-16
33 5 9 -0.29387 -0.45941539999999975 0.16554539999999995 -2.220446049250313e-16
34 6 9 -0.46346 -0.5151795111111108 0.05171951111111113 -3.3306690738754696e-16
35 7 9 0.40131 0.1993643777777777 0.2019456222222223 0.0
36 8 9 0.27798 0.02913332222222223 0.24884667777777783 -5.551115123125783e-17
37 1 10 -0.66797 -1.0339951666666662 0.36602516666666673 -4.440892098500626e-16
38 2 10 -0.20225 0.07271855555555554 -0.27496855555555555 0.0
39 3 10 -0.37431 -0.2082799444444443 -0.16603005555555553 -1.3877787807814457e-16
40 4 10 -0.547 -0.5242444444444442 -0.022755555555555577 -3.3306690738754696e-16
41 5 10 -0.60758 -0.5787413888888886 -0.028838611111111117 -3.3306690738754696e-16
42 6 10 -1.3844 -0.6345054999999997 -0.7498945000000002 -1.1102230246251565e-16
43 7 10 0.10295 0.0800383888888889 0.022911611111111094 1.3877787807814457e-17
44 8 10 0.06746 -0.09019266666666659 0.15765266666666666 -6.938893903907228e-17
45 9 10 0.44226 -0.11932598888888882 0.5615859888888888 2.7755575615628914e-17
46 1 11 -0.90171 -0.9949801666666662 0.09327016666666665 -4.440892098500626e-16
47 2 11 0.21217 0.1117335555555555 0.10043644444444443 6.938893903907228e-17
48 3 11 -0.3919 -0.16926494444444434 -0.22263505555555557 -1.1102230246251565e-16
49 4 11 -0.3915 -0.48522944444444416 0.09372944444444445 -3.3306690738754696e-16
50 5 11 -0.49512 -0.5397263888888886 0.04460638888888889 -3.3306690738754696e-16
51 6 11 -0.27313 -0.5954904999999997 0.32236050000000005 -3.3306690738754696e-16
52 7 11 -0.18785 0.11905338888888886 -0.3069033888888889 5.551115123125783e-17
53 8 11 0.11158 -0.05117766666666662 0.16275766666666666 -4.163336342344337e-17
54 9 11 -0.38933 -0.08031098888888885 -0.30901901111111113 -2.7755575615628914e-17
55 10 11 -0.15753 0.039014999999999966 -0.196545 2.7755575615628914e-17
56 1 12 -1.4776 -1.0997227222222217 -0.3778772777777778 -6.661338147750939e-16
57 2 12 0.32196 0.006990999999999997 0.314969 2.7755575615628914e-17
