i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.1540091111111106 1 84.0
2 0.047295388888888845 15 63.0
3 0.3282938888888887 6 55.0
4 0.6442583888888885 4 54.0
5 0.698755333333333 3 54.0
6 0.7545194444444441 2 53.0
7 0.039975555555555486 16 51.0
8 0.21020661111111097 8 49.0
9 0.2393399333333332 7 47.0
10 0.12001394444444438 12 43.0
11 0.15902894444444435 11 42.0
12 0.05428638888888884 14 41.0
13 0.10396006666666657 13 39.0
14 0.031650833333333295 17 36.0
15 0.0 18 36.0
16 0.1596232222222221 10 33.0
17 0.33182794444444424 5 31.0
18 0.1757749999999999 9 22.0
