i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.451799465 11 95.0
2 1.2873019650000002 1 91.0
3 0.7920935150000001 3 77.0
4 0.6008341650000001 6 72.0
5 0.5878305650000001 7 72.0
6 0.6911199650000001 4 64.0
7 0.9524946650000001 2 60.0
8 0.5775234650000001 8 57.0
9 0.5538567900000001 9 54.0
10 0.4003717300000001 13 54.0
11 0.42635259000000003 12 43.0
12 0.6351761650000001 5 41.0
13 0.49405436500000005 10 40.0
14 0.25515876500000007 15 40.0
15 0.2186165650000001 18 39.0
16 0.024464415000000017 19 39.0
17 0.22051981500000012 17 38.0
18 0.241828565 16 35.0
19 0.0 20 25.0
20 0.276891765 14 21.0
