i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6333987 6 95.0
2 1.0632126 1 91.0
3 0.75592975 2 77.0
4 0.7289858 3 72.0
5 0.49039605 7 72.0
6 0.69475095 4 64.0
7 0.4539664 8 60.0
8 0.6738783499999998 5 57.0
9 0.13967425000000003 16 54.0
10 0.26652264999999997 10 54.0
11 0.2557581 11 43.0
12 0.20259435000000006 15 41.0
13 0.24771515000000005 13 40.0
14 0.25002170000000007 12 40.0
15 0.11927605000000008 17 39.0
16 0.047167650000000005 19 39.0
17 0.11532664999999998 18 38.0
18 0.21773445000000005 14 35.0
19 0.0 20 25.0
20 0.2714824 9 21.0
