l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.59577 0.016444350000000052 0.5793256499999999 5.551115123125783e-17
2 1 3 0.23773 -0.031903599999999976 0.2696336 0.0
3 2 3 -0.12512 -0.04834795000000003 -0.07677205 1.3877787807814457e-17
4 1 4 -0.18128 -0.1412015 -0.0400785 2.7755575615628914e-17
5 2 4 -0.25894 -0.15764585000000006 -0.10129415 5.551115123125783e-17
6 3 4 0.069261 -0.10929790000000003 0.1785589 4.163336342344337e-17
7 1 5 -0.4815 -0.2197405 -0.2617594999999999 -5.551115123125783e-17
8 2 5 -0.26373 -0.23618485000000006 -0.027545150000000018 5.551115123125783e-17
9 3 5 -0.43126 -0.18783690000000003 -0.24342309999999992 -2.7755575615628914e-17
10 4 5 -0.49454 -0.07853900000000001 -0.41600099999999995 -1.3877787807814457e-17
11 1 6 0.071889 -0.09541654999999999 0.16730555 -1.3877787807814457e-17
12 2 6 0.017164 -0.11186090000000004 0.12902490000000003 1.3877787807814457e-17
13 3 6 -0.088191 -0.06351295000000001 -0.024678050000000017 2.7755575615628914e-17
14 4 6 0.3929 0.04578495000000002 0.34711505000000004 -2.7755575615628914e-17
15 5 6 -0.032649 0.12432395000000003 -0.15697295 -2.7755575615628914e-17
16 1 7 -0.21044 -0.1580407035 -0.05239929649999996 -2.7755575615628914e-17
17 2 7 -0.02547 -0.17448505350000004 0.14901505350000002 2.7755575615628914e-17
18 3 7 -0.27464 -0.12613710350000001 -0.1485028965 2.7755575615628914e-17
19 4 7 -0.042708 -0.016839203499999983 -0.0258687965 -2.0816681711721685e-17
20 5 7 -0.27368 0.06169979650000003 -0.3353797965 -1.3877787807814457e-17
21 6 7 -0.11248 -0.0626241535 -0.04985584650000001 1.3877787807814457e-17
22 1 8 -0.096789 -0.12457974999999999 0.027790749999999993 0.0
23 2 8 -0.23121 -0.14102410000000004 -0.0901859 5.551115123125783e-17
24 3 8 -0.45499 -0.09267615000000001 -0.3623138499999999 -1.1102230246251565e-16
25 4 8 0.64304 0.01662175000000002 0.62641825 -2.7755575615628914e-17
26 5 8 -0.44302 0.09516075000000003 -0.5381807499999999 -1.8041124150158794e-16
27 6 8 0.009113 -0.0291632 0.03827620000000001 -1.0408340855860843e-17
28 7 8 -0.1043 0.0334609535 -0.1377609535 0.0
29 1 9 -0.34953 -0.36522153 0.015691530000000002 0.0
30 2 9 0.12144 -0.38166588000000007 0.50310588 5.551115123125783e-17
31 3 9 -0.53824 -0.33331793000000004 -0.20492207 0.0
32 4 9 -0.26451 -0.22402003000000004 -0.04048997000000001 2.7755575615628914e-17
33 5 9 -0.29021 -0.14548103 -0.14472896999999998 -2.7755575615628914e-17
34 6 9 -0.39063 -0.26980498 -0.12082501999999994 0.0
35 7 9 -0.61487 -0.20718082650000003 -0.4076891735000001 1.1102230246251565e-16
36 8 9 -0.12156 -0.24064178000000003 0.11908178000000001 0.0
37 1 10 -0.52241 -0.3305521665 -0.19185783350000002 0.0
38 2 10 -0.3879 -0.3469965165000001 -0.040903483500000004 5.551115123125783e-17
39 3 10 -0.20316 -0.29864856650000005 0.0954885665 5.551115123125783e-17
40 4 10 -0.24528 -0.1893506665 -0.05592933349999999 -2.7755575615628914e-17
41 5 10 -0.15477 -0.11081166649999998 -0.04395833349999997 -4.163336342344337e-17
42 6 10 -0.36728 -0.2351356165 -0.13214438349999996 -2.7755575615628914e-17
43 7 10 -8.743e-5 -0.172511463 0.172424033 0.0
44 8 10 -0.16878 -0.2059724165 0.03719241649999995 2.7755575615628914e-17
45 9 10 -0.097295 0.03466936350000003 -0.13196436350000001 -2.0816681711721685e-17
46 1 11 -0.36832 -0.5830255150000001 0.21470551499999999 1.1102230246251565e-16
47 2 11 -0.99345 -0.5994698650000001 -0.39398013500000006 1.1102230246251565e-16
48 3 11 -0.5667 -0.5511219150000001 -0.01557808499999997 1.1102230246251565e-16
49 4 11 -1.1595 -0.44182401500000007 -0.7176759849999998 -5.551115123125783e-17
50 5 11 -0.29724 -0.36328501500000004 0.06604501499999998 5.551115123125783e-17
51 6 11 -0.62366 -0.48760896500000006 -0.13605103499999996 0.0
52 7 11 0.12861 -0.4249848115000001 0.5535948114999999 2.220446049250313e-16
53 8 11 -0.42209 -0.4584457650000001 0.03635576499999997 1.1102230246251565e-16
54 9 11 -0.40547 -0.21780398500000003 -0.187666015 2.7755575615628914e-17
55 10 11 0.0045449 -0.2524733485000001 0.2570182485 1.1102230246251565e-16
56 1 12 -0.2991 -0.4845725 0.18547249999999998 5.551115123125783e-17
57 2 12 -0.77561 -0.5010168500000001 -0.27459315 0.0
58 3 12 -0.26844 -0.45266890000000004 0.18422889999999997 5.551115123125783e-17
59 4 12 -0.36785 -0.343371 -0.02447899999999999 -5.551115123125783e-17
60 5 12 -0.25297 -0.264832 0.011862000000000025 0.0
61 6 12 -0.5338 -0.38915595000000003 -0.14464405000000005 0.0
62 7 12 0.087705 -0.3265317965 0.41423679649999995 5.551115123125783e-17
63 8 12 -0.69127 -0.35999275000000003 -0.33127725 0.0
64 9 12 0.29306 -0.11935096999999999 0.41241096999999993 4.163336342344337e-17
65 10 12 0.30706 -0.15402033350000002 0.4610803335 2.7755575615628914e-17
66 11 12 -0.055373 0.09845301500000006 -0.15382601499999998 -8.326672684688674e-17
67 1 13 0.071921 -0.45421315000000007 0.5261341500000001 0.0
68 2 13 -0.25242 -0.4706575000000001 0.21823749999999997 1.6653345369377348e-16
69 3 13 -0.18661 -0.4223095500000001 0.23569955 5.551115123125783e-17
70 4 13 -0.29244 -0.3130116500000001 0.020571650000000004 1.1102230246251565e-16
71 5 13 -0.1933 -0.23447265000000006 0.04117265 5.551115123125783e-17
72 6 13 0.1167 -0.3587966000000001 0.4754966 5.551115123125783e-17
73 7 13 -0.81757 -0.2961724465000001 -0.5213975534999999 0.0
74 8 13 -0.33846 -0.3296334000000001 -0.008826600000000007 1.1102230246251565e-16
75 9 13 0.12248 -0.08899162000000005 0.21147162 5.551115123125783e-17
76 10 13 0.22651 -0.12366098350000009 0.3501709835 9.71445146547012e-17
77 11 13 -0.11062 0.12881236499999998 -0.23943236500000004 5.551115123125783e-17
78 12 13 -0.37017 0.030359349999999938 -0.40052934999999995 1.3877787807814457e-17
79 1 14 -0.91827 -0.5374094500000001 -0.3808605500000001 1.1102230246251565e-16
80 2 14 -0.76986 -0.5538538000000001 -0.21600619999999995 0.0
81 3 14 -0.46259 -0.50550585 0.04291584999999998 0.0
82 4 14 -0.26869 -0.39620795000000003 0.12751795000000002 5.551115123125783e-17
83 5 14 -0.06112 -0.31766895 0.25654895 0.0
84 6 14 -0.45236 -0.4419929 -0.01036709999999998 0.0
85 7 14 -0.58005 -0.3793687465000001 -0.20068125349999993 5.551115123125783e-17
86 8 14 -0.32246 -0.4128297000000001 0.09036969999999994 1.1102230246251565e-16
87 9 14 0.053393 -0.17218792 0.22558092 0.0
88 10 14 -0.3696 -0.20685728350000004 -0.1627427165 5.551115123125783e-17
89 11 14 -0.091265 0.04561606500000004 -0.13688106499999997 -6.938893903907228e-17
