l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 1.1442 0.76128055 0.3829194500000001 0.0
2 1 3 0.20148 0.17049414999999996 0.030985849999999995 5.551115123125783e-17
3 2 3 -1.0432 -0.5907864 -0.4524135999999998 0.0
4 1 4 -0.30248 0.027482650000000053 -0.32996264999999997 -1.1102230246251565e-16
5 2 4 -1.2263 -0.7337978999999999 -0.49250209999999983 -2.220446049250313e-16
6 3 4 -0.093581 -0.1430114999999999 0.049430500000000016 -1.1102230246251565e-16
7 1 5 -0.28295 -0.11475969999999991 -0.16819029999999993 -1.3877787807814457e-16
8 2 5 -1.0662 -0.8760402499999999 -0.19015974999999993 -2.220446049250313e-16
9 3 5 -0.6532 -0.28525384999999986 -0.36794614999999986 -2.7755575615628914e-16
10 4 5 -0.033144 -0.14224234999999996 0.10909834999999997 0.0
11 1 6 0.3712 0.11228948499999997 0.2589105149999999 1.1102230246251565e-16
12 2 6 -0.098341 -0.6489910649999999 0.5506500649999999 0.0
13 3 6 0.011774 -0.05820466499999999 0.06997866499999995 3.469446951953614e-17
14 4 6 0.28888 0.08480683499999991 0.20407316499999997 1.3877787807814457e-16
15 5 6 0.29611 0.22704918499999988 0.06906081499999998 1.1102230246251565e-16
16 1 7 0.21781 0.029042050000000097 0.18876794999999996 -5.551115123125783e-17
17 2 7 -0.64132 -0.7322384999999998 0.09091849999999996 -2.220446049250313e-16
18 3 7 -0.41928 -0.14145209999999986 -0.2778278999999999 -2.220446049250313e-16
19 4 7 0.19664 0.001559400000000044 0.19508059999999994 2.7755575615628914e-17
20 5 7 -0.21739 0.14380175 -0.3611917499999999 -8.326672684688674e-17
21 6 7 0.049502 -0.08324743499999987 0.13274943499999997 -1.1102230246251565e-16
22 1 8 0.12522 -0.2031097499999999 0.3283297499999999 -2.7755575615628914e-17
23 2 8 -0.68586 -0.9643902999999998 0.27853029999999984 0.0
24 3 8 -1.1096 -0.3736038999999999 -0.7359960999999998 -2.220446049250313e-16
25 4 8 0.54668 -0.23059239999999995 0.7772723999999998 2.498001805406602e-16
26 5 8 -0.40218 -0.08835004999999999 -0.31382994999999997 -2.7755575615628914e-17
27 6 8 -0.34024 -0.3153992349999999 -0.024840765 -1.1102230246251565e-16
28 7 8 -0.51429 -0.2321518 -0.28213819999999995 -8.326672684688674e-17
29 1 9 0.4793 0.02496455000000003 0.45433544999999986 1.1102230246251565e-16
30 2 9 -0.37602 -0.736316 0.36029599999999984 1.1102230246251565e-16
31 3 9 -0.38612 -0.14552959999999993 -0.24059039999999993 -1.6653345369377348e-16
32 4 9 0.10253 -0.002518100000000023 0.10504809999999995 6.938893903907228e-17
33 5 9 0.20128 0.13972424999999994 0.06155574999999999 5.551115123125783e-17
34 6 9 -0.21098 -0.08732493499999994 -0.12365506499999994 -1.249000902703301e-16
35 7 9 -0.22932 -0.004077500000000067 -0.22524249999999998 5.551115123125783e-17
36 8 9 0.27032 0.22807429999999992 0.04224570000000001 8.326672684688674e-17
37 1 10 -0.72768 -0.27855464999999985 -0.4491253499999998 -3.3306690738754696e-16
38 2 10 -0.84984 -1.0398351999999997 0.18999519999999995 -2.220446049250313e-16
39 3 10 -0.038526 -0.4490487999999998 0.4105227999999999 -1.1102230246251565e-16
40 4 10 -0.66643 -0.3060372999999999 -0.3603926999999999 -1.6653345369377348e-16
