l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 0.90043 0.364233295 0.5361967049999999 0.0
2 1 3 0.43388 0.22014579499999998 0.213734205 0.0
3 2 3 -0.39582 -0.14408750000000003 -0.2517325 5.551115123125783e-17
4 1 4 -0.24964 0.08143979500000004 -0.33107979500000007 2.7755575615628914e-17
5 2 4 -0.76389 -0.2827935 -0.48109650000000015 1.6653345369377348e-16
6 3 4 -0.01304 -0.13870599999999994 0.12566599999999997 -2.7755575615628914e-17
7 1 5 -0.37746 -0.14917731500000003 -0.22828268499999996 -2.7755575615628914e-17
8 2 5 -0.5904 -0.51341061 -0.07698939000000002 0.0
9 3 5 -0.29058 -0.36932311 0.07874311000000002 0.0
10 4 5 -0.21302 -0.23061711000000007 0.017597110000000044 2.7755575615628914e-17
11 1 6 0.43176 0.013842994999999941 0.4179170050000001 -8.326672684688674e-17
12 2 6 0.1817 -0.35039030000000004 0.5320903000000001 -1.1102230246251565e-16
13 3 6 -0.20444 -0.20630280000000004 0.001862799999999977 5.551115123125783e-17
14 4 6 0.19769 -0.0675968000000001 0.26528680000000004 5.551115123125783e-17
15 5 6 0.25147 0.16302030999999995 0.08844969000000004 5.551115123125783e-17
16 1 7 -0.025462 0.03965674499999999 -0.06511874500000003 4.163336342344337e-17
17 2 7 -0.30409 -0.32457655 0.020486550000000013 0.0
18 3 7 -0.34131 -0.18048904999999998 -0.16082095000000005 2.7755575615628914e-17
19 4 7 -0.14067 -0.041783050000000044 -0.09888694999999999 4.163336342344337e-17
20 5 7 0.12253 0.18883406000000003 -0.06630406000000003 0.0
21 6 7 -0.1577 0.025813750000000052 -0.18351375000000003 -2.7755575615628914e-17
22 1 8 -0.0080516 -0.11754808500000002 0.109496485 1.3877787807814457e-17
23 2 8 -0.54116 -0.48178138000000004 -0.05937861999999997 5.551115123125783e-17
24 3 8 -1.0843 -0.33769388 -0.74660612 0.0
25 4 8 0.19773 -0.19898788000000006 0.39671788 2.7755575615628914e-17
26 5 8 -0.38249 0.031629229999999994 -0.41411923000000006 6.938893903907228e-17
27 6 8 0.15197 -0.13139107999999997 0.28336108 -2.7755575615628914e-17
28 7 8 -0.57578 -0.15720483000000002 -0.41857517000000005 1.1102230246251565e-16
29 1 9 0.080814 -0.140268005 0.22108200500000005 -5.551115123125783e-17
30 2 9 -0.30276 -0.5045013 0.2017413 0.0
31 3 9 -0.56104 -0.3604138 -0.20062620000000003 5.551115123125783e-17
32 4 9 -0.20031 -0.22170780000000004 0.021397800000000022 2.7755575615628914e-17
33 5 9 -0.13098 0.008909310000000017 -0.13988931000000002 -1.3877787807814457e-17
34 6 9 -0.28942 -0.15411099999999994 -0.13530900000000004 -2.7755575615628914e-17
35 7 9 -0.50033 -0.17992475 -0.32040525000000003 -2.7755575615628914e-17
36 8 9 -0.1388 -0.022719919999999977 -0.11608008 -2.7755575615628914e-17
37 1 10 -0.46368 -0.20589715500000005 -0.25778284500000004 1.1102230246251565e-16
38 2 10 -0.58786 -0.5701304500000001 -0.01772955000000003 0.0
39 3 10 -0.25525 -0.42604295000000003 0.17079295000000005 0.0
40 4 10 -0.58281 -0.2873369500000001 -0.2954730500000001 1.6653345369377348e-16
41 5 10 -0.17926 -0.05671984000000004 -0.12254016000000002 6.245004513516506e-17
42 6 10 -0.20669 -0.21974015 0.013050149999999969 2.7755575615628914e-17
43 7 10 0.078215 -0.24555390000000005 0.3237689000000001 -2.7755575615628914e-17
44 8 10 0.068516 -0.08834907000000003 0.15686507 2.7755575615628914e-17
45 9 10 0.06071 -0.06562915000000005 0.12633915000000004 1.3877787807814457e-17
46 1 11 -0.1161 -0.46035790500000007 0.3442579050000001 0.0
47 2 11 -1.2653 -0.8245912000000001 -0.4407088000000001 1.1102230246251565e-16
48 3 11 -0.43395 -0.6805037 0.24655370000000004 0.0
49 4 11 -1.4596 -0.5417977 -0.9178023000000001 1.1102230246251565e-16
50 5 11 -0.056005 -0.31118059000000003 0.25517559 5.551115123125783e-17
51 6 11 -0.82217 -0.47420090000000004 -0.3479691 5.551115123125783e-17
52 7 11 -0.065118 -0.50001465 0.43489665000000005 0.0
53 8 11 -0.49308 -0.34280982000000004 -0.15027018000000003 5.551115123125783e-17
54 9 11 -0.65172 -0.32008990000000004 -0.33163010000000004 1.1102230246251565e-16
55 10 11 -0.25711 -0.25446075 -0.002649250000000007 0.0
56 1 12 0.020322 -0.33946985500000004 0.359791855 5.551115123125783e-17
57 2 12 -0.91366 -0.70370315 -0.20995685000000003 1.1102230246251565e-16
58 3 12 -0.68752 -0.55961565 -0.12790435000000003 0.0
59 4 12 -0.56084 -0.42090965 -0.13993035000000006 1.1102230246251565e-16
60 5 12 -0.43177 -0.19029254 -0.24147746000000006 8.326672684688674e-17
61 6 12 -0.36083 -0.35331284999999996 -0.007517149999999955 -5.551115123125783e-17
62 7 12 -0.010408 -0.3791266 0.3687186000000001 -1.1102230246251565e-16
63 8 12 -0.30143 -0.22192177 -0.07950823000000003 2.7755575615628914e-17
64 9 12 0.27903 -0.19920185 0.4782318500000001 -1.1102230246251565e-16
65 10 12 0.28926 -0.13357269999999996 0.4228327 -2.7755575615628914e-17
66 11 12 0.021603 0.12088805000000005 -0.09928505000000001 -4.163336342344337e-17
67 1 13 0.0079835 -0.4622679800000001 0.4702514800000001 -5.551115123125783e-17
68 2 13 -0.50075 -0.826501275 0.325751275 0.0
69 3 13 -0.29297 -0.6824137750000001 0.38944377500000005 0.0
70 4 13 -0.82984 -0.5437077750000001 -0.2861322250000001 2.220446049250313e-16
71 5 13 -0.036401 -0.31309066500000005 0.27668966500000003 0.0
72 6 13 -0.014583 -0.476110975 0.4615279750000001 -1.1102230246251565e-16
73 7 13 -0.61182 -0.5019247250000001 -0.10989527500000001 0.0
74 8 13 -0.51651 -0.34471989500000005 -0.17179010500000003 5.551115123125783e-17
75 9 13 -0.58421 -0.3219999750000001 -0.262210025 1.1102230246251565e-16
76 10 13 0.21374 -0.256370825 0.4701108250000002 -1.6653345369377348e-16
77 11 13 -0.28397 -0.001910075000000011 -0.28205992500000016 1.6653345369377348e-16
78 12 13 -0.47175 -0.12279812500000006 -0.3489518750000002 2.498001805406602e-16
79 1 14 -0.70229 -0.5256450050000002 -0.17664499499999997 2.220446049250313e-16
80 2 14 -1.2336 -0.8898783000000002 -0.3437217000000001 3.3306690738754696e-16
81 3 14 -0.54728 -0.7457908000000002 0.19851080000000004 2.220446049250313e-16
