i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.579636205 6 95.0
2 0.9438695 1 91.0
3 0.799782 2 77.0
4 0.661076 3 72.0
5 0.43045889 9 72.0
6 0.5934792 5 64.0
7 0.61929295 4 60.0
8 0.46208812 7 57.0
9 0.4393682 8 54.0
10 0.37373904999999996 10 54.0
11 0.11927829999999995 14 43.0
12 0.24016635 11 41.0
13 0.11736822499999994 15 40.0
14 0.053991199999999795 19 40.0
15 0.16122744999999994 12 39.0
16 0.10664414999999997 16 39.0
17 0.08490422499999994 17 38.0
18 0.0 20 35.0
19 0.05461234999999992 18 25.0
20 0.1535376349999999 13 21.0
