l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.63617 -0.63803035 0.0018603499999999716 0.0
2 1 3 0.31813 -0.08217618499999996 0.4003061850000002 -2.220446049250313e-16
3 2 3 0.66684 0.555854165 0.110985835 0.0
4 1 4 -0.60171 -0.6050943999999999 0.0033844000000000096 -1.1102230246251565e-16
5 2 4 0.054757 0.032935950000000075 0.021821049999999995 -6.938893903907228e-17
6 3 4 -0.053999 -0.5229182149999999 0.4689192150000001 -2.220446049250313e-16
7 1 5 -0.8893 -0.6177147999999999 -0.2715852000000001 0.0
8 2 5 0.70124 0.02031555000000007 0.6809244500000002 -3.3306690738754696e-16
9 3 5 -0.33502 -0.5355386149999999 0.20051861500000007 -2.220446049250313e-16
10 4 5 0.056076 -0.012620400000000004 0.06869640000000002 -1.3877787807814457e-17
11 1 6 -0.4808 -0.31945699999999994 -0.16134300000000007 0.0
12 2 6 0.77094 0.31857335000000003 0.45236665000000015 -2.220446049250313e-16
13 3 6 -0.94365 -0.23728081499999998 -0.7063691850000002 2.220446049250313e-16
14 4 6 0.028106 0.28563739999999993 -0.2575314000000001 1.6653345369377348e-16
15 5 6 0.64849 0.29825779999999996 0.3502322000000001 -5.551115123125783e-17
16 1 7 -0.06235 -0.22498659999999995 0.16263660000000008 -1.3877787807814457e-16
17 2 7 0.53783 0.41304375000000004 0.12478625000000006 -5.551115123125783e-17
18 3 7 -0.65329 -0.142810415 -0.5104795850000001 8.326672684688674e-17
19 4 7 0.64671 0.38010779999999994 0.2666022 5.551115123125783e-17
20 5 7 0.84977 0.39272819999999997 0.45704180000000016 -1.1102230246251565e-16
21 6 7 0.55478 0.0944704 0.46030960000000015 -9.71445146547012e-17
22 1 8 -1.667 -0.4232979499999999 -1.2437020500000007 5.551115123125783e-16
23 2 8 0.45195 0.21473240000000005 0.23721760000000008 -1.1102230246251565e-16
24 3 8 -0.39276 -0.34112176499999997 -0.05163823500000002 0.0
25 4 8 -0.66998 0.18179644999999997 -0.8517764500000002 2.498001805406602e-16
26 5 8 0.22667 0.19441684999999997 0.03225315000000002 0.0
27 6 8 -0.013864 -0.10384094999999996 0.08997695000000001 -5.551115123125783e-17
28 7 8 0.38681 -0.19831134999999997 0.5851213500000002 -2.498001805406602e-16
29 1 9 1.0394 0.40628325999999976 0.6331167400000003 5.551115123125783e-17
30 2 9 1.7705 1.0443136099999997 0.7261863900000003 0.0
31 3 9 0.58987 0.4884594449999997 0.10141055499999999 3.3306690738754696e-16
32 4 9 0.66088 1.0113776599999997 -0.3504976600000001 4.440892098500626e-16
33 5 9 0.83602 1.0239980599999996 -0.18797806000000006 4.440892098500626e-16
34 6 9 0.58467 0.7257402599999997 -0.14107025999999995 3.3306690738754696e-16
35 7 9 -0.22092 0.6312698599999997 -0.8521898600000002 4.440892098500626e-16
36 8 9 0.37682 0.8295812099999996 -0.45276121000000014 5.551115123125783e-16
37 1 10 -0.40549 -0.4346921999999999 0.029202199999999963 -5.551115123125783e-17
38 2 10 -0.35257 0.20333815000000005 -0.5559081500000003 2.220446049250313e-16
39 3 10 0.044178 -0.35251601499999996 0.3966940150000001 -1.6653345369377348e-16
40 4 10 0.01885 0.1704022 -0.15155220000000003 2.7755575615628914e-17
41 5 10 -1.0583 0.18302259999999998 -1.2413226000000006 6.106226635438361e-16
42 6 10 0.11495 -0.11523519999999995 0.2301852000000001 -1.3877787807814457e-16
43 7 10 0.8925 -0.20970559999999994 1.1022056000000005 -5.551115123125783e-16
44 8 10 -0.44109 -0.011394249999999988 -0.4296957500000001 1.0408340855860843e-16
45 9 10 1.0141 -0.8409754599999997 1.8550754600000006 -8.881784197001252e-16
