i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.50314506 1 93.0
2 0.6450721100000002 14 79.0
3 1.245651595 4 76.0
4 0.7502914100000001 12 73.0
5 0.97819476 10 61.0
6 1.27634801 3 60.0
7 1.0997309100000001 8 58.0
8 0.0 20 55.0
9 1.35957141 2 51.0
10 0.6883461100000001 13 51.0
11 1.10814721 7 49.0
12 0.5331716700000002 15 49.0
13 1.170344475 6 49.0
14 0.3241790600000002 19 47.0
15 0.34338146000000025 18 46.0
16 1.09562056 9 43.0
17 0.49015771000000014 16 43.0
18 0.8112138600000001 11 29.0
19 1.17053011 5 22.0
20 0.42336471000000014 17 20.0
