i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.0760356500000003 1 93.0
2 0.30447540000000006 11 79.0
3 0.93100945 3 76.0
4 0.268671 12 73.0
5 0.33443196850000007 10 61.0
6 0.45092430000000006 8 60.0
7 0.6079651500000001 4 58.0
8 0.08817380000000008 19 55.0
9 0.9411042315000001 2 51.0
10 0.24900775000000006 13 51.0
11 0.5432216000000001 6 49.0
12 0.23357785000000006 15 49.0
13 0.45676505000000006 7 49.0
14 0.0 20 47.0
15 0.18755294999999997 17 46.0
16 0.39209790000000005 9 43.0
17 0.2074402 16 43.0
18 0.23662515 14 29.0
19 0.5550727500000001 5 22.0
20 0.13510684999999995 18 20.0
