t i j k u[t]=u_ijk
1 1 2 3 -0.015572800000000006
2 1 2 4 -0.015860500000000003
3 1 2 5 0.0045395000000000045
4 1 2 6 0.019328500000000012
5 1 2 7 0.002357000000000005
6 1 2 8 0.01613750000000001
7 1 2 9 -0.014922999999999994
8 1 2 10 -0.028864500000000015
9 1 2 11 -0.048890000000000024
10 1 2 12 0.002932800000000009
11 1 2 13 -0.013468500000000005
12 1 2 14 0.030012000000000028
13 1 2 15 -0.0015592499999999997
14 1 2 16 -0.04477350000000002
15 1 2 17 -0.03925450000000002
16 1 2 18 -0.009289500000000003
17 1 2 19 0.003673500000000001
18 1 2 20 -0.0116445
19 1 3 4 0.01807380000000001
20 1 3 5 0.0055123
21 1 3 6 0.02843480000000001
22 1 3 7 -0.01278670000000001
23 1 3 8 0.02201830000000001
24 1 3 9 -0.014022400000000006
25 1 3 10 0.0034728
26 1 3 11 -0.0018362000000000014
27 1 3 12 0.010988800000000016
28 1 3 13 0.0030188000000000007
29 1 3 14 0.06964880000000004
30 1 3 15 0.004340299999999999
31 1 3 16 -0.03667070000000003
32 1 3 17 0.027877800000000015
33 1 3 18 -0.004538700000000003
34 1 3 19 -0.00766770000000001
35 1 3 20 0.04001530000000003
36 1 4 5 -0.008285200000000006
37 1 4 6 0.02039450000000001
38 1 4 7 0.004578499999999999
39 1 4 8 0.00205
40 1 4 9 -0.05908880000000003
41 1 4 10 0.001981949999999997
42 1 4 11 -0.008535000000000008
43 1 4 12 0.030035000000000017
44 1 4 13 -0.019629600000000014
45 1 4 14 0.06304800000000005
46 1 4 15 0.0068587000000000006
47 1 4 16 -0.018491500000000015
48 1 4 17 0.013047000000000007
49 1 4 18 -0.01467895000000001
50 1 4 19 0.015875500000000004
51 1 4 20 0.020937850000000015
52 1 5 6 0.012411700000000006
53 1 5 7 0.018813000000000007
54 1 5 8 0.02308150000000001
55 1 5 9 -0.05412221850000003
56 1 5 10 -0.0064390000000000055
57 1 5 11 0.009646500000000002
58 1 5 12 0.021841500000000014
59 1 5 13 0.01568600000000001
60 1 5 14 0.03151300000000003
61 1 5 15 0.011714250000000006
62 1 5 16 -0.011841500000000008
63 1 5 17 -0.02243700000000001
64 1 5 18 -0.0029314499999999995
65 1 5 19 0.002901
66 1 5 20 0.005083000000000008
67 1 6 7 -0.009338500000000005
68 1 6 8 -0.01622000000000001
69 1 6 9 -0.05533000000000003
70 1 6 10 0.001002999999999999
71 1 6 11 -0.008620000000000004
72 1 6 12 -0.03216000000000001
73 1 6 13 -0.014502000000000006
74 1 6 14 0.06458735000000003
75 1 6 15 -0.021590000000000012
76 1 6 16 -0.025283500000000014
77 1 6 17 -0.04307200000000002
78 1 6 18 -0.043866500000000024
79 1 6 19 -0.007782000000000006
80 1 6 20 0.0025050000000000055
81 1 7 8 0.022945500000000014
82 1 7 9 -0.04834650000000002
83 1 7 10 0.015445150000000008
84 1 7 11 -0.0077300000000000025
85 1 7 12 0.04690800000000003
86 1 7 13 -0.01956400000000001
87 1 7 14 0.08297350000000005
88 1 7 15 0.0035650000000000035
89 1 7 16 -0.0012356500000000005
90 1 7 17 0.009309500000000009
91 1 7 18 -0.02660850000000001
92 1 7 19 0.010586300000000005
93 1 7 20 0.018125500000000013
94 1 8 9 -0.04270800000000002
