l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.70748 -0.7510473 0.043567299999999996 0.0
2 1 3 -0.24527 -0.10681095000000002 -0.13845904999999997 0.0
3 2 3 0.88623 0.64423635 0.24199364999999995 0.0
4 1 4 -0.77112 -0.66919958 -0.10192042000000005 0.0
5 2 4 0.10714 0.08184772 0.02529227999999999 1.3877787807814457e-17
6 3 4 -0.23943 -0.56238863 0.32295863 -1.1102230246251565e-16
7 1 5 -0.46939 -0.6524613 0.1830713 1.1102230246251565e-16
8 2 5 0.074007 0.09858600000000001 -0.024579000000000028 2.7755575615628914e-17
9 3 5 -0.73879 -0.54565035 -0.19313964999999994 -1.1102230246251565e-16
10 4 5 -0.090558 0.016738280000000008 -0.10729628000000001 0.0
11 1 6 -0.49439 -0.45394795000000004 -0.04044204999999999 5.551115123125783e-17
12 2 6 0.81336 0.29709935 0.51626065 0.0
13 3 6 -0.42065 -0.34713700000000003 -0.07351300000000002 0.0
14 4 6 0.54513 0.21525162999999997 0.32987837000000003 0.0
15 5 6 -0.19461 0.19851334999999995 -0.39312335000000004 8.326672684688674e-17
16 1 7 -0.55403 -0.41074065 -0.14328935 -5.551115123125783e-17
17 2 7 0.68674 0.34030665000000004 0.34643335 0.0
18 3 7 -0.6811 -0.30392969999999997 -0.3771703 -5.551115123125783e-17
19 4 7 0.51559 0.25845893000000003 0.25713107 -5.551115123125783e-17
20 5 7 0.32497 0.24172065 0.08324935 -2.7755575615628914e-17
21 6 7 0.28242 0.04320730000000006 0.2392127 -5.551115123125783e-17
22 1 8 -1.6111 -1.0306707 -0.5804293000000001 0.0
23 2 8 0.036861 -0.27962339999999997 0.3164844 -5.551115123125783e-17
24 3 8 -1.0474 -0.9238597499999999 -0.12354025000000013 -1.1102230246251565e-16
25 4 8 -1.0796 -0.3614711199999999 -0.71812888 0.0
26 5 8 -0.25053 -0.3782093999999999 0.12767940000000003 -1.1102230246251565e-16
27 6 8 -0.63584 -0.5767227499999998 -0.05911724999999997 -1.1102230246251565e-16
28 7 8 -0.37539 -0.61993005 0.24454004999999995 0.0
29 1 9 0.14485 -0.23481735000000004 0.37966735000000007 -2.7755575615628914e-17
30 2 9 1.0891 0.5162299499999999 0.57287005 0.0
31 3 9 0.08324 -0.12800640000000002 0.2112464 0.0
32 4 9 -0.24107 0.43438223 -0.67545223 0.0
33 5 9 -0.058456 0.41764395 -0.47609995000000005 5.551115123125783e-17
34 6 9 -0.1075 0.2191306 -0.3266306000000001 1.1102230246251565e-16
35 7 9 -0.6328 0.17592329999999995 -0.8087233000000001 1.6653345369377348e-16
36 8 9 1.1619 0.7958533499999999 0.36604665 1.1102230246251565e-16
37 1 10 -0.40001 -0.6837822 0.28377220000000003 0.0
38 2 10 -0.1082 0.06726509999999998 -0.17546510000000007 8.326672684688674e-17
39 3 10 -0.54515 -0.57697125 0.03182124999999997 1.1102230246251565e-16
40 4 10 0.19916 -0.014582620000000018 0.21374262000000002 0.0
41 5 10 -0.28499 -0.031320900000000026 -0.2536691 -1.3877787807814457e-17
42 6 10 0.016966 -0.22983424999999996 0.24680025000000005 -8.326672684688674e-17
43 7 10 0.24735 -0.27304155 0.52039155 -5.551115123125783e-17
44 8 10 -0.010502 0.34688849999999993 -0.35739049999999994 0.0
45 9 10 0.51115 -0.44896484999999997 0.9601148500000001 -1.1102230246251565e-16
46 1 11 -0.1336 -0.3701607 0.23656069999999998 0.0
47 2 11 -0.063443 0.38088659999999996 -0.4443296 0.0
48 3 11 -0.016261 -0.26334975000000005 0.24708875000000008 -5.551115123125783e-17
49 4 11 0.41849 0.29903887999999995 0.11945112 5.551115123125783e-17
50 5 11 0.5837 0.28230059999999996 0.3013994 5.551115123125783e-17
51 6 11 0.36974 0.08378725000000001 0.28595275000000003 -2.7755575615628914e-17
52 7 11 -0.026115 0.04057994999999995 -0.06669495000000002 6.938893903907228e-17
53 8 11 0.20956 0.6605099999999999 -0.45094999999999996 0.0
54 9 11 -0.2467 -0.13534335 -0.11135665000000006 5.551115123125783e-17
55 10 11 -0.66273 0.3136215 -0.9763514999999999 -1.1102230246251565e-16
56 1 12 -1.115 -0.79946187 -0.31553813 0.0
57 2 12 -0.12168 -0.04841457000000002 -0.07326542999999996 -1.3877787807814457e-17
58 3 12 -0.73554 -0.69265092 -0.042889079999999975 0.0
59 4 12 0.0087076 -0.13026229 0.13896989 0.0
60 5 12 -0.11452 -0.14700057000000002 0.032480570000000014 2.7755575615628914e-17
61 6 12 -0.65822 -0.34551392 -0.31270608 -5.551115123125783e-17
62 7 12 -0.16337 -0.38872122000000003 0.22535122 5.551115123125783e-17
63 8 12 0.18741 0.23120882999999992 -0.04379882999999998 5.551115123125783e-17
64 9 12 -0.49445 -0.56464452 0.07019451999999998 0.0
65 10 12 -0.28107 -0.11567967 -0.16539033 1.3877787807814457e-17
66 11 12 -0.38246 -0.42930117 0.046841169999999974 0.0
67 1 13 -0.24914 -0.3676887000000001 0.11854869999999999 1.1102230246251565e-16
68 2 13 0.39714 0.38335859999999994 0.013781399999999984 5.551115123125783e-17
69 3 13 -0.23503 -0.26087775 0.02584775000000003 0.0
70 4 13 0.21273 0.3015108799999999 -0.08878088000000002 1.1102230246251565e-16
71 5 13 0.62626 0.28477259999999993 0.3414874 1.1102230246251565e-16
72 6 13 0.062107 0.08625924999999998 -0.024152249999999993 1.3877787807814457e-17
73 7 13 -0.067136 0.04305194999999992 -0.11018794999999997 4.163336342344337e-17
74 8 13 0.64484 0.6629819999999998 -0.018142000000000012 1.1102230246251565e-16
75 9 13 -0.088189 -0.13287135000000003 0.04468235000000003 0.0
76 10 13 0.41123 0.31609349999999997 0.09513649999999997 5.551115123125783e-17
77 11 13 0.016767 0.0024719999999999742 0.014294999999999981 4.5102810375396984e-17
78 12 13 0.69067 0.43177316999999993 0.25889683 5.551115123125783e-17
79 1 14 -1.6081 -1.077974 -0.5301260000000001 0.0
80 2 14 -0.74685 -0.3269267 -0.4199233000000001 1.1102230246251565e-16
81 3 14 -0.99675 -0.9711630499999999 -0.02558695 -1.1102230246251565e-16
82 4 14 -0.2318 -0.40877441999999997 0.17697442 0.0
83 5 14 -0.77905 -0.42551269999999997 -0.3535373 -5.551115123125783e-17
84 6 14 0.012109 -0.6240260499999999 0.6361350499999999 0.0
85 7 14 -0.45318 -0.6672333500000001 0.21405334999999998 0.0
86 8 14 0.10392 -0.04730330000000005 0.15122330000000003 1.3877787807814457e-17
87 9 14 -0.90895 -0.84315665 -0.06579335000000001 -1.1102230246251565e-16
88 10 14 -0.012651 -0.3941918 0.3815408000000001 -1.6653345369377348e-16
89 11 14 -0.8084 -0.7078133 -0.10058669999999999 0.0
90 12 14 -0.66057 -0.27851212999999997 -0.38205787 0.0
91 13 14 -1.1019 -0.7102852999999999 -0.39161470000000004 -1.1102230246251565e-16
92 1 15 -0.85863 -0.86175378 0.003123780000000029 0.0
93 2 15 -0.14992 -0.11070648000000002 -0.039213519999999995 2.7755575615628914e-17
94 3 15 -1.1517 -0.7549428300000001 -0.39675716999999994 0.0
95 4 15 -0.32175 -0.1925542 -0.12919579999999997 0.0
96 5 15 0.03385 -0.20929248000000003 0.24314248 2.7755575615628914e-17
97 6 15 -0.48511 -0.40780583 -0.07730416999999998 -5.551115123125783e-17
98 7 15 -0.44766 -0.45101313000000004 0.003353129999999974 5.551115123125783e-17
99 8 15 -0.065143 0.16891691999999991 -0.23405992 8.326672684688674e-17
100 9 15 -1.425 -0.62693643 -0.79806357 0.0
101 10 15 0.28443 -0.17797158000000002 0.4624015799999999 1.1102230246251565e-16
102 11 15 -0.62555 -0.49159308 -0.13395692000000003 0.0
103 12 15 -0.72238 -0.062291910000000006 -0.6600880900000001 1.1102230246251565e-16
104 13 15 -0.40498 -0.49406507999999993 0.08908508000000002 -1.1102230246251565e-16
105 14 15 0.15239 0.21622021999999996 -0.06383022 2.7755575615628914e-17
106 1 16 -0.29041 -0.5983337 0.3079237000000001 -1.1102230246251565e-16
107 2 16 -0.27021 0.1527136 -0.4229236 0.0
108 3 16 -1.0788 -0.49152274999999995 -0.58727725 -5.551115123125783e-17
109 4 16 0.24052 0.07086588 0.16965412000000007 -6.938893903907228e-17
110 5 16 0.18629 0.054127600000000005 0.13216240000000004 -3.469446951953614e-17
111 6 16 -0.25388 -0.14438574999999995 -0.10949425000000002 -2.7755575615628914e-17
112 7 16 -0.050676 -0.18759305 0.13691704999999996 5.551115123125783e-17
113 8 16 0.22192 0.43233699999999997 -0.21041699999999997 0.0
114 9 16 -0.99392 -0.36351634999999993 -0.6304036500000002 1.1102230246251565e-16
115 10 16 0.076439 0.08544850000000002 -0.009009500000000014 -1.3877787807814457e-17
