i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.077974 1 93.0
2 0.3269267 14 79.0
3 0.9711630499999999 2 76.0
4 0.40877441999999997 12 73.0
5 0.42551269999999997 11 61.0
6 0.6240260499999999 8 60.0
7 0.6672333500000001 7 58.0
8 0.04730330000000005 19 55.0
9 0.84315665 3 51.0
10 0.3941918 13 51.0
11 0.7078133 5 49.0
12 0.27851212999999997 15 49.0
13 0.7102852999999999 4 49.0
14 0.0 20 47.0
15 0.21622021999999996 16 46.0
16 0.4796403 9 43.0
17 0.18385999999999997 17 43.0
18 0.43162505 10 29.0
19 0.6911406999999999 6 22.0
20 0.16077098000000006 18 20.0
