t i j k u[t]=u_ijk
1 1 2 3 -0.025038500000000005
2 1 2 4 -0.027981000000000016
3 1 2 5 -0.0370975
4 1 2 6 0.04904150000000001
5 1 2 7 -0.029389499999999995
6 1 2 8 -0.03465750000000001
7 1 2 9 -0.06364850000000002
8 1 2 10 -0.008495000000000004
9 1 2 11 -0.06364850000000002
10 1 2 12 0.03324900000000001
11 1 2 13 -0.025541499999999998
12 1 2 14 0.025541500000000005
13 1 2 15 -0.018865
14 1 2 16 -0.068192
15 1 2 17 -0.02554149999999999
16 1 2 18 0.03465750000000001
17 1 2 19 -0.04825400000000001
18 1 2 20 -0.011157500000000006
19 1 3 4 -0.029892000000000016
20 1 3 5 -0.026950500000000002
21 1 3 6 0.06972950000000001
22 1 3 7 0.0033570000000000023
23 1 3 8 -0.007578000000000003
24 1 3 9 -0.03578100000000001
25 1 3 10 -0.021962000000000002
26 1 3 11 -0.07366550000000001
27 1 3 12 0.028898500000000008
28 1 3 13 -0.008353150000000002
29 1 3 14 -0.031851000000000004
30 1 3 15 -0.0029424999999999985
31 1 3 16 0.0126955
32 1 3 17 0.0876785
33 1 3 18 0.02798050000000001
34 1 3 19 -0.029473500000000007
35 1 3 20 0.006028999999999997
36 1 4 5 -0.037097
37 1 4 6 0.003227000000000008
38 1 4 7 0.012975500000000013
39 1 4 8 -0.00911649999999999
40 1 4 9 0.03465550000000001
41 1 4 10 0.005889000000000023
42 1 4 11 -0.052490999999999996
43 1 4 12 -0.009115999999999992
44 1 4 13 -0.04054699999999999
45 1 4 14 0.060199000000000016
46 1 4 15 -0.027980999999999992
47 1 4 16 0.03143050000000003
48 1 4 17 0.009116000000000023
49 1 4 18 0.018735000000000016
50 1 4 19 0.021682000000000014
51 1 4 20 0.025541500000000016
52 1 5 6 0.026949999999999995
53 1 5 7 0.017834000000000003
54 1 5 8 0.0223145
55 1 5 9 -0.016425000000000006
56 1 5 10 -0.008495000000000004
57 1 5 11 0.009116500000000001
58 1 5 12 0.028991500000000007
59 1 5 13 -0.03465750000000001
60 1 5 14 -0.005665000000000004
61 1 5 15 0.02695000000000002
62 1 5 16 0.08636150000000002
63 1 5 17 0.029389500000000016
64 1 5 18 0.0472235
65 1 5 19 0.018455000000000003
66 1 5 20 0.0490415
67 1 6 7 -0.009115999999999997
68 1 6 8 -0.04700050000000001
69 1 6 9 -0.07458250000000002
70 1 6 10 -0.06342600000000001
71 1 6 11 -0.0601985
72 1 6 12 -0.037884
73 1 6 13 -0.0861385
74 1 6 14 -0.02349999999999999
75 1 6 15 -0.056749
76 1 6 16 0.0026625000000000017
77 1 6 17 -0.06342550000000001
78 1 6 18 -0.0220915
79 1 6 19 -0.036475500000000015
80 1 6 20 -0.007707500000000002
81 1 7 8 -0.0018185000000000002
82 1 7 9 -0.10601250000000002
83 1 7 10 0.0174445
84 1 7 11 -0.05879
85 1 7 12 0.10074350000000003
86 1 7 13 -0.053522500000000015
87 1 7 14 -0.0032264999999999993
88 1 7 15 -0.0097485
89 1 7 16 0.040546500000000006
90 1 7 17 0.024121500000000004
91 1 7 18 -0.005268000000000002
92 1 7 19 -0.03324900000000001
93 1 7 20 -0.011156500000000005
94 1 8 9 -0.036698
95 1 8 10 0.029389500000000002
96 1 8 11 -0.022313999999999997
97 1 8 12 0.005268500000000001
98 1 8 13 -0.12102050000000002
99 1 8 14 0.04236550000000001
100 1 8 15 -0.030022000000000004
101 1 8 16 0.012566
102 1 8 17 0.018232500000000006
103 1 8 18 0.012343500000000004
104 1 8 19 0.024909
105 1 8 20 0.026727500000000005
106 1 9 10 0.12101850000000004
107 1 9 11 0.009116000000000003
108 1 9 12 0.07135600000000003
109 1 9 13 -0.029389000000000002
110 1 9 14 0.025541499999999998
111 1 9 15 0.05249100000000002
112 1 9 16 0.003930000000000012
113 1 9 17 0.020273000000000006
114 1 9 18 0.04104900000000001
115 1 9 19 0.026950000000000005
116 1 9 20 0.1203975
117 1 10 11 -0.03143000000000001
118 1 10 12 -0.022712500000000007
119 1 10 13 -0.04298600000000001
120 1 10 14 0.03992600000000001
121 1 10 15 -0.006920000000000001
122 1 10 16 0.0
123 1 10 17 0.0032270000000000124
124 1 10 18 0.09140850000000002
125 1 10 19 -0.027980500000000002
126 1 10 20 0.008494999999999999
127 1 11 12 0.080472
128 1 11 13 0.04581450000000001
129 1 11 14 0.041966500000000004
130 1 11 15 0.0178335
131 1 11 16 0.06608800000000004
132 1 11 17 0.04054650000000001
133 1 11 18 0.005267000000000011
134 1 11 19 0.0034495000000000003
135 1 11 20 0.06687500000000002
136 1 12 13 -0.060199000000000016
137 1 12 14 0.07520500000000001
138 1 12 15 -0.053522500000000015
139 1 12 16 -0.04469100000000001
140 1 12 17 0.05288950000000002
141 1 12 18 0.021681500000000006
142 1 12 19 -0.08382900000000001
143 1 12 20 0.0
144 1 13 14 0.005268499999999999
145 1 13 15 -0.07034499999999999
146 1 13 16 0.058380499999999995
147 1 13 17 -0.011157000000000002
148 1 13 18 0.07175450000000001
149 1 13 19 0.053112500000000014
150 1 13 20 0.026949999999999995
151 1 14 15 -0.03913850000000001
152 1 14 16 -0.019652500000000003
153 1 14 17 -0.024133
154 1 14 18 0.009116000000000015
155 1 14 19 -0.09344900000000002
156 1 14 20 0.009116
157 1 15 16 -0.009903500000000006
158 1 15 17 -0.03221800000000001
159 1 15 18 -0.002971000000000002
160 1 15 19 -0.03465750000000001
161 1 15 20 0.056749
162 1 16 17 -0.013198499999999998
163 1 16 18 0.03120800000000001
164 1 16 19 -0.018864500000000003
165 1 16 20 0.028768000000000005
166 1 17 18 0.04236500000000001
167 1 17 19 -0.06263800000000001
168 1 17 20 -0.022714500000000002
169 1 18 19 -0.05352200000000001
170 1 18 20 0.005267999999999997
171 1 19 20 0.04763300000000001
172 2 3 4 -0.026949500000000008
173 2 3 5 -0.0148915
174 2 3 6 -0.004350500000000002
175 2 3 7 0.007707999999999992
176 2 3 8 0.0020409999999999985
177 2 3 9 0.0028290000000000012
178 2 3 10 -0.038505500000000005
179 2 3 11 -0.0350555
180 2 3 12 -0.029389000000000002
181 2 3 13 -0.007850150000000002
182 2 3 14 -0.082431
183 2 3 15 -0.009116000000000004
184 2 3 16 0.055849
185 2 3 17 0.0881815
186 2 3 18 -0.03171550000000001
187 2 3 19 -0.006258000000000004
188 2 3 20 -0.007852000000000005
189 2 4 5 -0.027980500000000002
190 2 4 6 -0.07379550000000001
191 2 4 7 0.014383999999999994
192 2 4 8 -0.002439999999999998
193 2 4 9 0.07032300000000001
194 2 4 10 -0.013596999999999988
195 2 4 11 -0.0168235
196 2 4 12 -0.070346
197 2 4 13 -0.042986500000000004
198 2 4 14 0.006676500000000003
199 2 4 15 -0.03709700000000001
200 2 4 16 0.07164150000000001
201 2 4 17 0.006676500000000002
202 2 4 18 -0.04390350000000001
203 2 4 19 0.04195500000000001
204 2 4 20 0.008718000000000005
205 2 5 6 -0.05918900000000001
206 2 5 7 0.01012599999999999
207 2 5 8 0.019874499999999996
208 2 5 9 0.010126000000000003
209 2 5 10 -0.03709750000000001
210 2 5 11 0.03566750000000001
211 2 5 12 -0.04135500000000001
212 2 5 13 -0.04621350000000002
213 2 5 14 -0.06830400000000002
214 2 5 15 0.008717500000000012
215 2 5 16 0.11745600000000002
216 2 5 17 0.017833500000000002
217 2 5 18 -0.024531500000000008
218 2 5 19 0.029611500000000002
219 2 5 20 0.0231015
220 2 6 7 0.069315
221 2 6 8 0.03669850000000001
222 2 6 9 0.038107500000000016
223 2 6 10 -0.005889499999999999
224 2 6 11 0.05249150000000001
225 2 6 12 -0.022091500000000003
226 2 6 13 -0.011555500000000002
227 2 6 14 1.1102230246251568e-17
228 2 6 15 0.011157500000000002
229 2 6 16 0.11989600000000002
230 2 6 17 0.011157499999999996
231 2 6 18 -0.007707500000000002
232 2 6 19 0.06082000000000002
233 2 6 20 0.05249150000000001
234 2 7 8 0.003449500000000011
235 2 7 9 -0.07175350000000001
236 2 7 10 -0.00344999999999999
237 2 7 11 -0.024530999999999994
238 2 7 12 0.038105000000000014
239 2 7 13 -0.0573705
240 2 7 14 -0.0581575
241 2 7 15 -0.020272999999999992
242 2 7 16 0.07934900000000002
243 2 7 17 0.020273500000000003
244 2 7 18 -0.069315
245 2 7 19 -0.014384499999999991
246 2 7 20 -0.029388499999999998
247 2 8 9 -0.007706999999999999
248 2 8 10 0.0032270000000000024
249 2 8 11 0.006677000000000006
250 2 8 12 -0.06263800000000001
251 2 8 13 -0.13013650000000004
252 2 8 14 -0.017833500000000006
253 2 8 15 -0.04581450000000001
254 2 8 16 0.046100499999999996
255 2 8 17 0.00911649999999999
256 2 8 18 -0.05697150000000001
257 2 8 19 0.038505500000000005
258 2 8 20 0.0032275000000000003
259 2 9 10 0.06586500000000002
260 2 9 11 0.009116000000000003
261 2 9 12 -0.025541499999999998
262 2 9 13 -0.06749600000000001
263 2 9 14 -0.06364850000000002
264 2 9 15 0.007707500000000011
265 2 9 16 0.008473500000000002
266 2 9 17 -0.017834000000000017
267 2 9 18 -0.057257000000000016
268 2 9 19 0.011555500000000002
269 2 9 20 0.06790650000000001
270 2 10 11 0.023723500000000005
271 2 10 12 -0.06445650000000001
272 2 10 13 -0.025939500000000008
273 2 10 14 0.005889499999999999
274 2 10 15 0.0034499999999999995
275 2 10 16 0.059697000000000014
276 2 10 17 0.020273500000000003
277 2 10 18 0.048256
278 2 10 19 0.0117785
279 2 10 20 0.011157499999999999
280 2 11 12 -0.01642550000000001
281 2 11 13 0.007707499999999999
282 2 11 14 -0.047223500000000015
283 2 11 15 -0.026950000000000005
284 2 11 16 0.07063150000000001
285 2 11 17 0.0024394999999999894
286 2 11 18 -0.09303900000000001
287 2 11 19 -0.011945000000000006
288 2 11 20 0.014384
289 2 12 13 -0.001408499999999999
290 2 12 14 0.08291250000000001
291 2 12 15 -0.0014085000000000018
292 2 12 16 0.05675
293 2 12 17 0.11168000000000002
294 2 12 18 0.020273000000000003
295 2 12 19 -0.0023260000000000004
296 2 12 20 0.04440650000000001
297 2 13 14 -0.04581450000000001
298 2 13 15 -0.0770215
299 2 13 16 0.10103100000000001
300 2 13 17 -0.011157000000000012
301 2 13 18 0.011555500000000002
302 2 13 19 0.07582500000000002
303 2 13 20 0.012565999999999996
304 2 14 15 0.005268000000000002
305 2 14 16 0.07408100000000001
306 2 14 17 0.026949999999999995
307 2 14 18 1.1102230246251568e-17
308 2 14 19 -0.0196535
309 2 14 20 0.045815000000000015
310 2 15 16 0.0394235
311 2 15 17 -0.025541500000000016
312 2 15 18 -0.0564935
313 2 15 19 -0.005268499999999999
314 2 15 20 0.049041500000000016
315 2 16 17 -0.05584900000000002
316 2 16 18 -0.07164150000000001
317 2 16 19 -0.0388025
318 2 16 20 -0.0282665
319 2 17 18 -0.017833999999999996
320 2 17 19 -0.039925499999999996
321 2 17 20 -0.03709849999999999
322 2 18 19 0.029389500000000002
323 2 18 20 0.05108300000000001
324 2 19 20 0.010536500000000002
325 3 4 5 -0.040038500000000005
326 3 4 6 -0.09639450000000002
327 3 4 7 -0.020273500000000003
328 3 4 8 -0.03143050000000001
329 3 4 9 0.040544500000000004
330 3 4 10 -0.0020409999999999933
331 3 4 11 -0.008717500000000005
332 3 4 12 -0.06790650000000001
333 3 4 13 -0.062085850000000005
334 3 4 14 0.06215800000000002
335 3 4 15 -0.054930500000000014
336 3 4 16 -0.011156999999999992
337 3 4 17 -0.10845450000000001
338 3 4 18 -0.03913750000000001
339 3 4 19 0.021263500000000008
340 3 4 20 -0.010379499999999998
341 3 5 6 -0.06973000000000001
342 3 5 7 -0.012473500000000004
343 3 5 8 0.002942000000000002
344 3 5 9 -0.007594500000000001
345 3 5 10 -0.013483500000000006
346 3 5 11 0.05583150000000001
347 3 5 12 -0.026857500000000006
348 3 5 13 -0.05325485000000002
349 3 5 14 -0.0007645000000000014
350 3 5 15 0.002942000000000012
351 3 5 16 0.04671550000000001
352 3 5 17 -0.0852395
353 3 5 18 -0.007707500000000002
354 3 5 19 0.020978000000000007
355 3 5 20 0.016062000000000007
356 3 6 7 0.057256500000000016
357 3 6 8 0.030307000000000008
358 3 6 9 0.030928000000000004
359 3 6 10 0.028265500000000006
360 3 6 11 0.08319650000000002
361 3 6 12 0.0029470000000000004
362 3 6 13 -0.008055850000000002
363 3 6 14 0.07808050000000001
364 3 6 15 0.015923000000000003
365 3 6 16 0.05969650000000001
366 3 6 17 -0.08137450000000002
367 3 6 18 0.019657500000000005
368 3 6 19 0.0627275
369 3 6 20 0.05599300000000001
370 3 7 8 0.009116500000000005
371 3 7 9 -0.06687450000000002
372 3 7 10 0.0427635
373 3 7 11 0.0182325
374 3 7 12 0.07520199999999999
375 3 7 13 -0.041812350000000005
376 3 7 14 0.0319815
377 3 7 15 -0.003449
378 3 7 16 0.03120800000000001
379 3 7 17 -0.060200000000000004
380 3 7 18 -0.02989150000000001
381 3 7 19 -0.00041849999999999673
382 3 7 20 -0.0138285
383 3 8 9 -0.008495000000000004
384 3 8 10 0.04377350000000001
385 3 8 11 0.04377350000000001
386 3 8 12 -0.03120800000000001
387 3 8 13 -0.12024535000000001
388 3 8 14 0.0666385
389 3 8 15 -0.03465750000000001
390 3 8 16 -0.007707500000000002
391 3 8 17 -0.07702400000000001
392 3 8 18 -0.023215000000000006
393 3 8 19 0.046804500000000006
394 3 8 20 0.013120500000000004
395 3 9 10 0.10719950000000003
396 3 9 11 0.04700050000000001
397 3 9 12 0.006676500000000011
398 3 9 13 -0.05681685000000001
399 3 9 14 0.021611499999999995
400 3 9 15 0.019652500000000014
401 3 9 16 -0.0445465
402 3 9 17 -0.10318650000000003
403 3 9 18 -0.022712500000000007
404 3 9 19 0.020642500000000005
405 3 9 20 0.07858750000000003
406 3 10 11 0.020273500000000003
407 3 10 12 -0.07357300000000001
408 3 10 13 -0.05659485000000001
409 3 10 14 0.049815000000000005
410 3 10 15 -0.0259395
411 3 10 16 -0.0346575
412 3 10 17 -0.10641350000000001
413 3 10 18 0.041466
414 3 10 19 -0.020468999999999998
415 3 10 20 -0.019496
416 3 11 12 -0.022092000000000004
417 3 11 13 -0.01949785
418 3 11 14 0.0001519999999999966
419 3 11 15 -0.052889500000000006
420 3 11 16 -0.020273
421 3 11 17 -0.1207975
422 3 11 18 -0.096379
423 3 11 19 -0.04074250000000001
424 3 11 20 -0.012819499999999996
425 3 12 13 -0.022947350000000002
426 3 12 14 0.13595450000000003
427 3 12 15 -0.021681500000000006
428 3 12 16 -0.028488000000000006
429 3 12 17 -0.005890499999999988
430 3 12 18 0.022599500000000005
431 3 12 19 -0.025457
432 3 12 20 0.02286950000000001
433 3 13 14 0.028766349999999993
434 3 13 15 -0.07575565000000001
435 3 13 16 0.037331850000000014
436 3 13 17 -0.10718865000000001
437 3 13 18 0.035420850000000004
438 3 13 19 0.07423285000000002
439 3 13 20 0.012567849999999998
440 3 14 15 -0.06804700000000001
441 3 14 16 -0.064199
442 3 14 17 -0.14366250000000003
443 3 14 18 -0.0507155
444 3 14 19 -0.09582650000000001
445 3 14 20 -0.028763999999999994
446 3 15 16 -0.025541500000000005
447 3 15 17 -0.12283900000000003
448 3 15 18 -0.03389400000000001
449 3 15 19 -0.008126499999999998
450 3 15 20 0.047777500000000014
451 3 16 17 -0.08818150000000001
452 3 16 18 0.015923
453 3 16 19 0.023304500000000006
454 3 16 20 0.03543450000000001
455 3 17 18 0.10206300000000001
