l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -1.1244 -2.13894 1.0145400000000002 -4.440892098500626e-16
2 1 3 -0.18805 -1.309009 1.1209590000000005 -4.440892098500626e-16
3 2 3 1.6536 0.829931 0.8236690000000001 -1.1102230246251565e-16
4 1 4 -0.77612 -1.61511585 0.8389958500000002 -2.220446049250313e-16
5 2 4 0.63186 0.52382415 0.10803585000000006 -1.1102230246251565e-16
6 3 4 0.30332 -0.30610684999999993 0.60942685 -5.551115123125783e-17
7 1 5 -1.2928 -1.902114635 0.6093146350000003 -2.220446049250313e-16
8 2 5 -0.11289 0.236825365 -0.349715365 0.0
9 3 5 -0.67311 -0.5931056349999999 -0.080004365 -1.1102230246251565e-16
10 4 5 -0.43564 -0.28699878500000003 -0.14864121500000008 5.551115123125783e-17
11 1 6 1.0844 -0.8439464999999999 1.9283465000000004 -4.440892098500626e-16
12 2 6 0.84914 1.2949935000000001 -0.44585350000000007 0.0
13 3 6 -0.11595 0.46506250000000016 -0.5810125000000002 0.0
14 4 6 0.81354 0.7711693500000001 0.042370650000000065 -1.1102230246251565e-16
15 5 6 1.6065 1.058168135 0.5483318650000001 -2.220446049250313e-16
16 1 7 -2.1735 -3.25462256 1.08112256 -4.440892098500626e-16
17 2 7 -1.2594 -1.1156825600000002 -0.14371744000000006 2.220446049250313e-16
18 3 7 -0.3451 -1.94561356 1.6005135600000004 -4.440892098500626e-16
19 4 7 -1.526 -1.63950671 0.11350671000000002 0.0
20 5 7 -1.4563 -1.352507925 -0.10379207499999991 0.0
21 6 7 -1.9432 -2.41067606 0.4674760600000001 0.0
22 1 8 -1.9784 -2.701144 0.7227440000000003 0.0
23 2 8 -0.53783 -0.562204 0.024373999999999944 1.1102230246251565e-16
24 3 8 -0.60194 -1.3921350000000001 0.790195 0.0
25 4 8 -3.0262 -1.0860281500000002 -1.9401718500000005 8.881784197001252e-16
26 5 8 -1.319 -0.799029365 -0.519970635 0.0
27 6 8 0.84287 -1.8571975000000003 2.7000675000000003 0.0
28 7 8 0.69673 0.5534785600000001 0.14325143999999992 0.0
29 1 9 -2.0711 -2.45498115 0.3838811500000002 0.0
30 2 9 -0.23969 -0.31604115000000005 0.07635115000000005 0.0
31 3 9 -0.98462 -1.14597215 0.16135215 0.0
