t i j k u[t]=u_ijk
1 1 2 3 -0.05938499999999997
2 1 2 4 0.14846999999999994
3 1 2 5 -0.022268499999999986
4 1 2 6 -0.06680799999999996
5 1 2 7 -0.08907999999999996
6 1 2 8 0.07423649999999997
7 1 2 9 0.022275000000000003
8 1 2 10 0.029694999999999992
9 1 2 11 0.09650649999999997
10 1 2 12 0.14846649999999995
11 1 2 13 0.014846499999999995
12 1 2 14 0.20785499999999993
13 1 2 15 0.04454149999999999
14 1 2 16 0.04454499999999999
15 1 2 17 0.07423649999999997
16 1 2 18 -0.01484499999999999
17 1 2 19 0.11877349999999996
18 1 2 20 0.08165849999999998
19 1 3 4 0.13361999999999993
20 1 3 5 0.014845000000000002
21 1 3 6 0.007423499999999997
22 1 3 7 0.08165499999999998
23 1 3 8 0.08165999999999998
24 1 3 9 0.08907999999999999
25 1 3 10 0.11134999999999998
26 1 3 11 0.007424999999999967
27 1 3 12 0.051959999999999985
28 1 3 13 -0.02226999999999999
29 1 3 14 0.11877499999999999
30 1 3 15 0.05938499999999997
31 1 3 16 0.2375484999999999
32 1 3 17 0.05196499999999996
33 1 3 18 0.10392649999999996
34 1 3 19 0.037114999999999995
35 1 3 20 0.051965
36 1 4 5 -0.14846499999999993
37 1 4 6 -0.16331149999999994
38 1 4 7 -0.13361999999999993
39 1 4 8 -0.09649999999999996
40 1 4 9 0.007425000000000012
41 1 4 10 -0.08907999999999996
42 1 4 11 1.1102230246251561e-17
43 1 4 12 -0.01484999999999998
44 1 4 13 -0.1633149999999999
45 1 4 14 0.09650499999999998
46 1 4 15 -0.044539999999999975
47 1 4 16 -0.01484499999999999
48 1 4 17 0.007425000000000001
49 1 4 18 -0.11877499999999995
50 1 4 19 0.007420000000000002
51 1 4 20 0.014845000000000013
52 1 5 6 0.014848499999999987
53 1 5 7 0.03711499999999999
54 1 5 8 0.014849999999999992
55 1 5 9 0.06680999999999998
56 1 5 10 0.037119999999999986
57 1 5 11 0.04453999999999998
58 1 5 12 0.037114999999999995
59 1 5 13 -0.10392999999999998
60 1 5 14 0.12619849999999996
61 1 5 15 0.13361999999999993
62 1 5 16 -0.02968999999999998
63 1 5 17 -0.014845000000000002
64 1 5 18 0.03711649999999999
65 1 5 19 0.06680999999999997
66 1 5 20 0.09650349999999998
67 1 6 7 0.10392499999999995
68 1 6 8 0.12619799999999992
69 1 6 9 0.11135149999999996
70 1 6 10 0.04454149999999997
71 1 6 11 0.20043149999999993
72 1 6 12 0.14846499999999993
73 1 6 13 -0.029693499999999994
74 1 6 14 0.20043149999999993
75 1 6 15 0.14846649999999995
76 1 6 16 0.2375464999999999
77 1 6 17 1.4999999999876217e-6
78 1 6 18 -0.022268499999999993
79 1 6 19 -0.03711850000000002
80 1 6 20 0.21527649999999995
81 1 7 8 0.10392999999999995
82 1 7 9 0.14846999999999996
83 1 7 10 0.03712
84 1 7 11 0.12619999999999995
85 1 7 12 0.07423349999999997
86 1 7 13 -0.05196349999999998
87 1 7 14 0.11877499999999998
88 1 7 15 0.11134999999999998
89 1 7 16 0.13362499999999994
90 1 7 17 0.029696499999999987
91 1 7 18 -0.05938499999999997
92 1 7 19 0.06680999999999997
93 1 7 20 0.074235
94 1 8 9 0.06680999999999998
95 1 8 10 0.051964999999999976
96 1 8 11 0.08165649999999997
97 1 8 12 -4.999999999988345e-6
98 1 8 13 -0.029694999999999992
99 1 8 14 0.11134999999999998
100 1 8 15 -0.03711849999999998
101 1 8 16 0.07423349999999997
102 1 8 17 -0.007423499999999997
103 1 8 18 -0.11877499999999995
104 1 8 19 0.06680649999999996
105 1 8 20 0.04453849999999999
106 1 9 10 -0.07423499999999998
107 1 9 11 -0.059384999999999986
108 1 9 12 0.029689999999999994
109 1 9 13 -0.11135349999999998
110 1 9 14 -0.007423499999999997
111 1 9 15 0.02968999999999998
112 1 9 16 0.08907999999999995
113 1 9 17 0.0074249999999999785
114 1 9 18 -0.14104499999999995
115 1 9 19 0.03711349999999997
116 1 9 20 -0.022271499999999996
117 1 10 11 0.029693499999999987
118 1 10 12 0.08907649999999998
119 1 10 13 -0.07423649999999997
120 1 10 14 -0.037114999999999974
121 1 10 15 0.059384999999999986
122 1 10 16 0.05196349999999998
123 1 10 17 0.02226999999999999
124 1 10 18 -0.09650499999999995
125 1 10 19 0.04453649999999998
126 1 10 20 -0.01484999999999998
127 1 11 12 0.06680499999999999
128 1 11 13 -0.11135349999999995
129 1 11 14 -0.014846499999999985
130 1 11 15 -0.00742499999999999
131 1 11 16 0.09650499999999995
132 1 11 17 -0.06680999999999997
133 1 11 18 -0.13362149999999995
134 1 11 19 -0.03712
135 1 11 20 0.037114999999999995
136 1 12 13 -0.11877349999999996
137 1 12 14 0.029694999999999992
