i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.1471730499999997 1 100.0
2 0.9471178499999998 7 81.0
3 1.5717656849999995 3 77.0
4 1.5579682649999995 4 75.0
5 1.1323961999999996 5 70.0
6 1.6651504499999996 2 63.0
7 0.29399749999999997 13 54.0
8 0.6006805299999999 8 49.0
9 0.5141766499999998 9 47.0
10 0.050032899999999936 19 44.0
11 0.06132850000000012 18 44.0
12 0.3967079999999999 11 44.0
13 0.21495724999999982 15 42.0
14 0.5137374499999998 10 41.0
15 0.31863309999999995 12 40.0
16 0.2693019999999999 14 37.0
17 1.0737024999999998 6 36.0
18 0.14513856999999997 17 33.0
19 0.16349354999999977 16 33.0
20 0.0 20 31.0
