l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -1.5071 -1.7963927499999999 0.2892927499999999 0.0
2 1 3 -0.051581 -1.0281246 0.9765436000000001 -2.220446049250313e-16
3 2 3 0.39164 0.76826815 -0.37662815000000005 0.0
4 1 4 -0.55808 -1.3311890499999999 0.7731090500000001 -2.220446049250313e-16
5 2 4 1.2739 0.4652037000000001 0.8086963000000001 -2.220446049250313e-16
6 3 4 -0.43186 -0.30306444999999993 -0.1287955499999999 -2.220446049250313e-16
7 1 5 -1.9185 -1.7792195 -0.13928050000000008 0.0
8 2 5 0.069141 0.01717325000000003 0.05196774999999996 6.938893903907228e-18
9 3 5 -0.75663 -0.7510949 -0.005535099999999987 0.0
10 4 5 -1.3532 -0.4480304500000001 -0.90516955 1.1102230246251565e-16
11 1 6 0.33551 -0.9798335499999999 1.3153435500000001 -2.220446049250313e-16
12 2 6 0.77199 0.8165592 -0.044569200000000045 0.0
13 3 6 -0.47183 0.04829105 -0.52012105 -5.551115123125783e-17
14 4 6 -0.12592 0.35135549999999993 -0.47727549999999996 0.0
15 5 6 1.6281 0.79938595 0.8287140500000002 -1.1102230246251565e-16
16 1 7 -1.7576 -3.0008704099999997 1.24327041 -4.440892098500626e-16
17 2 7 -1.8084 -1.2044776599999998 -0.6039223400000001 0.0
18 3 7 -1.0772 -1.9727458099999997 0.8955458099999999 0.0
19 4 7 -1.4385 -1.6696813599999998 0.23118136000000014 -2.220446049250313e-16
20 5 7 -0.99626 -1.2216509099999997 0.22539091000000003 -4.440892098500626e-16
21 6 7 -1.271 -2.0210368599999997 0.7500368600000002 -4.440892098500626e-16
22 1 8 -1.9305 -2.9457787 1.0152786999999999 0.0
23 2 8 -0.97431 -1.14938595 0.17507594999999998 0.0
24 3 8 -1.4764 -1.9176541000000003 0.4412541000000001 2.220446049250313e-16
25 4 8 -1.9614 -1.6145896500000003 -0.34681035000000004 2.220446049250313e-16
26 5 8 -2.5213 -1.1665592000000002 -1.3547408 2.220446049250313e-16
27 6 8 -0.79357 -1.9659451500000003 1.1723751500000001 2.220446049250313e-16
28 7 8 0.98969 0.05509170999999957 0.9345982899999999 4.440892098500626e-16
29 1 9 -2.8182 -2.86601695 0.04781695000000002 0.0
30 2 9 -1.4734 -1.0696242 -0.4037758000000001 0.0
31 3 9 -1.697 -1.83789235 0.14089235 -2.220446049250313e-16
32 4 9 -1.4289 -1.5348279 0.10592789999999991 0.0
33 5 9 -0.36497 -1.08679745 0.7218274500000003 -2.220446049250313e-16
34 6 9 -1.4682 -1.8861834 0.41798340000000006 0.0
35 7 9 0.79278 0.13485345999999981 0.6579265400000001 1.6653345369377348e-16
36 8 9 -0.70928 0.07976175000000024 -0.7890417500000001 -1.6653345369377348e-16
37 1 10 -4.1978 -3.08912139 -1.1086786100000001 0.0
38 2 10 -1.34 -1.29272864 -0.04727136000000004 0.0
39 3 10 -2.216 -2.06099679 -0.15500321000000009 0.0
40 4 10 -1.855 -1.7579323400000002 -0.09706766 2.220446049250313e-16
41 5 10 -1.5609 -1.3099018900000001 -0.25099810999999994 2.220446049250313e-16
42 6 10 -3.2887 -2.1092878400000004 -1.17941216 4.440892098500626e-16
43 7 10 -0.0066628 -0.08825098000000031 0.08158818000000001 3.0531133177191805e-16
44 8 10 0.26684 -0.14334268999999988 0.41018269000000007 -1.6653345369377348e-16
45 9 10 -0.91531 -0.22310444000000013 -0.69220556 1.6653345369377348e-16
46 1 11 -2.542 -2.59925825 0.057258250000000246 0.0
47 2 11 -0.68364 -0.8028655 0.1192255 0.0
48 3 11 -2.9739 -1.57113365 -1.4027663500000005 4.440892098500626e-16
49 4 11 -2.1453 -1.2680692 -0.8772308000000002 0.0
50 5 11 -0.94351 -0.8200387499999999 -0.12347124999999992 -1.1102230246251565e-16
51 6 11 -1.2724 -1.6194247 0.3470247 0.0
52 7 11 0.99026 0.40161215999999983 0.58864784 1.6653345369377348e-16
53 8 11 1.2692 0.34652045000000026 0.9226795500000002 -3.885780586188048e-16
54 9 11 0.76126 0.2667587 0.4945013 5.551115123125783e-17
55 10 11 0.64832 0.48986314000000014 0.15845686000000003 -1.6653345369377348e-16
56 1 12 -3.6742 -2.80589925 -0.86830075 0.0
57 2 12 0.020393 -1.0095065 1.0298995000000002 0.0
58 3 12 -2.2656 -1.77777465 -0.48782535000000005 0.0
59 4 12 -0.90642 -1.4747102 0.5682902000000001 0.0
60 5 12 -1.1605 -1.02667975 -0.13382025000000003 0.0
61 6 12 -1.8163 -1.8260657 0.009765699999999988 0.0
62 7 12 -0.10804 0.19497115999999975 -0.30301116000000006 3.0531133177191805e-16
63 8 12 0.017053 0.13987945000000018 -0.12282645000000003 -1.6653345369377348e-16
64 9 12 0.86044 0.06011769999999994 0.8003222999999999 1.1102230246251565e-16
65 10 12 0.49608 0.28322214000000007 0.21285786000000004 -5.551115123125783e-17
66 11 12 -0.471 -0.20664100000000007 -0.264359 1.1102230246251565e-16
67 1 13 -3.7469 -2.82935654 -0.9175434600000003 0.0
68 2 13 -0.40482 -1.0329637900000002 0.6281437900000002 0.0
69 3 13 -1.37 -1.80123194 0.43123194 0.0
70 4 13 -0.16742 -1.4981674900000002 1.3307474900000003 0.0
71 5 13 -2.7261 -1.05013704 -1.6759629600000006 4.440892098500626e-16
72 6 13 -2.4842 -1.84952299 -0.6346770099999999 0.0
73 7 13 0.17424 0.17151386999999974 0.002726130000000042 2.220446049250313e-16
74 8 13 1.0903 0.11642216000000016 0.9738778400000001 -2.220446049250313e-16
75 9 13 0.35557 0.03666040999999992 0.31890959 5.551115123125783e-17
76 10 13 0.81061 0.25976485000000005 0.55084515 0.0
77 11 13 -0.5428 -0.2300982900000001 -0.31270170999999986 0.0
78 12 13 -0.05399 -0.02345729000000002 -0.030532709999999977 -6.938893903907228e-18
79 1 14 -2.2648 -2.33882905 0.07402904999999982 0.0
80 2 14 0.24534 -0.5424363 0.7877763000000002 -2.220446049250313e-16
81 3 14 -0.67397 -1.31070445 0.6367344500000001 0.0
82 4 14 0.34793 -1.00764 1.3555700000000002 0.0
83 5 14 0.01596 -0.55960955 0.5755695500000001 -1.1102230246251565e-16
84 6 14 -0.38826 -1.3589955 0.9707355 0.0
85 7 14 0.63828 0.6620413599999998 -0.023761360000000023 2.220446049250313e-16
86 8 14 0.68631 0.6069496500000002 0.07936034999999993 -2.220446049250313e-16
87 9 14 -0.23024 0.5271878999999999 -0.7574278999999999 0.0
88 10 14 -1.4172 0.7502923400000001 -2.16749234 -2.220446049250313e-16
89 11 14 -0.49983 0.2604291999999999 -0.7602592 1.1102230246251565e-16
90 12 14 0.66918 0.4670702 0.2021098 0.0
91 13 14 0.81576 0.49052749 0.3252325100000001 -5.551115123125783e-17
92 1 15 -3.4938 -3.1567222 -0.33707779999999976 0.0
93 2 15 -1.397 -1.36032945 -0.03667055000000005 0.0
94 3 15 -2.1786 -2.1285976 -0.05000239999999992 0.0
95 4 15 -1.2731 -1.82553315 0.55243315 0.0
96 5 15 -1.4123 -1.3775027 -0.03479730000000011 0.0
97 6 15 -1.4492 -2.17688865 0.7276886499999998 0.0
98 7 15 1.0354 -0.15585179000000016 1.1912517900000001 1.1102230246251565e-16
99 8 15 -0.55299 -0.21094349999999973 -0.3420465000000001 -1.6653345369377348e-16
100 9 15 0.24842 -0.29070524999999997 0.53912525 -5.551115123125783e-17
101 10 15 -0.54045 -0.06760080999999984 -0.4728491900000001 -5.551115123125783e-17
102 11 15 -0.073073 -0.55746395 0.48439094999999993 1.1102230246251565e-16
103 12 15 -0.4589 -0.3508229499999999 -0.10807704999999998 -5.551115123125783e-17
104 13 15 -1.0263 -0.3273656599999999 -0.6989343400000002 1.1102230246251565e-16
105 14 15 0.27255 -0.81789315 1.0904431500000002 -2.220446049250313e-16
106 1 16 -4.2375 -2.84035074 -1.39714926 0.0
107 2 16 -3.4623 -1.04395799 -2.4183420100000004 4.440892098500626e-16
108 3 16 -0.84131 -1.8122261400000002 0.97091614 2.220446049250313e-16
109 4 16 -2.3945 -1.5091616900000002 -0.88533831 2.220446049250313e-16
110 5 16 -3.4192 -1.0611312400000001 -2.35806876 2.220446049250313e-16
111 6 16 -1.4864 -1.8605171900000002 0.3741171900000001 2.220446049250313e-16
112 7 16 -0.29072 0.16051966999999973 -0.45123967000000004 3.3306690738754696e-16
113 8 16 0.57392 0.10542796000000015 0.46849204 -1.6653345369377348e-16
114 9 16 0.56986 0.02566620999999991 0.5441937900000001 0.0
115 10 16 -0.60402 0.24877065000000004 -0.8527906500000001 5.551115123125783e-17
116 11 16 0.36621 -0.2410924900000001 0.6073024899999999 1.6653345369377348e-16
117 12 16 1.1848 -0.03445149000000003 1.2192514900000002 -1.1102230246251565e-16
118 13 16 0.0916 -0.01099420000000001 0.10259420000000007 -5.551115123125783e-17
119 14 16 -0.13165 -0.50152169 0.36987169 1.1102230246251565e-16
120 15 16 1.1177 0.3163714599999999 0.8013285400000001 -5.551115123125783e-17
121 1 17 -2.6707 -2.31043736 -0.36026264 0.0
122 2 17 0.21947 -0.51404461 0.7335146100000001 0.0
123 3 17 -0.8298 -1.2823127600000002 0.45251276 2.220446049250313e-16
124 4 17 -0.7004 -0.9792483100000001 0.27884830999999993 1.1102230246251565e-16
125 5 17 -0.98767 -0.53121786 -0.45645213999999995 -1.1102230246251565e-16
126 6 17 -2.6275 -1.3306038100000002 -1.29689619 2.220446049250313e-16
127 7 17 0.87379 0.6904330499999998 0.18335695 2.220446049250313e-16
128 8 17 0.61962 0.6353413400000002 -0.01572134000000007 -2.220446049250313e-16
129 9 17 0.30877 0.5555795899999999 -0.24680959000000005 1.1102230246251565e-16
130 10 17 0.80825 0.7786840300000001 0.029565970000000028 -1.1102230246251565e-16
131 11 17 0.42877 0.2888208899999999 0.13994911000000004 5.551115123125783e-17
132 12 17 -0.74498 0.49546188999999996 -1.24044189 1.1102230246251565e-16
133 13 17 0.63226 0.51891918 0.11334082000000002 0.0
134 14 17 -0.54587 0.028391689999999976 -0.57426169 1.0408340855860843e-16
135 15 17 1.2201 0.8462848399999999 0.3738151600000001 -1.1102230246251565e-16
136 16 17 0.0049938 0.52991338 -0.5249195800000002 2.220446049250313e-16
137 1 18 -2.2316 -3.092678 0.8610780000000002 -4.440892098500626e-16
138 2 18 -1.0103 -1.29628525 0.28598524999999997 0.0
139 3 18 -1.0398 -2.0645534 1.0247534 -4.440892098500626e-16
140 4 18 -1.94 -1.76148895 -0.1785110499999999 0.0
141 5 18 0.16884 -1.3134584999999999 1.4822985000000002 -4.440892098500626e-16
142 6 18 -2.0699 -2.11284445 0.04294444999999987 0.0
143 7 18 -0.70037 -0.09180759000000005 -0.6085624100000001 1.1102230246251565e-16
144 8 18 -0.68553 -0.14689929999999962 -0.5386307 -3.3306690738754696e-16
145 9 18 -0.64394 -0.22666104999999986 -0.41727895 -1.1102230246251565e-16
146 10 18 0.51075 -0.003556609999999738 0.5143066100000001 -3.3306690738754696e-16
147 11 18 -0.89043 -0.4934197499999999 -0.39701025 -1.6653345369377348e-16
148 12 18 0.31112 -0.2867787499999998 0.5978987500000001 -3.3306690738754696e-16
149 13 18 -0.58724 -0.2633214599999998 -0.32391854000000003 -1.6653345369377348e-16
150 14 18 -0.68574 -0.7538489499999999 0.06810894999999997 -1.1102230246251565e-16
151 15 18 0.74755 0.0640442000000001 0.6835058000000003 -3.3306690738754696e-16
152 16 18 -0.94462 -0.2523272599999998 -0.6922927400000001 -1.6653345369377348e-16
153 17 18 -1.4353 -0.7822406399999998 -0.6530593600000001 -1.1102230246251565e-16
154 1 19 -4.1515 -3.2448666 -0.9066334000000004 0.0
155 2 19 -1.7768 -1.4484738499999998 -0.32832614999999993 -2.220446049250313e-16
156 3 19 -2.9344 -2.216742 -0.717658 0.0
157 4 19 -2.2169 -1.91367755 -0.30322244999999987 0.0
158 5 19 -0.72055 -1.4656471 0.7450971 0.0
159 6 19 -3.3305 -2.26503305 -1.0654669499999998 0.0
160 7 19 0.75045 -0.24399619000000006 0.9944461900000002 -2.220446049250313e-16
161 8 19 0.43993 -0.29908789999999963 0.7390179 -3.885780586188048e-16
162 9 19 -0.028302 -0.37884964999999987 0.35054764999999993 -5.551115123125783e-17
163 10 19 -0.098396 -0.15574520999999975 0.05734920999999997 -2.220446049250313e-16
164 11 19 -0.010173 -0.6456083499999998 0.6354353500000001 -2.220446049250313e-16
165 12 19 0.36791 -0.4389673499999998 0.8068773499999999 -1.1102230246251565e-16
166 13 19 0.2153 -0.4155100599999998 0.6308100600000001 -2.7755575615628914e-16
167 14 19 -0.6145 -0.9060375499999999 0.29153755 -1.1102230246251565e-16
168 15 19 0.17006 -0.0881443999999999 0.2582044000000001 -2.220446049250313e-16
169 16 19 -2.2672 -0.4045158599999998 -1.86268414 -5.551115123125783e-17
170 17 19 -1.9449 -0.9344292399999998 -1.0104707600000002 0.0
171 18 19 1.2753 -0.1521886 1.4274886000000002 -1.1102230246251565e-16
172 1 20 -3.9603 -3.3422061100000002 -0.61809389 0.0
173 2 20 -1.6173 -1.5458133600000001 -0.07148663999999996 2.220446049250313e-16
174 3 20 -3.2403 -2.3140815100000003 -0.9262184900000001 4.440892098500626e-16
