i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.3422061100000002 1 100.0
2 1.5458133600000001 6 81.0
3 2.3140815100000003 3 77.0
4 2.0110170600000004 4 75.0
5 1.5629866100000003 5 70.0
6 2.3623725600000003 2 63.0
7 0.34133570000000035 15 54.0
8 0.3964274099999999 14 49.0
9 0.47618916000000017 13 47.0
10 0.25308472000000004 16 44.0
11 0.7429478600000001 9 44.0
12 0.53630686 10 44.0
13 0.5128495700000001 11 42.0
14 1.00337706 8 41.0
15 0.1854839100000002 18 40.0
16 0.5018553700000001 12 37.0
17 1.0317687500000001 7 36.0
18 0.2495281100000003 17 33.0
19 0.0973395100000003 19 33.0
20 0.0 20 31.0
