l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -1.5269 -2.786535 1.2596349999999998 4.440892098500626e-16
2 1 3 -2.2903 -1.698631 -0.5916689999999999 2.220446049250313e-16
3 2 3 4.1989 1.087904 3.110995999999999 8.881784197001252e-16
4 1 4 -1.9086 -0.9542909999999998 -0.9543090000000002 -1.1102230246251565e-16
5 2 4 3.0537 1.8322440000000002 1.2214559999999999 0.0
6 3 4 0.76344 0.7443400000000002 0.019100000000000072 -3.3306690738754696e-16
7 1 5 -1.9086 -1.813162 -0.09543799999999988 -2.220446049250313e-16
8 2 5 0.76344 0.9733730000000002 -0.2099329999999999 -2.220446049250313e-16
9 3 5 -0.38172 -0.11453099999999994 -0.26718899999999984 -2.220446049250313e-16
10 4 5 -1.5269 -0.8588710000000002 -0.6680289999999997 -1.1102230246251565e-16
11 1 6 -0.38172 -1.2024070000000002 0.8206869999999998 4.440892098500626e-16
12 2 6 0.38172 1.5841279999999998 -1.2024079999999997 0.0
13 3 6 1.1452 0.4962239999999998 0.6489760000000001 1.1102230246251565e-16
14 4 6 -1.5269 -0.24811600000000045 -1.2787839999999997 2.220446049250313e-16
15 5 6 1.5269 0.6107549999999997 0.9161449999999998 4.440892098500626e-16
16 1 7 -1.5269 -4.046223 2.5193229999999995 8.881784197001252e-16
17 2 7 -1.9086 -1.2596880000000004 -0.648912 2.220446049250313e-16
18 3 7 -1.1452 -2.3475920000000006 1.2023919999999995 8.881784197001252e-16
19 4 7 -6.1075 -3.091932000000001 -3.0155679999999996 4.440892098500626e-16
20 5 7 -1.1452 -2.233061 1.0878609999999995 8.881784197001252e-16
21 6 7 -3.8172 -2.8438160000000003 -0.973384 0.0
22 1 8 -4.1989 -3.588152 -0.6107480000000001 0.0
23 2 8 -1.5269 -0.801617 -0.7252829999999998 -1.1102230246251565e-16
24 3 8 -4.1989 -1.8895210000000002 -2.309379 0.0
25 4 8 -2.2903 -2.6338610000000005 0.3435610000000002 4.440892098500626e-16
26 5 8 -3.8172 -1.7749900000000003 -2.04221 0.0
27 6 8 -1.1452 -2.385745 1.2405449999999998 0.0
28 7 8 1.9086 0.45807100000000023 1.4505289999999995 3.3306690738754696e-16
29 1 9 -2.2903 -3.263688 0.973388 4.440892098500626e-16
30 2 9 -1.5269 -0.47715300000000016 -1.049747 2.220446049250313e-16
31 3 9 -1.1452 -1.5650570000000004 0.4198569999999999 4.440892098500626e-16
32 4 9 -2.2903 -2.3093970000000006 0.01909700000000021 4.440892098500626e-16
33 5 9 -2.2903 -1.4505260000000004 -0.8397739999999998 4.440892098500626e-16
34 6 9 -3.0537 -2.061281 -0.9924189999999999 0.0
35 7 9 1.9086 0.7825350000000001 1.1260649999999999 1.1102230246251565e-16
36 8 9 -0.38172 0.32446399999999986 -0.706184 1.6653345369377348e-16
37 1 10 -4.1989 -3.1300820000000003 -1.068818 4.440892098500626e-16
38 2 10 0.76344 -0.3435470000000001 1.1069869999999997 3.885780586188048e-16
39 3 10 -1.5269 -1.4314510000000003 -0.09544900000000005 4.440892098500626e-16
40 4 10 -1.9086 -2.1757910000000003 0.26719100000000007 0.0
41 5 10 -0.76344 -1.3169200000000003 0.5534800000000001 2.220446049250313e-16
42 6 10 -4.5806 -1.927675 -2.652924999999999 -6.661338147750939e-16
43 7 10 0.76344 0.9161410000000001 -0.152701 -1.1102230246251565e-16
44 8 10 2.220446049250313e-16 0.4580699999999999 -0.45806999999999976 5.551115123125783e-17
45 9 10 -1.9086 0.13360600000000006 -2.0422059999999997 -3.885780586188048e-16
46 1 11 -2.672 -3.1109970000000002 0.43899699999999986 0.0
47 2 11 0.38172 -0.32446200000000025 0.706182 2.7755575615628914e-16
48 3 11 -2.2903 -1.4123660000000005 -0.8779339999999995 2.220446049250313e-16
49 4 11 -1.9086 -2.1567060000000007 0.24810599999999988 8.881784197001252e-16
50 5 11 -3.0537 -1.2978350000000005 -1.7558649999999996 0.0
51 6 11 -1.1452 -1.9085900000000002 0.76339 2.220446049250313e-16
52 7 11 1.1452 0.935226 0.20997400000000002 0.0
53 8 11 0.76344 0.4771549999999998 0.2862849999999999 3.3306690738754696e-16
54 9 11 1.9086 0.1526909999999999 1.7559089999999997 4.440892098500626e-16
55 10 11 0.38172 0.019084999999999852 0.362635 1.6653345369377348e-16
56 1 12 -3.8172 -3.5499750000000003 -0.26722500000000005 4.440892098500626e-16
57 2 12 1.1452 -0.7634400000000001 1.9086399999999997 4.440892098500626e-16
58 3 12 -1.1452 -1.851344 0.7061440000000002 0.0
59 4 12 -3.0537 -2.5956840000000003 -0.45801600000000003 4.440892098500626e-16
60 5 12 -3.0537 -1.7368130000000002 -1.3168869999999997 -2.220446049250313e-16
61 6 12 -4.1989 -2.347568 -1.851332 0.0
62 7 12 0.76344 0.49624800000000013 0.26719199999999993 -5.551115123125783e-17
63 8 12 -0.76344 0.038176999999999905 -0.8016170000000001 2.220446049250313e-16
64 9 12 1.1452 -0.28628699999999996 1.4314870000000002 -2.220446049250313e-16
65 10 12 2.2903 -0.419893 2.7101929999999994 3.885780586188048e-16
66 11 12 0.76344 -0.43897799999999987 1.2024179999999998 1.1102230246251565e-16
67 1 13 -5.7258 -3.6454150000000003 -2.0803849999999993 0.0
68 2 13 -1.1452 -0.8588800000000001 -0.28631999999999996 0.0
69 3 13 -1.1452 -1.946784 0.8015839999999999 2.220446049250313e-16
70 4 13 -0.76344 -2.6911240000000003 1.9276839999999995 8.881784197001252e-16
71 5 13 -4.9623 -1.8322530000000001 -3.130047 0.0
72 6 13 -1.5269 -2.443008 0.9161079999999998 0.0
73 7 13 1.5269 0.40080800000000016 1.1260919999999994 3.3306690738754696e-16
74 8 13 0.38172 -0.057263000000000064 0.4389829999999999 1.6653345369377348e-16
75 9 13 -0.76344 -0.3817269999999999 -0.38171299999999997 -1.1102230246251565e-16
76 10 13 -1.1452 -0.515333 -0.6298670000000001 1.1102230246251565e-16
77 11 13 1.5269 -0.5344179999999998 2.061317999999999 6.661338147750939e-16
78 12 13 1.5269 -0.09543999999999997 1.6223399999999994 4.440892098500626e-16
79 1 14 -5.344 -2.748368 -2.5956319999999997 -4.440892098500626e-16
80 2 14 -1.5269 0.0381669999999999 -1.5650669999999998 -6.245004513516506e-17
81 3 14 -0.38172 -1.0497370000000001 0.6680169999999999 2.220446049250313e-16
82 4 14 -0.38172 -1.7940770000000004 1.4123569999999996 6.661338147750939e-16
83 5 14 3.0537 -0.9352060000000002 3.988906 2.220446049250313e-16
84 6 14 2.220446049250313e-16 -1.545961 1.545961 2.220446049250313e-16
85 7 14 1.9086 1.2978550000000002 0.6107449999999999 0.0
86 8 14 -0.76344 0.839784 -1.6032239999999995 -4.440892098500626e-16
87 9 14 -0.76344 0.5153200000000001 -1.2787599999999997 -4.440892098500626e-16
88 10 14 1.1452 0.381714 0.763486 0.0
89 11 14 -0.38172 0.36262900000000015 -0.7443489999999999 -2.220446049250313e-16
90 12 14 2.2903 0.8016070000000001 1.4886929999999996 1.1102230246251565e-16
91 13 14 0.38172 0.897047 -0.5153269999999999 -1.1102230246251565e-16
92 1 15 -3.8172 -3.320946 -0.4962539999999999 0.0
93 2 15 0.76344 -0.5344110000000001 1.297851 0.0
94 3 15 -0.76344 -1.6223150000000002 0.8588749999999997 4.440892098500626e-16
95 4 15 -1.5269 -2.3666550000000006 0.8397549999999999 8.881784197001252e-16
96 5 15 -2.672 -1.5077840000000002 -1.164216 0.0
97 6 15 -2.672 -2.118539 -0.5534610000000001 0.0
98 7 15 1.1452 0.7252770000000002 0.4199229999999999 0.0
99 8 15 -0.38172 0.26720599999999994 -0.6489259999999999 -5.551115123125783e-17
100 9 15 0.38172 -0.05725799999999992 0.4389780000000001 -1.6653345369377348e-16
101 10 15 -0.38172 -0.19086399999999998 -0.19085599999999991 -1.1102230246251565e-16
102 11 15 -0.76344 -0.20994899999999983 -0.5534909999999998 -3.3306690738754696e-16
103 12 15 0.38172 0.22902900000000004 0.15269100000000002 -5.551115123125783e-17
104 13 15 2.2903 0.324469 1.9658309999999992 5.551115123125783e-16
105 14 15 -0.38172 -0.572578 0.19085800000000003 0.0
106 1 16 -1.9086 -2.996481 1.087881 0.0
107 2 16 -1.5269 -0.2099460000000001 -1.3169539999999997 -8.326672684688674e-17
108 3 16 -1.9086 -1.2978500000000002 -0.6107499999999999 0.0
109 4 16 -3.0537 -2.0421900000000006 -1.01151 4.440892098500626e-16
110 5 16 -1.5269 -1.1833190000000002 -0.3435809999999999 2.220446049250313e-16
111 6 16 -2.2903 -1.794074 -0.49622599999999983 0.0
112 7 16 -1.1452 1.0497420000000002 -2.1949419999999993 -8.881784197001252e-16
113 8 16 0.38172 0.591671 -0.209951 1.1102230246251565e-16
114 9 16 1.1452 0.2672070000000001 0.8779929999999999 0.0
115 10 16 -1.9086 0.133601 -2.0422009999999995 -5.828670879282072e-16
116 11 16 0.76344 0.11451600000000015 0.6489239999999998 2.7755575615628914e-17
117 12 16 0.76344 0.553494 0.20994600000000008 -1.1102230246251565e-16
118 13 16 0.38172 0.648934 -0.2672139999999999 -1.1102230246251565e-16
119 14 16 -0.76344 -0.24811300000000003 -0.515327 0.0
120 15 16 1.9086 0.324465 1.5841349999999998 2.220446049250313e-16
121 1 17 -1.9086 -2.939233 1.030633 4.440892098500626e-16
122 2 17 -0.76344 -0.152698 -0.6107419999999998 -2.220446049250313e-16
123 3 17 -1.1452 -1.240602 0.09540200000000004 0.0
124 4 17 -1.9086 -1.9849420000000002 0.07634199999999991 2.220446049250313e-16
125 5 17 -1.1452 -1.126071 -0.01912900000000002 0.0
126 6 17 -0.76344 -1.7368259999999998 0.9733859999999995 2.220446049250313e-16
127 7 17 -1.1452 1.1069900000000001 -2.25219 0.0
128 8 17 1.9086 0.648919 1.2596809999999994 6.661338147750939e-16
129 9 17 -0.76344 0.32445500000000016 -1.0878949999999998 -3.3306690738754696e-16
130 10 17 -0.76344 0.1908490000000001 -0.9542889999999998 -2.7755575615628914e-16
131 11 17 2.220446049250313e-16 0.17176400000000025 -0.1717639999999998 -2.220446049250313e-16
132 12 17 -0.76344 0.6107420000000001 -1.374182 -1.1102230246251565e-16
133 13 17 1.1452 0.7061820000000001 0.4390179999999999 0.0
134 14 17 -0.38172 -0.19086499999999992 -0.190855 -8.326672684688674e-17
135 15 17 1.5269 0.3817130000000001 1.1451869999999993 5.551115123125783e-16
136 16 17 -0.38172 0.057248000000000104 -0.4389679999999999 -1.942890293094024e-16
137 1 18 -2.2903 -3.6454120000000003 1.3551120000000003 0.0
138 2 18 -0.76344 -0.8588770000000002 0.0954369999999999 3.3306690738754696e-16
139 3 18 -0.38172 -1.9467810000000003 1.565061 2.220446049250313e-16
140 4 18 -3.4355 -2.6911210000000008 -0.7443790000000001 8.881784197001252e-16
141 5 18 -2.2903 -1.8322500000000004 -0.4580499999999997 2.220446049250313e-16
142 6 18 -1.5269 -2.4430050000000003 0.9161049999999997 8.881784197001252e-16
143 7 18 -0.38172 0.40081100000000003 -0.7825309999999999 -1.6653345369377348e-16
144 8 18 -1.5269 -0.0572600000000002 -1.4696399999999996 -1.1102230246251565e-16
145 9 18 -1.1452 -0.38172400000000006 -0.7634759999999999 0.0
146 10 18 -3.8172 -0.5153300000000001 -3.301869999999999 -8.881784197001252e-16
147 11 18 -1.5269 -0.534415 -0.9924849999999997 -2.220446049250313e-16
148 12 18 0.76344 -0.0954370000000001 0.8588769999999998 3.3306690738754696e-16
149 13 18 1.1452 2.9999999998642224e-6 1.1451969999999998 3.3306690738754696e-16
150 14 18 -0.38172 -0.8970440000000002 0.515324 2.220446049250313e-16
151 15 18 -0.38172 -0.32446600000000014 -0.057254000000000006 1.6653345369377348e-16
152 16 18 -1.1452 -0.6489310000000001 -0.49626899999999985 0.0
153 17 18 1.1452 -0.7061790000000002 1.8513789999999999 3.3306690738754696e-16
154 1 19 -2.672 -3.912611 1.2406109999999997 0.0
155 2 19 -2.2903 -1.1260760000000003 -1.1642239999999997 2.220446049250313e-16
156 3 19 -3.4355 -2.2139800000000003 -1.2215200000000002 0.0
157 4 19 -1.9086 -2.9583200000000005 1.0497199999999998 8.881784197001252e-16
158 5 19 2.220446049250313e-16 -2.0994490000000003 2.0994489999999995 1.3322676295501878e-15
159 6 19 -3.0537 -2.710204 -0.343496 0.0
160 7 19 -0.38172 0.13361200000000006 -0.5153320000000001 5.551115123125783e-17
161 8 19 0.38172 -0.32445900000000016 0.7061789999999999 2.7755575615628914e-16
162 9 19 0.38172 -0.648923 1.0306429999999998 3.3306690738754696e-16
163 10 19 -1.1452 -0.782529 -0.36267099999999985 -1.1102230246251565e-16
164 11 19 -0.38172 -0.8016139999999999 0.4198939999999999 1.1102230246251565e-16
165 12 19 1.1452 -0.36263600000000007 1.507836 1.1102230246251565e-16
166 13 19 -0.38172 -0.2671960000000001 -0.11452399999999999 1.1102230246251565e-16
167 14 19 0.38172 -1.1642430000000001 1.545963 2.220446049250313e-16
168 15 19 -0.76344 -0.5916650000000001 -0.17177499999999998 1.1102230246251565e-16
169 16 19 -3.4355 -0.9161300000000001 -2.5193699999999994 -6.661338147750939e-16
170 17 19 -4.1989 -0.9733780000000002 -3.2255219999999993 -5.551115123125783e-16
171 18 19 -1.5269 -0.26719899999999996 -1.2597009999999995 -4.440892098500626e-16
172 1 20 -5.344 -3.3782110000000003 -1.9657890000000002 0.0
173 2 20 2.220446049250313e-16 -0.5916760000000001 0.5916760000000001 2.220446049250313e-16
174 3 20 -0.76344 -1.67958 0.9161399999999998 2.220446049250313e-16
175 4 20 -1.1452 -2.4239200000000003 1.2787199999999999 4.440892098500626e-16
176 5 20 -0.38172 -1.5650490000000001 1.1833289999999996 4.440892098500626e-16
177 6 20 -0.76344 -2.175804 1.4123639999999997 0.0
178 7 20 1.5269 0.6680120000000002 0.8588879999999997 1.1102230246251565e-16
179 8 20 0.76344 0.20994099999999993 0.5534989999999999 2.220446049250313e-16
180 9 20 -1.1452 -0.11452299999999993 -1.0306769999999998 -2.220446049250313e-16
181 10 20 -1.1452 -0.248129 -0.8970709999999997 -2.7755575615628914e-16
182 11 20 2.220446049250313e-16 -0.26721399999999984 0.26721400000000006 0.0
183 12 20 -0.76344 0.17176400000000003 -0.9352039999999999 -1.1102230246251565e-16
184 13 20 2.220446049250313e-16 0.267204 -0.2672039999999998 0.0
185 14 20 2.220446049250313e-16 -0.629843 0.6298430000000002 1.1102230246251565e-16
186 15 20 2.220446049250313e-16 -0.05726500000000001 0.057265000000000135 9.71445146547012e-17
187 16 20 -1.5269 -0.38173 -1.1451699999999996 -3.3306690738754696e-16
188 17 20 -1.1452 -0.4389780000000001 -0.7062219999999998 -1.1102230246251565e-16
189 18 20 0.76344 0.26720100000000013 0.496239 -1.1102230246251565e-16
190 19 20 -0.76344 0.5344000000000001 -1.29784 0.0
