l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 1.1471 -0.5941794 1.7412794000000003 -2.220446049250313e-16
2 1 3 -1.1647 -1.16446945 -0.0002305500000000238 -2.220446049250313e-16
3 2 3 1.4307 -0.5702900499999999 2.0009900500000004 -4.440892098500626e-16
4 1 4 -0.49059 -0.7263274500000001 0.23573745000000002 0.0
5 2 4 -0.028479 -0.13214804999999996 0.10366905000000004 -8.326672684688674e-17
6 3 4 0.56743 0.4381419999999999 0.12928800000000007 0.0
7 1 5 -1.6687 -0.4231498600000001 -1.24555014 0.0
8 2 5 0.62612 0.17102953999999998 0.4550904600000001 -5.551115123125783e-17
9 3 5 -0.061849 0.7413195899999998 -0.8031685900000001 2.220446049250313e-16
10 4 5 0.44951 0.30317758999999994 0.14633241000000005 5.551115123125783e-17
11 1 6 0.85044 -1.01859823 1.8690382300000001 -2.220446049250313e-16
12 2 6 -1.1817 -0.42441882999999986 -0.7572811700000002 5.551115123125783e-17
13 3 6 0.6249 0.14587121999999997 0.4790287800000001 -5.551115123125783e-17
14 4 6 -0.52058 -0.2922707799999999 -0.2283092200000001 -5.551115123125783e-17
15 5 6 -0.30427 -0.5954483699999998 0.29117837 -1.1102230246251565e-16
16 1 7 -1.5211 -1.2614379999999998 -0.25966199999999995 -2.220446049250313e-16
17 2 7 -1.2199 -0.6672585999999998 -0.5526414000000001 -1.1102230246251565e-16
18 3 7 2.1706 -0.09696854999999996 2.2675685500000005 -6.38378239159465e-16
19 4 7 -0.34764 -0.5351105499999999 0.18747055 -1.1102230246251565e-16
20 5 7 -1.573 -0.8382881399999997 -0.7347118600000001 -1.1102230246251565e-16
21 6 7 -0.21535 -0.24283976999999995 0.027489769999999913 2.7755575615628914e-17
22 1 8 -1.2512 -1.4983689999999998 0.24716900000000003 -2.220446049250313e-16
23 2 8 -2.8182 -0.9041895999999998 -1.9140104000000004 2.220446049250313e-16
24 3 8 0.20194 -0.33389954999999993 0.53583955 -1.1102230246251565e-16
25 4 8 -2.4193 -0.7720415499999997 -1.6472584500000003 2.220446049250313e-16
26 5 8 -2.146 -1.0752191399999997 -1.0707808600000002 0.0
27 6 8 0.50524 -0.4797707699999999 0.9850107700000001 -2.220446049250313e-16
28 7 8 0.64946 -0.23693099999999995 0.8863910000000002 -1.6653345369377348e-16
29 1 9 0.2536 -1.16388725 1.4174872500000002 -2.220446049250313e-16
30 2 9 -0.017603 -0.5697078499999999 0.5521048500000001 -2.220446049250313e-16
31 3 9 0.65715 0.0005821999999999494 0.6565678000000001 -8.326672684688674e-17
32 4 9 -0.67197 -0.43755979999999994 -0.2344102 0.0
33 5 9 -0.24395 -0.7407373899999998 0.49678739000000016 -3.3306690738754696e-16
34 6 9 -0.95774 -0.14528902000000005 -0.8124509800000002 1.6653345369377348e-16
35 7 9 0.92579 0.09755074999999991 0.8282392500000001 0.0
36 8 9 0.63324 0.33448174999999986 0.2987582500000001 5.551115123125783e-17
37 1 10 -1.2779 -0.737124 -0.5407760000000001 1.1102230246251565e-16
38 2 10 2.1021 -0.14294459999999995 2.245044600000001 -8.049116928532385e-16
39 3 10 -0.17137 0.4273454499999999 -0.59871545 1.1102230246251565e-16
40 4 10 0.18909 -0.010796549999999988 0.1998865500000001 -1.1102230246251565e-16
41 5 10 -0.96827 -0.3139741399999999 -0.6542958600000003 2.220446049250313e-16
42 6 10 0.24916 0.28147422999999994 -0.032314230000000034 1.1102230246251565e-16
43 7 10 1.2348 0.5243139999999998 0.710486 1.1102230246251565e-16
44 8 10 -0.29992 0.7612449999999998 -1.0611650000000004 5.551115123125783e-16
45 9 10 0.53499 0.4267632499999999 0.10822675000000008 -5.551115123125783e-17
46 1 11 -1.1072 -1.34626031 0.23906031000000016 -2.220446049250313e-16
47 2 11 0.57947 -0.7520809099999999 1.3315509100000005 -5.551115123125783e-16
48 3 11 0.58799 -0.18179085999999997 0.7697808600000002 -2.498001805406602e-16
49 4 11 0.79613 -0.6199328599999998 1.41606286 -2.220446049250313e-16
50 5 11 0.0020582 -0.9231104499999998 0.92516865 -2.220446049250313e-16
51 6 11 -0.0092664 -0.32766207999999997 0.3183956800000001 -1.6653345369377348e-16
52 7 11 -1.3363 -0.08482231000000001 -1.2514776900000004 3.885780586188048e-16
53 8 11 0.75741 0.15210868999999994 0.6053013100000002 -1.1102230246251565e-16
54 9 11 0.092532 -0.18237305999999992 0.27490506000000003 -1.1102230246251565e-16
55 10 11 -0.64891 -0.6091363099999999 -0.03977368999999998 -1.1102230246251565e-16
56 1 12 -0.25574 -0.8844809499999999 0.6287409500000001 -2.220446049250313e-16
57 2 12 1.2294 -0.2903015499999999 1.5197015500000002 -2.220446049250313e-16
58 3 12 0.25039 0.2799885 -0.029598499999999993 0.0
59 4 12 -0.73018 -0.15815349999999995 -0.5720265000000001 0.0
60 5 12 -0.42013 -0.4613310899999999 0.041201090000000024 -1.6653345369377348e-16
61 6 12 0.043541 0.13411727999999998 -0.09057628000000009 1.1102230246251565e-16
62 7 12 2.5123 0.3769570499999999 2.135342950000001 -6.661338147750939e-16
63 8 12 1.6201 0.6138880499999999 1.0062119500000002 0.0
64 9 12 -0.3811 0.2794063 -0.6605063000000001 1.1102230246251565e-16
65 10 12 -1.6269 -0.14735694999999993 -1.4795430500000004 3.3306690738754696e-16
66 11 12 0.45885 0.4617793599999999 -0.002929359999999978 5.551115123125783e-17
67 1 13 -1.5434 -1.8287906 0.28539059999999994 0.0
68 2 13 -1.5233 -1.2346111999999998 -0.2886888000000002 0.0
69 3 13 -1.396 -0.66432115 -0.7316788500000001 2.220446049250313e-16
70 4 13 0.53846 -1.10246315 1.6409231500000008 -6.661338147750939e-16
71 5 13 -1.106 -1.40564074 0.29964073999999996 0.0
72 6 13 0.19951 -0.81019237 1.0097023700000003 -3.3306690738754696e-16
73 7 13 0.32215 -0.5673526 0.8895026000000001 -2.220446049250313e-16
74 8 13 -2.1626 -0.3304216000000001 -1.8321784 3.3306690738754696e-16
75 9 13 -0.84117 -0.6649033499999999 -0.17626665000000002 0.0
76 10 13 -0.66494 -1.0916666 0.42672660000000007 0.0
77 11 13 -0.9863 -0.48253029000000003 -0.50376971 1.1102230246251565e-16
78 12 13 -1.1194 -0.94430965 -0.17509034999999995 0.0
79 1 14 0.72582 -0.8825626 1.6083826000000006 -5.551115123125783e-16
80 2 14 -1.3432 -0.2883831999999999 -1.0548168000000002 1.6653345369377348e-16
