l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.89961 -1.6795695 0.7799595000000001 -2.220446049250313e-16
2 1 3 -1.9308 -1.62486025 -0.3059397500000001 0.0
3 2 3 1.3098 0.05470925000000004 1.2550907500000001 -1.1102230246251565e-16
4 1 4 -1.492 -1.5845314999999998 0.09253149999999999 -2.220446049250313e-16
5 2 4 0.24066 0.09503800000000018 0.14562200000000006 -2.220446049250313e-16
6 3 4 0.99006 0.040328750000000135 0.9497312500000001 -2.220446049250313e-16
7 1 5 -2.6353 -1.9431998 -0.6921002 0.0
8 2 5 0.2834 -0.2636303 0.5470303000000001 -1.1102230246251565e-16
9 3 5 -0.85608 -0.31833955 -0.53774045 1.1102230246251565e-16
10 4 5 -0.51661 -0.35866830000000016 -0.15794170000000005 2.220446049250313e-16
11 1 6 -1.5362 -2.2231845000000003 0.6869845 4.440892098500626e-16
12 2 6 -0.66917 -0.5436150000000001 -0.12555500000000003 1.1102230246251565e-16
13 3 6 -0.46017 -0.5983242500000001 0.13815424999999995 1.1102230246251565e-16
14 4 6 -1.4417 -0.6386530000000002 -0.8030470000000002 4.440892098500626e-16
15 5 6 0.94461 -0.2799847000000001 1.2245947 1.1102230246251565e-16
16 1 7 -2.1619 -1.9482480000000002 -0.2136520000000002 2.220446049250313e-16
17 2 7 -0.72433 -0.2686785000000001 -0.45565150000000004 1.1102230246251565e-16
18 3 7 -0.1095 -0.32338775000000014 0.21388774999999993 2.220446049250313e-16
19 4 7 -0.3549 -0.3637165000000003 0.008816500000000019 2.7755575615628914e-16
20 5 7 -0.41963 -0.005048200000000114 -0.4145818 1.1102230246251565e-16
21 6 7 0.43904 0.27493650000000003 0.16410349999999996 0.0
22 1 8 -2.3829 -1.2664799999999996 -1.11642 -2.220446049250313e-16
23 2 8 -0.90232 0.41308950000000033 -1.3154095000000003 0.0
24 3 8 0.92327 0.3583802500000003 0.5648897500000001 -3.3306690738754696e-16
25 4 8 0.54375 0.31805150000000015 0.2256984999999999 -1.1102230246251565e-16
26 5 8 -0.50349 0.6767198000000003 -1.1802097999999999 -4.440892098500626e-16
27 6 8 2.0955 0.9567045000000004 1.1387954999999998 -3.3306690738754696e-16
28 7 8 1.4321 0.6817680000000004 0.7503320000000001 -5.551115123125783e-16
29 1 9 -1.9274 -3.067414 1.1400140000000003 -4.440892098500626e-16
30 2 9 -1.2021 -1.3878445 0.1857445000000001 0.0
31 3 9 -0.86452 -1.44255375 0.5780337500000001 0.0
32 4 9 -2.1611 -1.4828825 -0.6782174999999999 2.220446049250313e-16
33 5 9 -0.89145 -1.1242142 0.23276420000000014 -2.220446049250313e-16
34 6 9 -0.16853 -0.8442294999999999 0.6756995000000001 -3.3306690738754696e-16
35 7 9 -0.40534 -1.1191659999999999 0.7138260000000001 -2.220446049250313e-16
36 8 9 -2.0706 -1.8009340000000003 -0.2696660000000003 4.440892098500626e-16
37 1 10 -2.9656 -2.62575395 -0.33984604999999984 0.0
38 2 10 -0.81365 -0.9461844500000002 0.13253445 2.220446049250313e-16
39 3 10 -2.2981 -1.0008937000000002 -1.2972063 4.440892098500626e-16
40 4 10 -2.3725 -1.0412224500000002 -1.33127755 2.220446049250313e-16
41 5 10 -1.3978 -0.6825541500000002 -0.7152458500000001 3.3306690738754696e-16
42 6 10 -0.49489 -0.4025694500000001 -0.09232055000000004 1.6653345369377348e-16
43 7 10 -0.18264 -0.67750595 0.49486595 0.0
44 8 10 -1.7521 -1.3592739500000004 -0.39282605000000015 4.440892098500626e-16
45 9 10 1.0651 0.44166004999999975 0.6234399500000001 1.1102230246251565e-16
46 1 11 -1.5154 -2.0568870500000003 0.54148705 0.0
47 2 11 0.452 -0.37731755000000006 0.8293175500000001 0.0
48 3 11 -0.68827 -0.4320268000000001 -0.25624320000000017 2.220446049250313e-16
49 4 11 0.85258 -0.47235555000000023 1.3249355500000002 5.551115123125783e-17
50 5 11 1.0823 -0.11368725000000007 1.1959872500000002 -5.551115123125783e-17
51 6 11 1.3126 0.16629745000000004 1.1463025500000001 -1.942890293094024e-16
52 7 11 -1.4513 -0.10863904999999996 -1.3426609500000002 1.1102230246251565e-16
53 8 11 -0.53547 -0.7904070500000004 0.25493705 4.440892098500626e-16
54 9 11 1.0398 1.0105269499999998 0.029273050000000085 2.220446049250313e-16
55 10 11 0.026659 0.5688669000000002 -0.5422079000000002 0.0
56 1 12 -2.5591 -2.25334815 -0.30575184999999994 0.0
57 2 12 0.81209 -0.5737786500000001 1.3858686500000001 -1.1102230246251565e-16
58 3 12 -0.67205 -0.6284879000000001 -0.04356210000000003 1.1102230246251565e-16
59 4 12 -1.0424 -0.6688166500000002 -0.37358335000000004 3.3306690738754696e-16
60 5 12 -0.21342 -0.3101483500000001 0.09672835000000002 5.551115123125783e-17
61 6 12 0.27221 -0.03016364999999996 0.30237365000000005 -8.326672684688674e-17
62 7 12 1.142 -0.30510014999999996 1.4471001500000003 -3.885780586188048e-16
