i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.093793 1 93.0
2 1.4142234999999999 6 80.0
3 1.46893275 5 78.0
4 1.5092615 4 77.0
5 1.1505931999999999 7 58.0
6 0.8706084999999999 11 55.0
7 1.1455449999999998 8 55.0
8 1.8273130000000002 2 54.0
9 0.02637900000000004 19 52.0
10 0.4680390499999998 16 51.0
11 1.03690595 9 48.0
12 0.8404448499999999 13 47.0
13 0.46740415 17 45.0
14 0.20949249999999975 18 41.0
15 1.575455 3 38.0
16 0.85534735 12 38.0
17 0.8850634499999999 10 38.0
18 0.5799419999999997 15 37.0
19 0.0 20 33.0
20 0.6357062499999999 14 26.0
