l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.14432 -0.7937740000000003 0.6494539999999999 4.440892098500626e-16
2 1 3 -2.8864 -1.4287860000000001 -1.4576139999999997 -2.220446049250313e-16
3 2 3 2.3092 -0.6350119999999999 2.944211999999999 1.1102230246251565e-15
4 1 4 0.14432 -0.13711450000000014 0.2814344999999999 2.220446049250313e-16
5 2 4 0.86593 0.6566595000000002 0.20927049999999991 -1.1102230246251565e-16
6 3 4 1.4432 1.2916715 0.15152849999999995 0.0
7 1 5 -0.72161 -0.8370615000000002 0.11545150000000004 2.220446049250313e-16
8 2 5 0.57729 -0.043287499999999965 0.6205774999999997 2.636779683484747e-16
9 3 5 -1.4432 0.5917245 -2.0349244999999994 -6.661338147750939e-16
10 4 5 0.43297 -0.6999470000000001 1.1329169999999995 6.661338147750939e-16
11 1 6 1.4432 -0.38967900000000016 1.8328789999999993 9.43689570931383e-16
12 2 6 0.43297 0.4040950000000001 0.028874999999999963 -5.551115123125783e-17
13 3 6 2.1648 1.039107 1.1256929999999996 4.440892098500626e-16
14 4 6 -1.2989 -0.2525645 -1.0463354999999994 -4.996003610813204e-16
15 5 6 0.72161 0.44738250000000007 0.27422749999999985 5.551115123125783e-17
16 1 7 -0.72161 -1.3133415000000004 0.5917314999999999 4.440892098500626e-16
17 2 7 -1.8762 -0.5195675000000001 -1.3566324999999997 -3.3306690738754696e-16
18 3 7 1.0103 0.1154444999999999 0.8948554999999995 6.106226635438361e-16
19 4 7 -1.8762 -1.1762270000000001 -0.6999729999999998 -2.220446049250313e-16
20 5 7 -0.43297 -0.4762800000000001 0.04330999999999998 1.1102230246251565e-16
21 6 7 0.72161 -0.9236625000000002 1.6452724999999992 8.881784197001252e-16
22 1 8 -1.7319 -1.4504435000000002 -0.2814564999999999 2.220446049250313e-16
23 2 8 -2.4535 -0.6566694999999999 -1.7968304999999989 -1.2212453270876722e-15
24 3 8 -0.57729 -0.021657499999999996 -0.5556324999999998 -2.220446049250313e-16
25 4 8 0.14432 -1.313329 1.4576489999999995 4.440892098500626e-16
26 5 8 -1.0103 -0.613382 -0.39691799999999977 -2.220446049250313e-16
27 6 8 -1.5875 -1.0607645 -0.5267354999999998 0.0
28 7 8 0.86593 -0.1371019999999999 1.0030319999999997 1.6653345369377348e-16
29 1 9 0.57729 -1.0679935000000003 1.6452834999999992 1.1102230246251565e-15
30 2 9 0.43297 -0.2742195 0.7071894999999996 4.440892098500626e-16
31 3 9 0.28864 0.36079249999999996 -0.07215250000000001 5.551115123125783e-17
32 4 9 -1.2989 -0.9308790000000001 -0.36802099999999993 1.1102230246251565e-16
33 5 9 -1.1546 -0.23093200000000003 -0.9236679999999997 -3.3306690738754696e-16
34 6 9 0.14432 -0.6783145000000002 0.8226344999999997 4.440892098500626e-16
35 7 9 1.4432 0.24534800000000007 1.1978519999999997 2.7755575615628914e-16
36 8 9 0.28864 0.38244999999999996 -0.09380999999999992 0.0
37 1 10 -1.1546 -0.13711850000000014 -1.0174814999999997 -2.220446049250313e-16
38 2 10 1.4432 0.6566555000000002 0.7865444999999998 1.1102230246251565e-16
39 3 10 -0.43297 1.2916675 -1.7246374999999994 -6.661338147750939e-16
40 4 10 -0.72161 -4.000000000004e-6 -0.7216059999999999 -1.1102230246251565e-16
41 5 10 0.14432 0.6999430000000001 -0.5556229999999999 -2.220446049250313e-16
42 6 10 1.4432 0.2525605 1.1906394999999996 3.885780586188048e-16
43 7 10 2.4535 1.1762230000000002 1.2772769999999998 0.0
44 8 10 0.43297 1.313325 -0.8803549999999996 -4.440892098500626e-16
45 9 10 1.2989 0.9308750000000001 0.3680249999999998 0.0
46 1 11 -0.57729 -1.2844675000000003 0.7071774999999998 4.440892098500626e-16
47 2 11 2.220446049250313e-16 -0.4906935 0.4906935 2.220446049250313e-16
48 3 11 1.2989 0.14431849999999996 1.1545814999999995 4.996003610813204e-16
49 4 11 -0.28864 -1.147353 0.8587129999999996 4.440892098500626e-16
50 5 11 0.57729 -0.447406 1.0246959999999998 1.6653345369377348e-16
51 6 11 -0.57729 -0.8947885000000001 0.3174984999999999 2.220446049250313e-16
52 7 11 -0.57729 0.028874000000000066 -0.6061639999999999 -1.1102230246251565e-16
53 8 11 1.1546 0.16597599999999996 0.9886239999999996 4.996003610813204e-16
