t i j k u[t]=u_ijk
1 1 2 3 0.16426400000000002
2 1 2 4 0.04188600000000001
3 1 2 5 0.09094900000000002
4 1 2 6 0.0263213355
5 1 2 7 -0.007552999999999999
6 1 2 8 0.03308900000000001
7 1 2 9 0.060178
8 1 2 10 0.08410050000000001
9 1 2 11 0.12042905000000002
10 1 2 12 0.126629
11 1 2 13 0.023824000000000005
12 1 2 14 0.0008809999999999985
13 1 2 15 0.12110350000000002
14 1 2 16 0.10050450000000001
15 1 2 17 0.04085899999999999
16 1 2 18 0.155885
17 1 2 19 0.10924900000000003
18 1 2 20 0.04779900000000001
19 1 3 4 0.010911499999999996
20 1 3 5 -0.0423605
21 1 3 6 -0.06637690000000002
22 1 3 7 0.019407999999999998
23 1 3 8 -0.0439215
24 1 3 9 -0.05427200000000001
25 1 3 10 -0.09665
26 1 3 11 0.004710999999999996
27 1 3 12 -0.037847500000000006
28 1 3 13 -0.04499
29 1 3 14 -0.066756
30 1 3 15 0.034332
31 1 3 16 -0.04554000000000001
32 1 3 17 -0.020871000000000004
33 1 3 18 0.08536099999999999
34 1 3 19 0.03696000000000001
35 1 3 20 0.085619
36 1 4 5 0.032696175
37 1 4 6 -0.07409000000000003
38 1 4 7 -0.03598150000000001
39 1 4 8 0.008968880000000002
40 1 4 9 -0.06772
41 1 4 10 -0.014018000000000004
42 1 4 11 0.061167
43 1 4 12 -0.04631150000000001
44 1 4 13 0.020508499999999995
45 1 4 14 -0.013282500000000001
46 1 4 15 0.08217950000000002
47 1 4 16 0.004823499999999992
48 1 4 17 -0.05773650000000001
49 1 4 18 0.0734335
50 1 4 19 0.08159450000000003
51 1 4 20 0.063558
52 1 5 6 -0.079108
53 1 5 7 -0.034207
54 1 5 8 -0.04589200000000001
55 1 5 9 -0.05511950000000001
56 1 5 10 -0.07617
57 1 5 11 0.07576550000000001
58 1 5 12 -0.0031585000000000016
59 1 5 13 -0.042205
60 1 5 14 -0.102918
61 1 5 15 0.015263500000000006
62 1 5 16 0.019479
63 1 5 17 -0.0038120000000000016
64 1 5 18 0.0919015
65 1 5 19 0.05119450000000001
66 1 5 20 0.0386095
67 1 6 7 0.036329049999999995
68 1 6 8 0.003150500000000001
69 1 6 9 0.032810500000000006
70 1 6 10 0.06582300000000002
71 1 6 11 0.057842
72 1 6 12 0.065377
73 1 6 13 0.005355500000000003
74 1 6 14 -0.020315999999999997
75 1 6 15 -0.021224499999999993
76 1 6 16 0.0710535
77 1 6 17 0.0281155
78 1 6 18 0.1221005
79 1 6 19 0.15554650000000003
80 1 6 20 0.100412
81 1 7 8 0.031901500000000006
82 1 7 9 0.04446350000000001
83 1 7 10 0.055577000000000015
84 1 7 11 -0.008428000000000001
85 1 7 12 0.051986500000000005
86 1 7 13 0.05818800000000001
87 1 7 14 -0.0359015
88 1 7 15 0.06494100000000001
89 1 7 16 0.020494500000000006
90 1 7 17 0.011556
91 1 7 18 0.15447550000000002
92 1 7 19 0.019157000000000014
93 1 7 20 0.038228500000000006
94 1 8 9 -0.0175825
95 1 8 10 -0.0015612000000000022
96 1 8 11 0.065453
97 1 8 12 0.0265705
98 1 8 13 -0.018087499999999992
99 1 8 14 -0.0802455
100 1 8 15 0.026289000000000003
101 1 8 16 0.016693000000000003
102 1 8 17 -0.007991500000000007
103 1 8 18 0.08992750000000001
104 1 8 19 0.039167500000000015
105 1 8 20 0.17632750000000003
106 1 9 10 0.0055835
107 1 9 11 0.0594445
108 1 9 12 0.009910499999999996
109 1 9 13 -0.02800649999999999
110 1 9 14 0.005471200000000001
111 1 9 15 0.04865500000000001
112 1 9 16 0.13305850000000002
113 1 9 17 0.020421999999999996
114 1 9 18 0.21602350000000003
115 1 9 19 0.13626850000000004
116 1 9 20 0.084514
117 1 10 11 0.014553999999999996
118 1 10 12 -0.010269500000000004
119 1 10 13 0.017040500000000004
120 1 10 14 -0.047774000000000004
121 1 10 15 0.034974500000000006
122 1 10 16 0.066779
123 1 10 17 -0.0008405000000000052
124 1 10 18 0.06783
125 1 10 19 0.1045264
126 1 10 20 0.07329949999999999
127 1 11 12 0.014049999999999997
128 1 11 13 -0.09782
129 1 11 14 -0.036817499999999996
130 1 11 15 0.005805500000000008
131 1 11 16 0.011130000000000004
132 1 11 17 -0.008633
133 1 11 18 0.149185
134 1 11 19 0.08691050000000002
135 1 11 20 0.06750950000000001
136 1 12 13 -0.019104999999999997
137 1 12 14 -0.011307849999999998
138 1 12 15 -0.012341999999999994
139 1 12 16 0.03920100000000001
140 1 12 17 -0.026449999999999998
141 1 12 18 0.15041350000000003
142 1 12 19 0.08842980000000002
143 1 12 20 0.09817300000000001
144 1 13 14 -0.08790500000000001
145 1 13 15 0.046185000000000004
146 1 13 16 0.034165499999999994
147 1 13 17 0.027565
148 1 13 18 0.1151565
149 1 13 19 0.032222200000000006
150 1 13 20 0.08647999999999999
151 1 14 15 0.094278
152 1 14 16 0.048720000000000006
153 1 14 17 0.029994
