i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.1995720000000003 1 93.0
2 0.9908332650000002 7 80.0
3 1.2779252000000003 3 78.0
4 1.4555698000000006 2 77.0
5 0.8335147500000003 8 58.0
6 0.8303079000000002 9 55.0
7 1.1244081200000005 5 55.0
8 1.1269105500000003 4 54.0
9 0.15689748000000026 18 52.0
10 0.6387091500000003 12 51.0
11 0.5677528350000002 13 48.0
12 0.7438319350000002 10 47.0
13 0.0 20 45.0
14 0.23242200000000002 17 41.0
15 1.0943935000000002 6 38.0
16 0.7430363000000002 11 38.0
17 0.3999521500000001 14 38.0
18 0.36729150000000027 15 37.0
19 0.14582091500000016 19 33.0
20 0.35690065000000004 16 26.0
