l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.89456 -2.8374142222222223 1.9428542222222225 -4.440892098500626e-16
2 1 3 -2.8677 -2.385260055555556 -0.48243994444444477 4.440892098500626e-16
3 2 3 0.74641 0.45215416666666663 0.2942558333333334 0.0
4 1 4 -1.754 -1.6780977777777775 -0.07590222222222229 -2.220446049250313e-16
5 2 4 0.27944 1.1593164444444448 -0.8798764444444449 0.0
6 3 4 1.1328 0.7071622777777781 0.42563772222222235 -3.3306690738754696e-16
7 1 5 0.90337 -1.5989463888888888 2.5023163888888895 -6.661338147750939e-16
8 2 5 1.221 1.2384678333333334 -0.01746783333333325 0.0
9 3 5 0.54822 0.7863136666666669 -0.2380936666666667 -1.1102230246251565e-16
10 4 5 -1.3576 0.07915138888888884 -1.4367513888888894 6.661338147750939e-16
11 1 6 -2.2289 -1.6050306111111112 -0.6238693888888892 4.440892098500626e-16
12 2 6 1.4745 1.232383611111111 0.24211638888888892 0.0
13 3 6 1.0572 0.7802294444444445 0.2769705555555555 -1.1102230246251565e-16
14 4 6 0.056759 0.07306716666666646 -0.016308166666666693 2.220446049250313e-16
15 5 6 -0.27906 -0.00608422222222238 -0.2729757777777778 2.220446049250313e-16
16 1 7 -2.7559 -3.0374383333333332 0.2815383333333333 0.0
17 2 7 0.25701 -0.20002411111111118 0.45703411111111125 -5.551115123125783e-17
18 3 7 -2.7996 -0.6521782777777778 -2.1474217222222225 4.440892098500626e-16
19 4 7 0.41012 -1.3593405555555558 1.7694605555555565 -6.661338147750939e-16
20 5 7 -1.4263 -1.4384919444444448 0.012191944444444588 4.440892098500626e-16
21 6 7 -1.0944 -1.4324077222222225 0.3380077222222223 0.0
22 1 8 -0.29567 -2.5328666111111113 2.2371966111111115 0.0
23 2 8 -1.032 0.3045476111111111 -1.3365476111111114 2.7755575615628914e-16
24 3 8 0.16536 -0.14760655555555552 0.31296655555555564 -1.1102230246251565e-16
25 4 8 -1.0037 -0.8547688333333336 -0.14893116666666684 4.440892098500626e-16
26 5 8 0.48111 -0.9339202222222225 1.4150302222222226 -2.220446049250313e-16
27 6 8 -0.52486 -0.9278360000000001 0.40297600000000017 0.0
28 7 8 0.62086 0.5045717222222224 0.11628827777777774 -1.1102230246251565e-16
29 1 9 -4.866 -2.1298587444444443 -2.736141255555556 8.881784197001252e-16
30 2 9 3.3667 0.7075554777777777 2.6591445222222228 -6.661338147750939e-16
31 3 9 0.19809 0.25540131111111114 -0.057311311111111166 0.0
32 4 9 0.99902 -0.451760966666667 1.4507809666666673 -3.3306690738754696e-16
33 5 9 -0.13249 -0.5309123555555558 0.39842235555555583 0.0
34 6 9 0.81829 -0.5248281333333334 1.3431181333333335 -1.1102230246251565e-16
35 7 9 3.6774 0.9075795888888889 2.769820411111112 -8.881784197001252e-16
36 8 9 2.464 0.40300786666666666 2.0609921333333343 -9.992007221626409e-16
37 1 10 -2.2142 -2.8361300000000003 0.6219300000000002 0.0
38 2 10 0.44252 0.0012842222222221311 0.441235777777778 -1.1102230246251565e-16
39 3 10 -0.70881 -0.4508699444444445 -0.2579400555555557 1.6653345369377348e-16
40 4 10 -1.7474 -1.1580322222222226 -0.5893677777777782 6.661338147750939e-16
41 5 10 -2.6013 -1.2371836111111114 -1.3641163888888896 8.881784197001252e-16
42 6 10 -2.4456 -1.231099388888889 -1.2145006111111118 6.661338147750939e-16
43 7 10 -0.78876 0.2013083333333333 -0.9900683333333336 2.220446049250313e-16
44 8 10 0.83658 -0.303263388888889 1.1398433888888895 -4.996003610813204e-16
45 9 10 1.3154 -0.7062712555555556 2.0216712555555563 -7.771561172376096e-16
46 1 11 -4.4091 -2.3974660555555554 -2.0116339444444447 4.440892098500626e-16
47 2 11 0.15182 0.4399481666666667 -0.2881281666666667 0.0
48 3 11 0.65416 -0.012205999999999925 0.666366 -1.249000902703301e-16
49 4 11 -0.72293 -0.719368277777778 -0.0035617222222221884 2.220446049250313e-16
50 5 11 -0.012219 -0.7985196666666668 0.7863006666666669 0.0
51 6 11 -0.22097 -0.7924354444444445 0.5714654444444447 -2.220446049250313e-16
52 7 11 0.19847 0.6399722777777779 -0.441502277777778 1.1102230246251565e-16
53 8 11 -0.32652 0.13540055555555558 -0.46192055555555567 1.1102230246251565e-16
54 9 11 -0.90265 -0.267607311111111 -0.6350426888888892 2.220446049250313e-16
55 10 11 -0.57093 0.43866394444444456 -1.0095939444444448 2.220446049250313e-16
56 1 12 -2.5341 -2.6769144444444444 0.14281444444444438 0.0
57 2 12 1.3934 0.1604997777777778 1.2329002222222227 -5.551115123125783e-16
58 3 12 -0.34901 -0.29165438888888884 -0.057355611111111135 0.0
59 4 12 -0.94149 -0.9988166666666669 0.05732666666666661 2.220446049250313e-16
60 5 12 -1.4731 -1.0779680555555557 -0.39513194444444466 2.220446049250313e-16
61 6 12 -2.5848 -1.0718838333333334 -1.512916166666667 4.440892098500626e-16
62 7 12 1.2324 0.360523888888889 0.8718761111111114 -4.440892098500626e-16
