l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.84187 -1.8011436111111112 0.9592736111111112 0.0
2 1 3 -0.7749 -1.6265416666666666 0.8516416666666666 -2.220446049250313e-16
3 2 3 0.12972 0.1746019444444445 -0.04488194444444437 -1.1102230246251565e-16
4 1 4 -0.26649 -0.20738166666666702 -0.05910833333333336 3.885780586188048e-16
5 2 4 0.692 1.5937619444444442 -0.9017619444444445 2.220446049250313e-16
6 3 4 1.548 1.4191599999999995 0.12884000000000007 4.440892098500626e-16
7 1 5 0.63265 -1.3418345555555555 1.9744845555555557 -2.220446049250313e-16
8 2 5 -0.010075 0.4593090555555556 -0.46938405555555557 -5.551115123125783e-17
9 3 5 0.32923 0.28470711111111113 0.04452288888888885 5.551115123125783e-17
10 4 5 -1.122 -1.1344528888888885 0.01245288888888874 -4.440892098500626e-16
11 1 6 -1.5153 -0.9655337777777777 -0.5497662222222223 -1.1102230246251565e-16
12 2 6 0.13247 0.8356098333333334 -0.7031398333333332 -2.220446049250313e-16
13 3 6 2.1522 0.6610078888888888 1.4911921111111113 0.0
14 4 6 -1.3615 -0.7581521111111107 -0.6033478888888889 -3.3306690738754696e-16
15 5 6 0.21597 0.37630077777777776 -0.16033077777777785 5.551115123125783e-17
16 1 7 -2.4665 -2.1845844999999997 -0.2819154999999998 -4.440892098500626e-16
17 2 7 1.3971 -0.38344088888888883 1.780540888888889 -1.1102230246251565e-16
18 3 7 -1.3047 -0.5580428333333334 -0.7466571666666666 0.0
19 4 7 0.24788 -1.977202833333333 2.2250828333333335 -6.661338147750939e-16
20 5 7 0.16612 -0.8427499444444444 1.0088699444444444 0.0
21 6 7 -1.3378 -1.2190507222222222 -0.1187492777777779 0.0
22 1 8 0.91676 -1.4902295555555556 2.4069895555555556 0.0
23 2 8 -0.27162 0.3109140555555556 -0.5825340555555555 -1.1102230246251565e-16
24 3 8 0.10494 0.13631211111111113 -0.031372111111111115 0.0
25 4 8 -0.54684 -1.2828478888888886 0.7360078888888889 -4.440892098500626e-16
26 5 8 0.58161 -0.148395 0.7300049999999999 5.551115123125783e-17
27 6 8 0.019438 -0.5246957777777778 0.5441337777777778 -1.1102230246251565e-16
28 7 8 0.40531 0.6943549444444445 -0.28904494444444445 0.0
29 1 9 -2.9441 -1.6146192222222222 -1.329480777777778 0.0
30 2 9 1.5999 0.18652438888888892 1.413375611111111 8.326672684688674e-17
31 3 9 0.22156 0.01192244444444442 0.2096375555555555 9.367506770274758e-17
32 4 9 -3.4755 -1.4072375555555552 -2.0682624444444446 0.0
33 5 9 0.33339 -0.2727846666666667 0.6061746666666665 1.6653345369377348e-16
34 6 9 -0.23019 -0.6490854444444445 0.4188954444444445 0.0
35 7 9 1.3173 0.5699652777777777 0.747334722222222 2.220446049250313e-16
36 8 9 1.4277 -0.1243896666666667 1.5520896666666664 3.0531133177191805e-16
37 1 10 -2.6515 -2.2208593333333333 -0.43064066666666667 0.0
