i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.3486683888888886 1 84.0
2 0.5475247777777776 10 63.0
3 0.7221267222222222 8 55.0
4 2.1412867222222216 2 54.0
5 1.0068338333333333 4 54.0
6 1.3831346111111111 3 53.0
7 0.1640838888888888 15 51.0
8 0.8584388333333333 5 49.0
9 0.7340491666666665 7 47.0
10 0.12780905555555555 16 43.0
11 0.3523836666666665 11 42.0
12 0.0 18 41.0
13 0.04271455555555559 17 39.0
14 0.17869838888888878 14 36.0
15 0.3504111666666666 12 36.0
16 0.6885413333333332 9 33.0
17 0.7387747222222221 6 31.0
18 0.24110116666666637 13 22.0
