t i j k u[t]=u_ijk
1 1 2 3 0.0034861111111111126
2 1 2 4 0.006478888888888886
3 1 2 5 -0.08247750000000001
4 1 2 6 0.04477222222222223
5 1 2 7 0.16787388888888888
6 1 2 8 -0.11279166666666667
7 1 2 9 0.2056738888888889
8 1 2 10 0.00564055555555555
9 1 2 11 0.12941833333333333
10 1 2 12 0.060803333333333334
11 1 2 13 0.09115666666666666
12 1 2 14 0.00691722222222222
13 1 2 15 0.05099388888888889
14 1 2 16 0.15525944444444445
15 1 2 17 0.09060555555555556
16 1 2 18 0.1354627777777778
17 1 3 4 0.057755
18 1 3 5 -0.05990666666666668
19 1 3 6 0.1607
20 1 3 7 0.021494444444444434
21 1 3 8 -0.08815111111111112
22 1 3 9 0.13282000000000002
23 1 3 10 0.010005555555555552
24 1 3 11 0.04766666666666668
25 1 3 12 0.06800222222222223
26 1 3 13 0.0317111111111111
27 1 3 14 0.0001649999999999954
28 1 3 15 0.003211111111111103
29 1 3 16 0.16790888888888889
30 1 3 17 0.13403555555555557
31 1 3 18 0.16771
32 1 4 5 -0.11228555555555556
33 1 4 6 -0.00626055555555554
34 1 4 7 0.1359938888888889
35 1 4 8 -0.09611611111111112
36 1 4 9 -0.04432722222222221
37 1 4 10 0.008722777777777758
38 1 4 11 -0.00835499999999999
39 1 4 12 -0.01722722222222222
40 1 4 13 0.02893944444444443
41 1 4 14 -0.12829388888888887
42 1 4 15 0.02026166666666666
43 1 4 16 0.08976166666666667
44 1 4 17 0.11822222222222223
45 1 4 18 0.01608944444444445
46 1 5 6 0.13132888888888888
47 1 5 7 0.1814038888888889
48 1 5 8 0.016527777777777777
49 1 5 9 0.21723
50 1 5 10 0.11663611111111111
51 1 5 11 0.22910111111111114
52 1 5 12 0.011136111111111112
53 1 5 13 0.19510722222222224
54 1 5 14 0.005141666666666674
55 1 5 15 0.10188944444444445
56 1 5 16 0.19988794444444447
57 1 5 17 0.17906633333333336
58 1 5 18 0.13535833333333336
59 1 6 7 -0.021477777777777794
60 1 6 8 -0.13403455555555555
61 1 6 9 0.06658944444444444
62 1 6 10 -0.017505555555555566
63 1 6 11 0.015510555555555559
64 1 6 12 -0.03196
65 1 6 13 0.0076722222222222166
66 1 6 14 -0.06593333333333334
67 1 6 15 -0.0934611111111111
68 1 6 16 0.02468944444444444
69 1 6 17 -0.05658888888888888
70 1 6 18 0.08727388888888889
71 1 7 8 -0.16544166666666665
72 1 7 9 0.09971666666666668
73 1 7 10 0.04589611111111111
74 1 7 11 0.033736111111111126
75 1 7 12 -0.07939277777777777
76 1 7 13 0.01733616666666667
77 1 7 14 -0.042195555555555556
78 1 7 15 -0.05637777777777776
79 1 7 16 0.08281111111111113
80 1 7 17 0.15254444444444445
81 1 7 18 0.11474000000000001
82 1 8 9 0.2938088888888889
83 1 8 10 0.187725
84 1 8 11 0.16816666666666666
85 1 8 12 0.004714444444444441
86 1 8 13 0.17137333333333332
87 1 8 14 0.11702111111111109
88 1 8 15 0.14062666666666668
89 1 8 16 0.2701588888888889
90 1 8 17 0.23915166666666668
91 1 8 18 0.2342355555555556
92 1 9 10 0.03034055555555554
93 1 9 11 -0.017213055555555554
94 1 9 12 -0.06898161111111112
95 1 9 13 -0.06126333333333335
96 1 9 14 -0.09867666666666666
97 1 9 15 -0.08418666666666667
98 1 9 16 -0.1233
99 1 9 17 0.04387222222222223
100 1 9 18 0.02143944444444444
101 1 10 11 0.010990000000000012
102 1 10 12 -0.04618233333333333
103 1 10 13 -0.025632777777777782
104 1 10 14 -0.05417888888888889
105 1 10 15 -0.0827111111111111
106 1 10 16 0.06097666666666668
107 1 10 17 0.015996111111111124
108 1 10 18 0.07756277777777779
109 1 11 12 -0.10696444444444446
110 1 11 13 -0.05312777777777778
111 1 11 14 -0.16548888888888894
112 1 11 15 -0.004013888888888897
113 1 11 16 0.20776111111111112
114 1 11 17 -0.013571111111111108
115 1 11 18 0.0590111111111111
116 1 12 13 0.09327666666666667
117 1 12 14 -0.06998666666666667
118 1 12 15 0.07927222222222223
119 1 12 16 0.08272833333333333
120 1 12 17 0.0044811111111111275
121 1 12 18 0.22444444444444445
122 1 13 14 -0.0060833333333333295
123 1 13 15 0.028483333333333343
124 1 13 16 -0.02538555555555555
125 1 13 17 0.06433333333333335
126 1 13 18 0.010755000000000008
127 1 14 15 0.04831777777777778
128 1 14 16 0.022922222222222226
