l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.7665 -0.8303882222222223 0.06388822222222221 1.1102230246251565e-16
2 1 3 -1.9878 -0.3473985333333333 -1.640401466666667 3.885780586188048e-16
3 2 3 0.76169 0.48298968888888894 0.27870031111111115 -1.1102230246251565e-16
4 1 4 -0.61891 -0.3425138888888889 -0.2763961111111111 5.551115123125783e-17
5 2 4 -1.1374 0.48787433333333335 -1.6252743333333333 -5.551115123125783e-17
6 3 4 0.99078 0.004884644444444419 0.9858953555555556 -5.551115123125783e-17
7 1 5 0.11421 -0.5980706111111112 0.7122806111111112 0.0
8 2 5 0.27161 0.23231761111111113 0.039292388888888904 -2.7755575615628914e-17
9 3 5 -0.94987 -0.2506720777777778 -0.6991979222222224 2.220446049250313e-16
10 4 5 -1.7057 -0.25555672222222225 -1.4501432777777776 -1.1102230246251565e-16
11 1 6 0.34228 -0.19845124444444429 0.5407312444444445 -2.7755575615628914e-16
12 2 6 0.093052 0.6319369777777779 -0.5388849777777779 0.0
13 3 6 0.0052076 0.14894728888888903 -0.14373968888888894 -8.326672684688674e-17
14 4 6 -0.81811 0.1440626444444446 -0.9621726444444446 0.0
15 5 6 0.19431 0.39961936666666686 -0.20530936666666671 -1.1102230246251565e-16
16 1 7 -0.42772 -1.4918701722222223 1.0641501722222222 0.0
17 2 7 0.58236 -0.66148195 1.2438419500000002 -2.220446049250313e-16
18 3 7 -2.1603 -1.144471638888889 -1.0158283611111112 2.220446049250313e-16
19 4 7 -0.65903 -1.1493562833333333 0.4903262833333335 -2.220446049250313e-16
20 5 7 -0.73311 -0.893799561111111 0.1606895611111111 -1.1102230246251565e-16
21 6 7 -0.74282 -1.293418927777778 0.5505989277777777 2.220446049250313e-16
22 1 8 0.20382 -0.92202305 1.12584305 -1.1102230246251565e-16
23 2 8 -0.25571 -0.0916348277777777 -0.16407517222222223 -5.551115123125783e-17
24 3 8 -0.69573 -0.5746245166666666 -0.12110548333333337 0.0
25 4 8 -0.99957 -0.5795091611111111 -0.4200608388888889 0.0
26 5 8 0.2478 -0.3239524388888888 0.5717524388888889 -1.1102230246251565e-16
27 6 8 0.074462 -0.7235718055555557 0.7980338055555556 1.1102230246251565e-16
28 7 8 0.0030231 0.5698471222222222 -0.5668240222222223 0.0
29 1 9 -0.47255 -0.6158536666666667 0.1433036666666667 0.0
30 2 9 0.43301 0.21453455555555556 0.2184754444444445 -5.551115123125783e-17
31 3 9 -0.41579 -0.2684551333333334 -0.14733486666666665 0.0
