i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.39465 1 84.0
2 0.06942444444444423 15 63.0
3 0.6336383333333333 5 55.0
4 1.355252222222222 4 54.0
5 1.430406111111111 3 54.0
6 1.549975 2 53.0
7 0.06178833333333322 16 51.0
8 0.4031759999999999 8 49.0
9 0.46365049999999997 7 47.0
10 0.16902599999999995 12 43.0
11 0.24952055555555558 11 42.0
12 0.07839111111111108 14 41.0
13 0.13786683333333333 13 39.0
14 0.03021661111111107 17 36.0
15 0.0 18 36.0
16 0.30123111111111106 9 33.0
17 0.5914055555555555 6 31.0
18 0.27846127777777774 10 22.0
