t i j k u[t]=u_ijk
1 1 2 3 0.07877722222222222
2 1 2 4 -0.05390722222222222
3 1 2 5 -0.03418833333333333
4 1 2 6 0.12994999999999998
5 1 2 7 0.08399999999999999
6 1 2 8 -0.08701055555555556
7 1 2 9 0.20803333333333332
8 1 2 10 -0.022378888888888882
9 1 2 11 0.05619888888888888
10 1 2 12 0.08499777777777777
11 1 2 13 0.06455166666666666
12 1 2 14 0.05838000000000001
13 1 2 15 0.05065833333333333
14 1 2 16 0.043778333333333336
15 1 2 17 0.16046666666666667
16 1 2 18 0.06731833333333334
17 1 3 4 -0.07939777777777778
18 1 3 5 -0.0632811111111111
19 1 3 6 0.04465
20 1 3 7 -0.10768888888888888
21 1 3 8 -0.11988277777777778
22 1 3 9 0.10234666666666666
23 1 3 10 -0.07717777777777778
24 1 3 11 -0.046352222222222225
25 1 3 12 -0.018322222222222233
26 1 3 13 0.08819333333333332
27 1 3 14 0.029248333333333335
28 1 3 15 -0.002506111111111113
29 1 3 16 0.0399
30 1 3 17 0.062463888888888895
31 1 3 18 0.07089555555555555
32 1 4 5 -0.07476722222222221
33 1 4 6 0.08935722222222223
34 1 4 7 0.052196111111111124
35 1 4 8 -0.01019722222222222
36 1 4 9 0.14343499999999998
37 1 4 10 -0.014596666666666652
38 1 4 11 0.038663888888888887
39 1 4 12 0.03282555555555554
40 1 4 13 0.09395333333333332
41 1 4 14 -0.04737444444444443
42 1 4 15 0.03550333333333334
43 1 4 16 0.05682555555555554
44 1 4 17 0.14037499999999997
45 1 4 18 0.06245333333333332
46 1 5 6 0.0716188888888889
47 1 5 7 0.05469111111111111
48 1 5 8 -0.014306666666666664
49 1 5 9 0.15283722222222218
50 1 5 10 0.006865555555555556
51 1 5 11 0.062004444444444425
52 1 5 12 0.07202111111111108
53 1 5 13 0.10352111111111109
54 1 5 14 0.040915555555555545
55 1 5 15 0.05504888888888887
56 1 5 16 0.08883222222222222
57 1 5 17 0.1347944444444444
58 1 5 18 0.08454333333333332
59 1 6 7 -0.08260555555555556
60 1 6 8 -0.18067444444444444
61 1 6 9 0.027744444444444443
62 1 6 10 -0.18964999999999996
63 1 6 11 -0.01592888888888889
64 1 6 12 -0.06468888888888889
65 1 6 13 0.01774999999999999
66 1 6 14 -0.0038666666666666598
67 1 6 15 -0.056749999999999995
68 1 6 16 0.03264333333333333
69 1 6 17 -0.006972222222222218
70 1 6 18 0.030849999999999992
71 1 7 8 0.003258888888888873
72 1 7 9 0.15118555555555555
73 1 7 10 0.0016727777777777776
74 1 7 11 -0.0010655555555555603
75 1 7 12 0.06993388888888886
76 1 7 13 0.1037511111111111
77 1 7 14 0.026632222222222227
78 1 7 15 -0.015440555555555555
79 1 7 16 0.09004833333333333
80 1 7 17 0.13054444444444444
81 1 7 18 0.1710333333333333
82 1 8 9 0.19503444444444443
83 1 8 10 0.0637388888888889
84 1 8 11 0.10046833333333334
85 1 8 12 0.0016688888888888801
86 1 8 13 0.13663666666666666
87 1 8 14 0.09386444444444444
88 1 8 15 0.11484777777777777
89 1 8 16 0.13031888888888887
90 1 8 17 0.17060555555555554
91 1 8 18 0.16171733333333332
92 1 9 10 -0.0537011111111111
93 1 9 11 -0.13994444444444445
94 1 9 12 0.030494444444444428
95 1 9 13 -0.013535944444444455
96 1 9 14 -0.023286666666666664
97 1 9 15 -0.10032388888888889
98 1 9 16 -0.042899
99 1 9 17 -0.05027666666666666
100 1 9 18 -0.028110555555555562
101 1 10 11 0.0029377777777777735
102 1 10 12 0.0833611111111111
103 1 10 13 0.07185833333333333
104 1 10 14 0.07004049999999999
105 1 10 15 0.0023777777777777747
106 1 10 16 0.06376455555555555
107 1 10 17 0.1133988888888889
108 1 10 18 0.10605783333333332
109 1 11 12 -0.03828333333333334
110 1 11 13 0.01882555555555555
111 1 11 14 0.05152611111111112
112 1 11 15 -0.008010555555555554
113 1 11 16 0.07068944444444444
114 1 11 17 0.020292777777777785
115 1 11 18 0.11567166666666666
116 1 12 13 0.048531666666666674
117 1 12 14 -0.032967777777777756
118 1 12 15 0.05972777777777778
119 1 12 16 -0.019297777777777757
120 1 12 17 -0.02431555555555553
121 1 12 18 0.1480888888888889
122 1 13 14 0.05602222222222222
123 1 13 15 -0.10077166666666663
124 1 13 16 -0.06395944444444443
125 1 13 17 0.023580000000000014
126 1 13 18 -0.027151111111111105
127 1 14 15 -0.040698333333333336
128 1 14 16 -0.03722277777777778
129 1 14 17 0.006852222222222222
130 1 14 18 0.0285361111111111
131 1 15 16 0.03644222222222222
132 1 15 17 0.07677
133 1 15 18 0.10820055555555555
134 1 16 17 0.03179277777777778
135 1 16 18 0.05458999999999999
136 1 17 18 0.08981666666666664
137 2 3 4 0.05328666666666666
138 2 3 5 0.04968444444444444
139 2 3 6 -0.0065227777777777775
140 2 3 7 -0.11291166666666663
141 2 3 8 0.045904999999999994
142 2 3 9 -0.026909444444444437
143 2 3 10 0.023978333333333334
144 2 3 11 -0.02377388888888889
145 2 3 12 -0.024542777777777774
146 2 3 13 0.10241888888888888
147 2 3 14 0.049645555555555554
148 2 3 15 0.025612777777777776
149 2 3 16 0.07489888888888889
150 2 3 17 -0.019225555555555558
151 2 3 18 0.08235444444444442
152 2 4 5 -0.0944861111111111
