t i j k u[t]=u_ijk
1 1 2 3 0.05441333333333333
2 1 2 4 -0.01304666666666667
3 1 2 5 -0.048038888888888895
4 1 2 6 0.05904277777777777
5 1 2 7 0.07985333333333333
6 1 2 8 -0.11151666666666665
7 1 2 9 0.08144444444444443
8 1 2 10 0.020390555555555544
9 1 2 11 0.07940055555555554
10 1 2 12 0.06966166666666666
11 1 2 13 0.06457555555555555
12 1 2 14 0.022042222222222223
13 1 2 15 0.053732222222222216
14 1 2 16 0.09817944444444444
15 1 2 17 0.12452444444444444
16 1 2 18 0.05243777777777777
17 1 3 4 -0.08882388888888888
18 1 3 5 -0.09316166666666666
19 1 3 6 -0.00016222222222221793
20 1 3 7 -0.08128333333333333
21 1 3 8 -0.10656333333333333
22 1 3 9 0.004921666666666661
23 1 3 10 -0.05775
24 1 3 11 -0.06921111111111111
25 1 3 12 -0.02589444444444445
26 1 3 13 0.007087222222222226
27 1 3 14 -0.029587222222222213
28 1 3 15 -0.05147222222222222
29 1 3 16 0.002785555555555561
30 1 3 17 0.05910499999999999
31 1 3 18 0.013108888888888889
32 1 4 5 -0.07263888888888889
33 1 4 6 -0.019422222222222223
34 1 4 7 0.03680277777777778
35 1 4 8 -0.05244
36 1 4 9 0.041986111111111106
37 1 4 10 -0.005116666666666671
38 1 4 11 0.03003888888888889
39 1 4 12 0.013953888888888882
40 1 4 13 0.043827777777777785
41 1 4 14 -0.06137222222222222
42 1 4 15 -0.007216666666666661
43 1 4 16 0.06639333333333332
44 1 4 17 0.13355666666666668
45 1 4 18 0.07694333333333334
46 1 5 6 0.007801666666666663
47 1 5 7 0.0777511111111111
48 1 5 8 -0.0037226111111111093
49 1 5 9 0.10455777777777778
50 1 5 10 0.029716111111111103
51 1 5 11 0.103065
52 1 5 12 0.027516111111111113
53 1 5 13 0.13236055555555556
54 1 5 14 0.029032777777777786
55 1 5 15 0.029488333333333335
56 1 5 16 0.10041444444444446
57 1 5 17 0.16997333333333334
58 1 5 18 0.06451055555555557
59 1 6 7 -0.014633333333333333
60 1 6 8 -0.12786222222222224
61 1 6 9 0.007252777777777771
62 1 6 10 -0.06357611111111112
63 1 6 11 0.02990833333333333
64 1 6 12 -0.03453722222222223
65 1 6 13 0.04816555555555555
66 1 6 14 -0.002787222222222225
67 1 6 15 -0.02528166666666666
68 1 6 16 0.02877888888888889
69 1 6 17 -0.0006483333333333495
70 1 6 18 0.05273055555555555
71 1 7 8 -0.032758333333333334
72 1 7 9 0.05655555555555555
73 1 7 10 0.0018137222222222142
74 1 7 11 0.04580388888888888
75 1 7 12 0.01680444444444444
76 1 7 13 0.070665
77 1 7 14 -0.0026205555555555518
78 1 7 15 0.03052666666666667
79 1 7 16 0.04321833333333333
80 1 7 17 0.12413888888888887
81 1 7 18 0.09656111111111111
82 1 8 9 0.16295277777777775
83 1 8 10 0.10740322222222222
84 1 8 11 0.138575
85 1 8 12 0.02043055555555556
86 1 8 13 0.16502199999999997
87 1 8 14 0.09814611111111111
88 1 8 15 0.11268000000000002
89 1 8 16 0.14919666666666667
90 1 8 17 0.22833611111111107
91 1 8 18 0.1490966111111111
92 1 9 10 0.024695555555555554
93 1 9 11 0.010711111111111112
94 1 9 12 0.05127500000000001
95 1 9 13 0.04508833333333334
96 1 9 14 0.03541055555555556
97 1 9 15 -0.0084511111111111
98 1 9 16 -0.012073888888888877
99 1 9 17 0.048551
100 1 9 18 0.016344444444444453
101 1 10 11 0.05036722222222222
102 1 10 12 -0.02540722222222222
103 1 10 13 0.0906688888888889
104 1 10 14 0.018257222222222234
105 1 10 15 -0.05353888888888887
106 1 10 16 0.06328722222222224
107 1 10 17 0.034991111111111105
108 1 10 18 0.08147611111111111
109 1 11 12 -0.05470166666666666
110 1 11 13 -0.006699999999999996
111 1 11 14 -0.053215555555555544
112 1 11 15 0.016703888888888897
113 1 11 16 0.08015
114 1 11 17 0.008512777777777772
115 1 11 18 0.023469444444444446
116 1 12 13 0.07470666666666667
117 1 12 14 -0.04412222222222221
118 1 12 15 0.050267777777777786
119 1 12 16 -0.008189999999999992
120 1 12 17 -0.000813888888888898
121 1 12 18 0.09545666666666668
122 1 13 14 -0.018644444444444443
123 1 13 15 -0.015375555555555552
124 1 13 16 -0.04887555555555555
125 1 13 17 0.004271666666666655
126 1 13 18 -0.02835555555555556
127 1 14 15 -0.01476111111111111
128 1 14 16 -0.016052777777777777
129 1 14 17 0.02615340555555554
130 1 14 18 0.0023633333333333284
131 1 15 16 0.005926666666666668
132 1 15 17 0.07930555555555555
133 1 15 18 0.020522888888888886
134 1 16 17 0.03735055555555555
135 1 16 18 -0.018421111111111114
136 1 17 18 0.045643888888888894
137 2 3 4 -0.021363888888888887
138 2 3 5 0.009290555555555559
139 2 3 6 -0.00479166666666667
140 2 3 7 -0.10672333333333334
141 2 3 8 0.059366666666666665
142 2 3 9 -0.022109444444444445
143 2 3 10 -0.02372722222222222
144 2 3 11 -0.09419833333333333
145 2 3 12 -0.04114277777777777
146 2 3 13 -0.0030749999999999944
147 2 3 14 0.0027838888888888883
148 2 3 15 -0.05079111111111111
149 2 3 16 -0.040980555555555555
150 2 3 17 -0.011006111111111109
151 2 3 18 0.015084444444444447
152 2 4 5 -0.03764666666666667
153 2 4 6 -0.09151166666666667
154 2 4 7 -0.056097222222222215
155 2 4 8 0.04603
156 2 4 9 -0.052504999999999996
157 2 4 10 -0.03855388888888889
158 2 4 11 -0.06240833333333333
159 2 4 12 -0.06875444444444444
160 2 4 13 -0.033794444444444446
161 2 4 14 -0.09646111111111111
162 2 4 15 -0.07399555555555555
163 2 4 16 -0.04483277777777778
164 2 4 17 -0.004014444444444447
165 2 4 18 0.011458888888888883
166 2 5 6 -0.09928000000000001
167 2 5 7 -0.050141111111111115
168 2 5 8 0.05975516666666667
169 2 5 9 -0.024925555555555548
170 2 5 10 -0.038713333333333336
171 2 5 11 -0.024374444444444445
172 2 5 12 -0.09018444444444444
173 2 5 13 0.019746111111111107
174 2 5 14 -0.041048333333333326
175 2 5 15 -0.07228277777777778
